BEGIN-TRAINING
name,fmnist_fig13a
model,MLP
dataset,fmnist
num_classes,10
algo,rand
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig13a.json
device,cpu
key,rand
plot_linecolor,k
plot_linestyle,-
out_fname,./logs/fmnist_fig13a/lr0.0005_bs128_cp30_a2.00_e12345_r0_n0100_f0.03/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3014,2.3016,0.1452,0.1436
0,1,-1,2.2924,2.2925,0.1563,0.1542
0,2,-1,2.2831,2.2831,0.1656,0.1648
0,3,-1,2.2748,2.2747,0.1675,0.1657
0,4,-1,2.2666,2.2664,0.1743,0.1716
0,5,-1,2.2592,2.2590,0.1766,0.1778
0,6,-1,2.2512,2.2510,0.1821,0.1842
0,7,-1,2.2441,2.2438,0.1827,0.1860
0,8,-1,2.2371,2.2368,0.1884,0.1928
0,9,-1,2.2299,2.2295,0.2028,0.2050
0,10,-1,2.2214,2.2209,0.2256,0.2242
0,11,-1,2.2133,2.2127,0.2378,0.2370
0,12,-1,2.2045,2.2038,0.2615,0.2603
0,13,-1,2.1971,2.1964,0.2845,0.2850
0,14,-1,2.1875,2.1868,0.2996,0.3016
0,15,-1,2.1805,2.1797,0.3082,0.3101
0,16,-1,2.1722,2.1714,0.3113,0.3157
0,17,-1,2.1638,2.1629,0.3247,0.3288
0,18,-1,2.1542,2.1534,0.3244,0.3271
0,19,-1,2.1455,2.1446,0.3276,0.3294
0,20,-1,2.1379,2.1370,0.3317,0.3332
0,21,-1,2.1303,2.1295,0.3266,0.3281
0,22,-1,2.1240,2.1232,0.3381,0.3405
0,23,-1,2.1140,2.1132,0.3321,0.3319
0,24,-1,2.1044,2.1036,0.3334,0.3311
0,25,-1,2.0935,2.0924,0.3393,0.3372
0,26,-1,2.0843,2.0832,0.3316,0.3291
0,27,-1,2.0745,2.0733,0.3398,0.3355
0,28,-1,2.0654,2.0641,0.3464,0.3438
0,29,-1,2.0566,2.0553,0.3504,0.3492
0,30,-1,2.0482,2.0468,0.3661,0.3652
0,31,-1,2.0367,2.0352,0.3725,0.3736
0,32,-1,2.0303,2.0288,0.3744,0.3762
0,33,-1,2.0198,2.0182,0.3738,0.3738
0,34,-1,2.0081,2.0064,0.3658,0.3657
0,35,-1,1.9989,1.9973,0.3581,0.3564
0,36,-1,1.9894,1.9875,0.3864,0.3891
0,37,-1,1.9832,1.9815,0.3876,0.3876
0,38,-1,1.9688,1.9668,0.3873,0.3883
0,39,-1,1.9581,1.9561,0.3910,0.3920
0,40,-1,1.9494,1.9474,0.3915,0.3926
0,41,-1,1.9412,1.9392,0.4052,0.4066
0,42,-1,1.9306,1.9283,0.4304,0.4331
0,43,-1,1.9185,1.9162,0.4241,0.4255
0,44,-1,1.9097,1.9072,0.4429,0.4452
0,45,-1,1.8980,1.8956,0.4305,0.4311
0,46,-1,1.8869,1.8843,0.4222,0.4250
0,47,-1,1.8760,1.8733,0.4500,0.4525
0,48,-1,1.8676,1.8649,0.4407,0.4447
0,49,-1,1.8596,1.8568,0.4426,0.4475
0,50,-1,1.8513,1.8481,0.4628,0.4656
0,51,-1,1.8357,1.8325,0.4613,0.4635
0,52,-1,1.8253,1.8219,0.4579,0.4606
0,53,-1,1.8124,1.8091,0.4613,0.4644
0,54,-1,1.8013,1.7981,0.4497,0.4531
0,55,-1,1.7924,1.7892,0.4372,0.4408
0,56,-1,1.7808,1.7775,0.4479,0.4512
0,57,-1,1.7684,1.7651,0.4505,0.4544
0,58,-1,1.7569,1.7535,0.4602,0.4626
0,59,-1,1.7454,1.7418,0.4606,0.4634
0,60,-1,1.7358,1.7322,0.4586,0.4609
0,61,-1,1.7253,1.7217,0.4633,0.4661
0,62,-1,1.7150,1.7112,0.4644,0.4674
0,63,-1,1.7066,1.7030,0.4635,0.4644
0,64,-1,1.6994,1.6959,0.4660,0.4674
0,65,-1,1.6890,1.6853,0.4791,0.4803
0,66,-1,1.6792,1.6753,0.4873,0.4898
0,67,-1,1.6682,1.6643,0.4772,0.4780
0,68,-1,1.6577,1.6538,0.4782,0.4798
0,69,-1,1.6484,1.6444,0.4725,0.4734
0,70,-1,1.6381,1.6338,0.5049,0.5061
0,71,-1,1.6303,1.6262,0.5151,0.5186
0,72,-1,1.6204,1.6161,0.5333,0.5363
0,73,-1,1.6100,1.6057,0.5380,0.5396
0,74,-1,1.6016,1.5973,0.5454,0.5473
0,75,-1,1.5908,1.5861,0.5505,0.5568
0,76,-1,1.5812,1.5764,0.5607,0.5640
0,77,-1,1.5694,1.5647,0.5587,0.5639
0,78,-1,1.5631,1.5584,0.5673,0.5710
0,79,-1,1.5536,1.5489,0.5614,0.5630
0,80,-1,1.5433,1.5386,0.5568,0.5591
0,81,-1,1.5332,1.5282,0.5682,0.5723
0,82,-1,1.5224,1.5172,0.5699,0.5751
0,83,-1,1.5132,1.5078,0.5741,0.5797
0,84,-1,1.5049,1.4995,0.5773,0.5816
0,85,-1,1.4979,1.4923,0.5805,0.5867
0,86,-1,1.4873,1.4819,0.5804,0.5873
0,87,-1,1.4767,1.4713,0.5765,0.5831
0,88,-1,1.4685,1.4631,0.5864,0.5938
0,89,-1,1.4624,1.4567,0.5907,0.5991
0,90,-1,1.4531,1.4474,0.5957,0.6045
0,91,-1,1.4440,1.4381,0.6084,0.6170
0,92,-1,1.4378,1.4318,0.6144,0.6223
0,93,-1,1.4287,1.4227,0.6038,0.6123
0,94,-1,1.4212,1.4150,0.5981,0.6068
0,95,-1,1.4131,1.4068,0.6071,0.6141
0,96,-1,1.4034,1.3969,0.6220,0.6299
0,97,-1,1.3939,1.3873,0.6199,0.6291
0,98,-1,1.3883,1.3816,0.6304,0.6389
0,99,-1,1.3841,1.3775,0.6330,0.6400
0,100,-1,1.3779,1.3713,0.6320,0.6400
0,101,-1,1.3704,1.3639,0.6403,0.6452
0,102,-1,1.3637,1.3569,0.6340,0.6437
0,103,-1,1.3540,1.3472,0.6372,0.6454
0,104,-1,1.3450,1.3382,0.6343,0.6421
0,105,-1,1.3381,1.3314,0.6300,0.6381
0,106,-1,1.3312,1.3245,0.6140,0.6228
0,107,-1,1.3270,1.3200,0.6232,0.6292
0,108,-1,1.3203,1.3132,0.6139,0.6216
0,109,-1,1.3124,1.3054,0.6061,0.6125
0,110,-1,1.3070,1.2997,0.6018,0.6106
0,111,-1,1.3015,1.2941,0.6153,0.6226
0,112,-1,1.2948,1.2875,0.6062,0.6139
0,113,-1,1.2883,1.2809,0.6055,0.6130
0,114,-1,1.2849,1.2774,0.5974,0.6007
0,115,-1,1.2773,1.2696,0.6077,0.6156
0,116,-1,1.2699,1.2621,0.6225,0.6298
0,117,-1,1.2644,1.2565,0.6251,0.6345
0,118,-1,1.2586,1.2505,0.6381,0.6458
0,119,-1,1.2521,1.2440,0.6221,0.6319
0,120,-1,1.2443,1.2365,0.6224,0.6310
0,121,-1,1.2384,1.2306,0.6156,0.6239
0,122,-1,1.2321,1.2240,0.6323,0.6391
