BEGIN-TRAINING
name,fmnist_fig13b
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,0.3
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig13b.json
device,cpu
key,powd_6
plot_linecolor,c_t(3)
plot_linestyle,-.
out_fname,./logs/fmnist_fig13b/lr0.0005_bs128_cp30_a0.30_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3042,2.3044,0.1405,0.1378
0,1,-1,2.2957,2.2959,0.1347,0.1328
0,2,-1,2.2845,2.2847,0.1431,0.1444
0,3,-1,2.2749,2.2750,0.1491,0.1495
0,4,-1,2.2675,2.2676,0.1840,0.1854
0,5,-1,2.2616,2.2619,0.1685,0.1681
0,6,-1,2.2544,2.2545,0.1703,0.1710
0,7,-1,2.2469,2.2469,0.1862,0.1879
0,8,-1,2.2409,2.2410,0.2065,0.2069
0,9,-1,2.2329,2.2328,0.2307,0.2320
0,10,-1,2.2265,2.2263,0.2422,0.2438
0,11,-1,2.2198,2.2195,0.2701,0.2716
0,12,-1,2.2107,2.2100,0.2752,0.2822
0,13,-1,2.2059,2.2051,0.2930,0.2953
0,14,-1,2.1994,2.1985,0.2709,0.2721
0,15,-1,2.1898,2.1890,0.3127,0.3204
0,16,-1,2.1818,2.1810,0.3603,0.3702
0,17,-1,2.1726,2.1719,0.3598,0.3701
0,18,-1,2.1666,2.1656,0.3256,0.3325
0,19,-1,2.1608,2.1600,0.3597,0.3664
0,20,-1,2.1492,2.1483,0.3900,0.3967
0,21,-1,2.1396,2.1385,0.3873,0.3965
0,22,-1,2.1316,2.1304,0.3893,0.3982
0,23,-1,2.1262,2.1253,0.4051,0.4101
0,24,-1,2.1157,2.1146,0.4331,0.4330
0,25,-1,2.1073,2.1063,0.4500,0.4510
0,26,-1,2.1007,2.0998,0.4663,0.4650
0,27,-1,2.0929,2.0919,0.4638,0.4655
0,28,-1,2.0846,2.0836,0.5011,0.5057
0,29,-1,2.0750,2.0741,0.5127,0.5176
