BEGIN-TRAINING
name,fmnist_fig14a
model,MLP
dataset,fmnist
num_classes,10
algo,cpow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,15
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig14a.json
device,cpu
key,cpowd_15
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/fmnist_fig14a/lr0.0005_bs128_cp30_a2.00_e12345_r0_n0100_f0.03/cpow-d_rr0.10_dr0.75_p0015_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3014,2.2998,0.1452,0.1289
0,1,-1,2.2924,2.2904,0.1541,0.1475
0,2,-1,2.2829,2.2827,0.1497,0.1432
0,3,-1,2.2747,2.2724,0.1567,0.1586
0,4,-1,2.2666,2.2665,0.1682,0.1582
0,5,-1,2.2588,2.2556,0.1808,0.1830
0,6,-1,2.2518,2.2507,0.1835,0.1911
0,7,-1,2.2434,2.2426,0.1937,0.1957
0,8,-1,2.2357,2.2339,0.2069,0.1970
0,9,-1,2.2267,2.2270,0.2194,0.2119
0,10,-1,2.2190,2.2157,0.2406,0.2512
0,11,-1,2.2092,2.2070,0.2542,0.2522
0,12,-1,2.2009,2.1994,0.2561,0.2548
0,13,-1,2.1932,2.1914,0.2525,0.2471
0,14,-1,2.1845,2.1846,0.2771,0.2758
0,15,-1,2.1781,2.1761,0.2788,0.2732
0,16,-1,2.1701,2.1691,0.2877,0.2870
0,17,-1,2.1610,2.1572,0.2990,0.3089
0,18,-1,2.1532,2.1503,0.3120,0.3168
0,19,-1,2.1453,2.1459,0.3323,0.3324
0,20,-1,2.1377,2.1373,0.3387,0.3423
0,21,-1,2.1282,2.1268,0.3319,0.3323
0,22,-1,2.1184,2.1168,0.3260,0.3200
0,23,-1,2.1079,2.1074,0.3502,0.3510
0,24,-1,2.0987,2.0965,0.3623,0.3538
0,25,-1,2.0898,2.0901,0.3700,0.3583
0,26,-1,2.0794,2.0809,0.3493,0.3317
0,27,-1,2.0722,2.0725,0.3395,0.3288
0,28,-1,2.0626,2.0598,0.3339,0.3266
0,29,-1,2.0514,2.0528,0.3340,0.3211
0,30,-1,2.0420,2.0414,0.3542,0.3502
0,31,-1,2.0331,2.0350,0.3491,0.3301
0,32,-1,2.0237,2.0234,0.3572,0.3536
0,33,-1,2.0135,2.0130,0.3498,0.3407
0,34,-1,2.0028,2.0061,0.3490,0.3370
0,35,-1,1.9937,1.9962,0.3562,0.3492
0,36,-1,1.9823,1.9813,0.3497,0.3461
0,37,-1,1.9699,1.9746,0.3702,0.3525
0,38,-1,1.9594,1.9612,0.3753,0.3585
0,39,-1,1.9481,1.9509,0.3771,0.3662
0,40,-1,1.9410,1.9421,0.3737,0.3622
0,41,-1,1.9300,1.9289,0.3861,0.3809
0,42,-1,1.9218,1.9201,0.3866,0.3773
0,43,-1,1.9128,1.9142,0.3965,0.3802
0,44,-1,1.9026,1.9084,0.3969,0.3720
0,45,-1,1.8946,1.8977,0.4086,0.3945
0,46,-1,1.8845,1.8838,0.4147,0.3988
0,47,-1,1.8747,1.8732,0.4169,0.4027
0,48,-1,1.8643,1.8669,0.4343,0.4160
0,49,-1,1.8507,1.8544,0.4337,0.4285
0,50,-1,1.8404,1.8421,0.4181,0.4088
0,51,-1,1.8301,1.8318,0.4477,0.4468
0,52,-1,1.8193,1.8181,0.4601,0.4546
0,53,-1,1.8074,1.8085,0.4677,0.4588
0,54,-1,1.7967,1.7971,0.4701,0.4532
0,55,-1,1.7851,1.7824,0.4705,0.4646
0,56,-1,1.7762,1.7768,0.4746,0.4636
0,57,-1,1.7675,1.7682,0.4689,0.4481
0,58,-1,1.7563,1.7630,0.4685,0.4513
0,59,-1,1.7438,1.7444,0.4667,0.4558
0,60,-1,1.7325,1.7326,0.4685,0.4546
0,61,-1,1.7216,1.7295,0.4699,0.4460
0,62,-1,1.7117,1.7184,0.4679,0.4473
0,63,-1,1.7028,1.7021,0.4703,0.4459
0,64,-1,1.6914,1.6969,0.4810,0.4626
0,65,-1,1.6835,1.6874,0.4810,0.4628
0,66,-1,1.6736,1.6779,0.4813,0.4560
0,67,-1,1.6639,1.6635,0.4864,0.4630
0,68,-1,1.6569,1.6626,0.4832,0.4722
0,69,-1,1.6454,1.6484,0.4868,0.4686
0,70,-1,1.6365,1.6407,0.4775,0.4618
0,71,-1,1.6274,1.6295,0.4733,0.4619
0,72,-1,1.6175,1.6211,0.4765,0.4635
0,73,-1,1.6073,1.6020,0.4874,0.4823
0,74,-1,1.5972,1.6011,0.4922,0.4759
0,75,-1,1.5896,1.5885,0.4955,0.4854
0,76,-1,1.5816,1.5816,0.4995,0.4907
0,77,-1,1.5736,1.5801,0.5003,0.4855
0,78,-1,1.5657,1.5629,0.5188,0.5234
0,79,-1,1.5545,1.5563,0.5324,0.5427
0,80,-1,1.5443,1.5496,0.5493,0.5596
0,81,-1,1.5370,1.5399,0.5607,0.5702
0,82,-1,1.5282,1.5283,0.5633,0.5762
0,83,-1,1.5187,1.5261,0.5624,0.5726
0,84,-1,1.5095,1.5102,0.5648,0.5686
0,85,-1,1.5028,1.5066,0.5776,0.5822
0,86,-1,1.4928,1.4974,0.5884,0.5875
0,87,-1,1.4845,1.4858,0.5924,0.5937
0,88,-1,1.4753,1.4766,0.5916,0.5881
0,89,-1,1.4673,1.4665,0.6009,0.6023
0,90,-1,1.4592,1.4672,0.5985,0.5896
0,91,-1,1.4517,1.4573,0.5834,0.5775
0,92,-1,1.4413,1.4457,0.5804,0.5814
0,93,-1,1.4321,1.4331,0.5885,0.5941
0,94,-1,1.4242,1.4241,0.5971,0.5979
0,95,-1,1.4176,1.4157,0.6068,0.6205
0,96,-1,1.4113,1.4145,0.6055,0.6115
0,97,-1,1.4035,1.4064,0.6048,0.6099
0,98,-1,1.3984,1.4070,0.6063,0.5995
0,99,-1,1.3911,1.3926,0.6084,0.6030
0,100,-1,1.3805,1.3758,0.6124,0.6253
0,101,-1,1.3726,1.3748,0.6135,0.6177
0,102,-1,1.3650,1.3647,0.6224,0.6152
0,103,-1,1.3591,1.3530,0.6234,0.6145
0,104,-1,1.3508,1.3444,0.6113,0.6176
0,105,-1,1.3439,1.3446,0.6089,0.6164
0,106,-1,1.3391,1.3414,0.6034,0.6134
0,107,-1,1.3300,1.3220,0.6173,0.6371
0,108,-1,1.3224,1.3343,0.6249,0.6205
0,109,-1,1.3153,1.3185,0.6366,0.6381
0,110,-1,1.3124,1.3158,0.6294,0.6400
0,111,-1,1.3067,1.3111,0.6342,0.6376
0,112,-1,1.2966,1.2980,0.6333,0.6387
0,113,-1,1.2892,1.2857,0.6329,0.6425
0,114,-1,1.2845,1.2893,0.6366,0.6272
0,115,-1,1.2774,1.2748,0.6412,0.6509
0,116,-1,1.2700,1.2685,0.6369,0.6442
0,117,-1,1.2634,1.2662,0.6445,0.6451
0,118,-1,1.2587,1.2564,0.6518,0.6514
0,119,-1,1.2514,1.2535,0.6478,0.6454
0,120,-1,1.2457,1.2510,0.6502,0.6483
0,121,-1,1.2403,1.2489,0.6527,0.6441
0,122,-1,1.2348,1.2315,0.6526,0.6585
0,123,-1,1.2291,1.2279,0.6484,0.6543
0,124,-1,1.2227,1.2159,0.6490,0.6564
0,125,-1,1.2160,1.2179,0.6531,0.6488
0,126,-1,1.2118,1.2231,0.6503,0.6495
0,127,-1,1.2056,1.2121,0.6413,0.6465
0,128,-1,1.2006,1.2077,0.6387,0.6365
0,129,-1,1.1923,1.2000,0.6434,0.6458
0,130,-1,1.1881,1.1924,0.6398,0.6429
0,131,-1,1.1829,1.1777,0.6385,0.6531
0,132,-1,1.1797,1.1719,0.6363,0.6419
0,133,-1,1.1744,1.1802,0.6492,0.6473
0,134,-1,1.1701,1.1731,0.6511,0.6459
0,135,-1,1.1658,1.1629,0.6403,0.6441
0,136,-1,1.1600,1.1608,0.6376,0.6371
0,137,-1,1.1562,1.1560,0.6372,0.6374
0,138,-1,1.1538,1.1489,0.6410,0.6443
