BEGIN-TRAINING
name,fmnist_fig14a
model,MLP
dataset,fmnist
num_classes,10
algo,rpow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,50
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig14a.json
device,cpu
key,rpowd_50
plot_linecolor,c_t(2)
plot_linestyle,:
out_fname,./logs/fmnist_fig14a/lr0.0005_bs128_cp30_a2.00_e12345_r0_n0100_f0.03/rpow-d_rr0.10_dr0.75_p0050_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3014,2.3016,0.1452,0.1436
0,1,-1,2.2924,2.2925,0.1563,0.1542
0,2,-1,2.2834,2.2835,0.1552,0.1543
0,3,-1,2.2761,2.2761,0.1657,0.1639
0,4,-1,2.2683,2.2682,0.1624,0.1617
0,5,-1,2.2603,2.2602,0.1684,0.1673
0,6,-1,2.2528,2.2525,0.1792,0.1787
0,7,-1,2.2456,2.2453,0.1822,0.1816
0,8,-1,2.2368,2.2365,0.1994,0.1994
0,9,-1,2.2291,2.2287,0.2056,0.2053
0,10,-1,2.2217,2.2213,0.2148,0.2146
0,11,-1,2.2123,2.2118,0.2423,0.2411
0,12,-1,2.2050,2.2046,0.2453,0.2429
0,13,-1,2.1987,2.1982,0.2488,0.2490
0,14,-1,2.1899,2.1892,0.2599,0.2618
0,15,-1,2.1826,2.1818,0.2680,0.2703
0,16,-1,2.1721,2.1713,0.2948,0.2974
0,17,-1,2.1633,2.1625,0.3098,0.3123
0,18,-1,2.1556,2.1547,0.3206,0.3224
0,19,-1,2.1475,2.1466,0.3286,0.3323
0,20,-1,2.1383,2.1373,0.3456,0.3472
0,21,-1,2.1322,2.1310,0.3591,0.3601
0,22,-1,2.1243,2.1233,0.3598,0.3605
0,23,-1,2.1164,2.1153,0.3672,0.3693
0,24,-1,2.1072,2.1060,0.3763,0.3777
0,25,-1,2.0983,2.0971,0.3762,0.3806
0,26,-1,2.0914,2.0901,0.3854,0.3863
0,27,-1,2.0829,2.0817,0.3880,0.3906
0,28,-1,2.0720,2.0705,0.3966,0.3980
0,29,-1,2.0585,2.0571,0.3738,0.3727
0,30,-1,2.0486,2.0471,0.3751,0.3753
0,31,-1,2.0387,2.0372,0.3690,0.3692
0,32,-1,2.0292,2.0275,0.3937,0.3949
0,33,-1,2.0183,2.0164,0.4013,0.4056
0,34,-1,2.0092,2.0074,0.4008,0.4037
0,35,-1,1.9996,1.9979,0.3977,0.4008
0,36,-1,1.9904,1.9886,0.4106,0.4175
0,37,-1,1.9793,1.9773,0.4169,0.4198
0,38,-1,1.9694,1.9674,0.4269,0.4287
0,39,-1,1.9623,1.9602,0.4284,0.4316
0,40,-1,1.9503,1.9482,0.4264,0.4295
0,41,-1,1.9383,1.9361,0.4266,0.4292
0,42,-1,1.9256,1.9232,0.4204,0.4212
0,43,-1,1.9194,1.9171,0.4158,0.4170
0,44,-1,1.9081,1.9057,0.4346,0.4349
0,45,-1,1.8944,1.8920,0.4227,0.4232
0,46,-1,1.8884,1.8859,0.4215,0.4222
0,47,-1,1.8781,1.8754,0.4333,0.4370
0,48,-1,1.8702,1.8675,0.4491,0.4521
0,49,-1,1.8572,1.8544,0.4565,0.4581
0,50,-1,1.8468,1.8437,0.4452,0.4500
0,51,-1,1.8380,1.8347,0.4476,0.4515
0,52,-1,1.8267,1.8234,0.4492,0.4516
0,53,-1,1.8146,1.8112,0.4452,0.4487
0,54,-1,1.8018,1.7984,0.4548,0.4570
0,55,-1,1.7910,1.7877,0.4638,0.4644
0,56,-1,1.7800,1.7766,0.4604,0.4625
0,57,-1,1.7695,1.7661,0.4663,0.4679
0,58,-1,1.7613,1.7577,0.4667,0.4687
0,59,-1,1.7496,1.7461,0.4735,0.4760
0,60,-1,1.7403,1.7368,0.4792,0.4806
0,61,-1,1.7327,1.7290,0.4787,0.4820
0,62,-1,1.7230,1.7195,0.4869,0.4902
0,63,-1,1.7127,1.7087,0.5048,0.5049
0,64,-1,1.7040,1.7000,0.5188,0.5213
0,65,-1,1.6963,1.6922,0.5269,0.5251
0,66,-1,1.6854,1.6812,0.5330,0.5319
0,67,-1,1.6727,1.6687,0.5279,0.5280
0,68,-1,1.6633,1.6591,0.5402,0.5436
0,69,-1,1.6520,1.6480,0.5371,0.5381
0,70,-1,1.6427,1.6385,0.5513,0.5518
0,71,-1,1.6327,1.6284,0.5577,0.5594
0,72,-1,1.6233,1.6191,0.5605,0.5627
0,73,-1,1.6098,1.6055,0.5515,0.5545
0,74,-1,1.6020,1.5976,0.5655,0.5679
0,75,-1,1.5941,1.5897,0.5688,0.5725
0,76,-1,1.5855,1.5809,0.5703,0.5768
0,77,-1,1.5746,1.5702,0.5605,0.5649
0,78,-1,1.5662,1.5615,0.5537,0.5604
0,79,-1,1.5571,1.5523,0.5602,0.5655
0,80,-1,1.5510,1.5460,0.5596,0.5645
0,81,-1,1.5387,1.5336,0.5772,0.5799
0,82,-1,1.5315,1.5263,0.5835,0.5887
0,83,-1,1.5226,1.5171,0.5831,0.5895
0,84,-1,1.5126,1.5072,0.5840,0.5906
0,85,-1,1.5025,1.4972,0.5824,0.5871
0,86,-1,1.4929,1.4875,0.5809,0.5878
0,87,-1,1.4839,1.4785,0.5852,0.5936
0,88,-1,1.4759,1.4705,0.5939,0.6039
0,89,-1,1.4709,1.4653,0.5937,0.6012
0,90,-1,1.4607,1.4552,0.6016,0.6092
0,91,-1,1.4517,1.4462,0.6025,0.6128
0,92,-1,1.4397,1.4343,0.6069,0.6175
0,93,-1,1.4314,1.4259,0.6191,0.6278
0,94,-1,1.4225,1.4168,0.6151,0.6249
0,95,-1,1.4171,1.4113,0.6288,0.6370
0,96,-1,1.4090,1.4029,0.6318,0.6407
0,97,-1,1.4039,1.3978,0.6329,0.6411
0,98,-1,1.3959,1.3897,0.6429,0.6500
0,99,-1,1.3883,1.3826,0.6280,0.6351
0,100,-1,1.3777,1.3716,0.6296,0.6368
0,101,-1,1.3700,1.3640,0.6245,0.6307
0,102,-1,1.3624,1.3561,0.6291,0.6358
0,103,-1,1.3558,1.3494,0.6301,0.6401
0,104,-1,1.3492,1.3427,0.6382,0.6476
0,105,-1,1.3415,1.3350,0.6243,0.6334
0,106,-1,1.3354,1.3291,0.6151,0.6254
0,107,-1,1.3296,1.3231,0.6225,0.6329
0,108,-1,1.3229,1.3160,0.6180,0.6305
0,109,-1,1.3149,1.3080,0.6176,0.6295
0,110,-1,1.3066,1.2997,0.6328,0.6411
0,111,-1,1.2995,1.2928,0.6165,0.6263
0,112,-1,1.2950,1.2882,0.6408,0.6471
0,113,-1,1.2900,1.2830,0.6448,0.6537
0,114,-1,1.2863,1.2790,0.6411,0.6490
0,115,-1,1.2834,1.2762,0.6446,0.6543
0,116,-1,1.2718,1.2644,0.6497,0.6583
0,117,-1,1.2650,1.2574,0.6520,0.6618
0,118,-1,1.2605,1.2527,0.6555,0.6641
0,119,-1,1.2511,1.2432,0.6473,0.6571
0,120,-1,1.2461,1.2381,0.6495,0.6603
0,121,-1,1.2454,1.2375,0.6467,0.6538
