BEGIN-TRAINING
name,fmnist_fig15a
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,100
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig15a.json
device,cpu
key,powd_6
plot_linecolor,c_t(3)
plot_linestyle,-.
out_fname,./logs/fmnist_fig15a/lr0.0005_bs64_cp100_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.2816,2.2819,0.1640,0.1631
0,1,-1,2.2517,2.2514,0.2128,0.2126
0,2,-1,2.2228,2.2223,0.2613,0.2639
0,3,-1,2.1978,2.1973,0.2805,0.2791
0,4,-1,2.1720,2.1712,0.3290,0.3291
0,5,-1,2.1456,2.1443,0.3733,0.3745
0,6,-1,2.1148,2.1135,0.3983,0.4013
0,7,-1,2.0872,2.0859,0.3800,0.3795
0,8,-1,2.0631,2.0614,0.4071,0.4103
0,9,-1,2.0354,2.0338,0.3942,0.3964
0,10,-1,2.0129,2.0113,0.4056,0.4063
0,11,-1,1.9848,1.9829,0.4192,0.4216
0,12,-1,1.9420,1.9399,0.4472,0.4550
0,13,-1,1.9013,1.8988,0.4607,0.4652
0,14,-1,1.8680,1.8655,0.4837,0.4872
0,15,-1,1.8383,1.8355,0.5031,0.5051
0,16,-1,1.8102,1.8076,0.5766,0.5795
0,17,-1,1.7875,1.7843,0.5866,0.5950
0,18,-1,1.7592,1.7560,0.5936,0.6011
0,19,-1,1.7210,1.7178,0.6231,0.6287
0,20,-1,1.6890,1.6854,0.6448,0.6507
0,21,-1,1.6560,1.6516,0.6893,0.6997
0,22,-1,1.6240,1.6192,0.6853,0.6976
0,23,-1,1.5904,1.5853,0.6843,0.6906
0,24,-1,1.5684,1.5627,0.6650,0.6748
0,25,-1,1.5362,1.5298,0.6641,0.6711
0,26,-1,1.4977,1.4922,0.6912,0.7002
0,27,-1,1.4785,1.4730,0.6700,0.6765
0,28,-1,1.4411,1.4350,0.6844,0.6915
0,29,-1,1.4136,1.4065,0.6485,0.6548
0,30,-1,1.3884,1.3815,0.6603,0.6700
0,31,-1,1.3598,1.3526,0.6707,0.6766
0,32,-1,1.3502,1.3429,0.6770,0.6852
0,33,-1,1.3345,1.3265,0.6607,0.6766
0,34,-1,1.3079,1.3004,0.6894,0.6993
0,35,-1,1.2999,1.2916,0.6824,0.6911
0,36,-1,1.2782,1.2696,0.6626,0.6745
0,37,-1,1.2613,1.2525,0.6633,0.6738
0,38,-1,1.2392,1.2305,0.6770,0.6839
0,39,-1,1.2363,1.2276,0.6516,0.6621
0,40,-1,1.2008,1.1914,0.6722,0.6830
0,41,-1,1.1787,1.1692,0.6925,0.7017
0,42,-1,1.1714,1.1609,0.6821,0.6896
0,43,-1,1.1458,1.1363,0.6902,0.7019
0,44,-1,1.1327,1.1224,0.6924,0.7013
0,45,-1,1.1261,1.1159,0.6914,0.7021
0,46,-1,1.1130,1.1024,0.7004,0.7099
0,47,-1,1.1058,1.0947,0.6874,0.6965
0,48,-1,1.0842,1.0732,0.6923,0.7042
0,49,-1,1.0933,1.0826,0.6842,0.6918
0,50,-1,1.0820,1.0708,0.6946,0.7041
0,51,-1,1.0642,1.0528,0.7067,0.7177
0,52,-1,1.0496,1.0384,0.6894,0.6962
0,53,-1,1.0462,1.0332,0.6734,0.6884
0,54,-1,1.0410,1.0293,0.6731,0.6801
0,55,-1,1.0133,1.0012,0.7075,0.7153
0,56,-1,1.0063,0.9947,0.7052,0.7153
0,57,-1,1.0004,0.9879,0.7149,0.7246
0,58,-1,0.9846,0.9720,0.7106,0.7224
0,59,-1,0.9983,0.9845,0.6760,0.6913
0,60,-1,0.9714,0.9586,0.6969,0.7104
0,61,-1,0.9849,0.9707,0.6679,0.6849
0,62,-1,0.9632,0.9504,0.7027,0.7155
0,63,-1,0.9778,0.9634,0.6790,0.6915
0,64,-1,0.9619,0.9487,0.7089,0.7237
0,65,-1,0.9502,0.9369,0.7021,0.7114
0,66,-1,0.9464,0.9326,0.7020,0.7151
0,67,-1,0.9379,0.9247,0.6943,0.7035
0,68,-1,0.9494,0.9342,0.6815,0.6917
0,69,-1,0.9285,0.9142,0.7108,0.7259
0,70,-1,0.9175,0.9042,0.7172,0.7273
0,71,-1,0.9270,0.9127,0.7166,0.7272
0,72,-1,0.9058,0.8923,0.7121,0.7241
0,73,-1,0.9157,0.9013,0.7169,0.7292
0,74,-1,0.9000,0.8856,0.7224,0.7338
0,75,-1,0.8943,0.8801,0.7179,0.7295
0,76,-1,0.8848,0.8695,0.7234,0.7358
0,77,-1,0.8826,0.8674,0.7122,0.7214
0,78,-1,0.8771,0.8621,0.7280,0.7371
0,79,-1,0.8795,0.8644,0.7305,0.7435
0,80,-1,0.8845,0.8689,0.7147,0.7227
0,81,-1,0.8855,0.8698,0.7073,0.7144
0,82,-1,0.8606,0.8469,0.7307,0.7415
0,83,-1,0.8652,0.8515,0.7265,0.7366
0,84,-1,0.8564,0.8421,0.7200,0.7311
0,85,-1,0.8717,0.8559,0.6911,0.6995
0,86,-1,0.8508,0.8375,0.7259,0.7348
