BEGIN-TRAINING
name,fmnist_fig15a
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,100
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,9
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig15a.json
device,cpu
key,powd_9
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/fmnist_fig15a/lr0.0005_bs64_cp100_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0009_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.2816,2.2819,0.1640,0.1631
0,1,-1,2.2527,2.2525,0.1749,0.1760
0,2,-1,2.2255,2.2252,0.2369,0.2377
0,3,-1,2.2032,2.2025,0.2498,0.2492
0,4,-1,2.1744,2.1732,0.3603,0.3662
0,5,-1,2.1528,2.1515,0.3406,0.3425
0,6,-1,2.1226,2.1212,0.3824,0.3860
0,7,-1,2.1017,2.1004,0.3532,0.3573
0,8,-1,2.0708,2.0695,0.4321,0.4333
0,9,-1,2.0406,2.0394,0.4062,0.4098
0,10,-1,2.0125,2.0109,0.4370,0.4324
0,11,-1,1.9879,1.9863,0.5180,0.5201
0,12,-1,1.9590,1.9571,0.5287,0.5319
0,13,-1,1.9257,1.9235,0.5714,0.5749
0,14,-1,1.8983,1.8962,0.5730,0.5814
0,15,-1,1.8659,1.8635,0.5936,0.6011
0,16,-1,1.8336,1.8304,0.6031,0.6127
0,17,-1,1.7952,1.7919,0.6133,0.6167
0,18,-1,1.7679,1.7648,0.6171,0.6238
0,19,-1,1.7145,1.7108,0.6566,0.6638
0,20,-1,1.6819,1.6779,0.6396,0.6466
0,21,-1,1.6531,1.6490,0.6634,0.6707
0,22,-1,1.6242,1.6202,0.6075,0.6183
0,23,-1,1.5898,1.5852,0.6769,0.6835
0,24,-1,1.5758,1.5709,0.6458,0.6528
0,25,-1,1.5404,1.5359,0.6652,0.6719
0,26,-1,1.5196,1.5147,0.6255,0.6405
0,27,-1,1.4772,1.4713,0.6738,0.6808
0,28,-1,1.4580,1.4516,0.6344,0.6402
0,29,-1,1.4214,1.4150,0.6826,0.6923
0,30,-1,1.4036,1.3968,0.6706,0.6799
0,31,-1,1.3804,1.3729,0.6809,0.6904
0,32,-1,1.3622,1.3550,0.6546,0.6618
0,33,-1,1.3544,1.3466,0.6567,0.6642
0,34,-1,1.3183,1.3106,0.6888,0.6972
0,35,-1,1.3017,1.2927,0.6473,0.6559
0,36,-1,1.2768,1.2686,0.6771,0.6863
0,37,-1,1.2521,1.2430,0.6967,0.7073
0,38,-1,1.2356,1.2262,0.7053,0.7156
0,39,-1,1.2324,1.2224,0.6592,0.6743
0,40,-1,1.2051,1.1962,0.6552,0.6616
0,41,-1,1.1884,1.1784,0.7011,0.7097
0,42,-1,1.1937,1.1828,0.6672,0.6805
0,43,-1,1.1624,1.1516,0.7108,0.7188
0,44,-1,1.1515,1.1405,0.6698,0.6808
0,45,-1,1.1511,1.1395,0.6642,0.6724
0,46,-1,1.1243,1.1132,0.7034,0.7162
0,47,-1,1.1151,1.1032,0.7005,0.7100
0,48,-1,1.1105,1.0986,0.6895,0.7028
0,49,-1,1.0942,1.0822,0.7005,0.7129
0,50,-1,1.0876,1.0750,0.6796,0.6924
0,51,-1,1.0570,1.0456,0.7031,0.7153
0,52,-1,1.0571,1.0452,0.7103,0.7200
0,53,-1,1.0616,1.0489,0.6852,0.6927
0,54,-1,1.0390,1.0277,0.7060,0.7189
0,55,-1,1.0242,1.0122,0.7097,0.7212
0,56,-1,1.0351,1.0223,0.6790,0.6852
0,57,-1,1.0238,1.0125,0.6918,0.7005
0,58,-1,1.0166,1.0040,0.6890,0.7039
0,59,-1,1.0157,1.0024,0.6762,0.6855
0,60,-1,1.0021,0.9890,0.6808,0.6931
0,61,-1,0.9805,0.9674,0.7130,0.7244
0,62,-1,0.9891,0.9766,0.6817,0.6924
0,63,-1,0.9599,0.9463,0.7240,0.7352
0,64,-1,0.9543,0.9416,0.7156,0.7271
0,65,-1,0.9698,0.9564,0.6982,0.7124
0,66,-1,0.9452,0.9316,0.7130,0.7242
0,67,-1,0.9499,0.9346,0.6964,0.7112
0,68,-1,0.9394,0.9260,0.7029,0.7132
0,69,-1,0.9411,0.9274,0.6956,0.7041
0,70,-1,0.9266,0.9143,0.7131,0.7246
0,71,-1,0.9354,0.9206,0.6989,0.7064
0,72,-1,0.9299,0.9160,0.7052,0.7185
0,73,-1,0.9227,0.9083,0.6982,0.7045
0,74,-1,0.9140,0.9006,0.7054,0.7156
0,75,-1,0.9245,0.9107,0.6913,0.7017
0,76,-1,0.9234,0.9077,0.6911,0.7060
0,77,-1,0.9097,0.8955,0.7067,0.7192
0,78,-1,0.9137,0.8979,0.6934,0.7053
0,79,-1,0.9152,0.9000,0.7001,0.7139
0,80,-1,0.9141,0.8984,0.7018,0.7173
0,81,-1,0.8998,0.8834,0.6943,0.7072
0,82,-1,0.8796,0.8646,0.7022,0.7105
0,83,-1,0.8913,0.8761,0.6937,0.7096
0,84,-1,0.8762,0.8622,0.7056,0.7168
0,85,-1,0.8757,0.8586,0.7200,0.7325
0,86,-1,0.8641,0.8491,0.7271,0.7373
0,87,-1,0.8729,0.8569,0.7169,0.7317
0,88,-1,0.8648,0.8497,0.7211,0.7337
0,89,-1,0.8868,0.8713,0.7001,0.7137
0,90,-1,0.8657,0.8492,0.6976,0.7098
0,91,-1,0.8379,0.8223,0.7348,0.7481
0,92,-1,0.8579,0.8428,0.6989,0.7071
