BEGIN-TRAINING
name,fmnist_fig16b
model,MLP
dataset,fmnist
num_classes,10
algo,rand
num_clients,100
rounds,400
clients_per_round,3
localE,100
bs,64
lr,0.0005
decay,[150, 300]
alpha,0.3
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig16b.json
device,cpu
key,rand
plot_linecolor,k
plot_linestyle,-
out_fname,./logs/fmnist_fig16b/lr0.0005_bs64_cp100_a0.30_e12345_r0_n0100_f0.03/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.2953,2.2955,0.1126,0.1124
0,1,-1,2.2720,2.2723,0.1517,0.1486
0,2,-1,2.2836,2.2840,0.1087,0.1073
0,3,-1,2.2251,2.2249,0.2086,0.2082
0,4,-1,2.2098,2.2095,0.2158,0.2144
0,5,-1,2.1418,2.1416,0.3510,0.3518
0,6,-1,2.1201,2.1203,0.3115,0.3155
0,7,-1,2.0836,2.0831,0.2864,0.2881
0,8,-1,2.0359,2.0344,0.3566,0.3637
0,9,-1,2.0079,2.0062,0.3977,0.3996
0,10,-1,1.9632,1.9611,0.3915,0.3922
0,11,-1,1.9253,1.9235,0.3182,0.3206
0,12,-1,1.8685,1.8666,0.4090,0.4101
0,13,-1,1.8509,1.8486,0.3688,0.3744
0,14,-1,1.8188,1.8177,0.3890,0.3871
0,15,-1,1.7657,1.7639,0.4701,0.4709
0,16,-1,1.7503,1.7492,0.4351,0.4351
0,17,-1,1.6832,1.6811,0.4919,0.4909
0,18,-1,1.6599,1.6568,0.5376,0.5384
0,19,-1,1.6567,1.6537,0.4292,0.4330
0,20,-1,1.6363,1.6312,0.4349,0.4410
0,21,-1,1.5957,1.5907,0.4629,0.4732
0,22,-1,1.5945,1.5886,0.4538,0.4581
0,23,-1,1.5982,1.5946,0.3623,0.3696
0,24,-1,1.5887,1.5831,0.4593,0.4763
0,25,-1,1.5367,1.5311,0.5658,0.5741
0,26,-1,1.4653,1.4580,0.6270,0.6370
0,27,-1,1.4331,1.4274,0.6111,0.6195
0,28,-1,1.4707,1.4638,0.6119,0.6236
0,29,-1,1.3796,1.3724,0.5940,0.6019
0,30,-1,1.3964,1.3911,0.5527,0.5522
0,31,-1,1.4213,1.4138,0.4558,0.4594
0,32,-1,1.3691,1.3613,0.5009,0.5037
0,33,-1,1.3312,1.3224,0.5817,0.5864
0,34,-1,1.2989,1.2903,0.5840,0.5939
0,35,-1,1.3226,1.3136,0.5858,0.5971
0,36,-1,1.2416,1.2307,0.6528,0.6644
