BEGIN-TRAINING
name,fmnist_fig4a
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,15
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4a.json
device,cpu
key,powd_15
plot_linecolor,c_t(2)
plot_linestyle,:
out_fname,./logs/fmnist_fig4a/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0015_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3013,2.3015,0.1463,0.1442
0,1,-1,2.2920,2.2922,0.1512,0.1492
0,2,-1,2.2814,2.2813,0.1504,0.1498
0,3,-1,2.2736,2.2735,0.1568,0.1547
0,4,-1,2.2659,2.2658,0.1587,0.1578
0,5,-1,2.2589,2.2588,0.1601,0.1606
0,6,-1,2.2521,2.2518,0.1655,0.1638
0,7,-1,2.2457,2.2453,0.1770,0.1782
0,8,-1,2.2390,2.2386,0.1928,0.1922
0,9,-1,2.2306,2.2303,0.2153,0.2108
0,10,-1,2.2241,2.2236,0.2364,0.2377
0,11,-1,2.2178,2.2174,0.2383,0.2366
0,12,-1,2.2104,2.2098,0.2721,0.2747
0,13,-1,2.2038,2.2032,0.2877,0.2931
0,14,-1,2.1969,2.1964,0.2915,0.2947
0,15,-1,2.1905,2.1900,0.2959,0.2995
0,16,-1,2.1833,2.1827,0.3097,0.3126
0,17,-1,2.1755,2.1748,0.3329,0.3399
0,18,-1,2.1689,2.1682,0.3423,0.3482
0,19,-1,2.1623,2.1616,0.3494,0.3555
0,20,-1,2.1549,2.1541,0.3586,0.3652
0,21,-1,2.1465,2.1457,0.3735,0.3770
0,22,-1,2.1395,2.1385,0.3887,0.3943
0,23,-1,2.1322,2.1312,0.4017,0.4061
0,24,-1,2.1250,2.1239,0.4166,0.4209
0,25,-1,2.1181,2.1169,0.4093,0.4146
0,26,-1,2.1102,2.1091,0.4331,0.4349
0,27,-1,2.1041,2.1031,0.4283,0.4297
0,28,-1,2.0966,2.0956,0.4353,0.4377
0,29,-1,2.0876,2.0865,0.4534,0.4562
0,30,-1,2.0797,2.0786,0.4541,0.4566
0,31,-1,2.0713,2.0700,0.4790,0.4810
0,32,-1,2.0633,2.0621,0.4849,0.4862
0,33,-1,2.0563,2.0551,0.4805,0.4830
0,34,-1,2.0487,2.0475,0.4896,0.4919
0,35,-1,2.0397,2.0383,0.5140,0.5162
0,36,-1,2.0316,2.0300,0.5303,0.5266
0,37,-1,2.0237,2.0221,0.5361,0.5364
0,38,-1,2.0165,2.0150,0.5394,0.5409
0,39,-1,2.0060,2.0044,0.5603,0.5589
0,40,-1,1.9973,1.9956,0.5631,0.5630
0,41,-1,1.9883,1.9867,0.5680,0.5666
0,42,-1,1.9816,1.9800,0.5564,0.5572
0,43,-1,1.9718,1.9702,0.5699,0.5700
0,44,-1,1.9647,1.9631,0.5764,0.5786
0,45,-1,1.9563,1.9546,0.5744,0.5805
0,46,-1,1.9479,1.9462,0.5775,0.5817
0,47,-1,1.9388,1.9370,0.5802,0.5835
0,48,-1,1.9280,1.9263,0.5992,0.6031
0,49,-1,1.9186,1.9166,0.6089,0.6114
0,50,-1,1.9094,1.9075,0.6112,0.6132
0,51,-1,1.9002,1.8982,0.6180,0.6193
0,52,-1,1.8915,1.8896,0.6184,0.6212
0,53,-1,1.8789,1.8767,0.6343,0.6416
0,54,-1,1.8704,1.8680,0.6380,0.6394
0,55,-1,1.8615,1.8592,0.6331,0.6387
0,56,-1,1.8524,1.8501,0.6255,0.6286
0,57,-1,1.8446,1.8422,0.6209,0.6254
0,58,-1,1.8341,1.8314,0.6237,0.6247
0,59,-1,1.8231,1.8204,0.6219,0.6240
0,60,-1,1.8094,1.8066,0.6365,0.6434
0,61,-1,1.7992,1.7963,0.6386,0.6401
0,62,-1,1.7875,1.7846,0.6403,0.6495
0,63,-1,1.7794,1.7762,0.6388,0.6451
0,64,-1,1.7665,1.7632,0.6463,0.6543
0,65,-1,1.7580,1.7546,0.6466,0.6552
0,66,-1,1.7478,1.7444,0.6550,0.6592
0,67,-1,1.7382,1.7348,0.6514,0.6583
0,68,-1,1.7295,1.7262,0.6654,0.6736
0,69,-1,1.7197,1.7164,0.6627,0.6739
0,70,-1,1.7115,1.7080,0.6690,0.6799
0,71,-1,1.7031,1.6997,0.6665,0.6754
0,72,-1,1.6938,1.6905,0.6617,0.6725
0,73,-1,1.6832,1.6796,0.6760,0.6849
0,74,-1,1.6753,1.6715,0.6742,0.6813
0,75,-1,1.6673,1.6635,0.6626,0.6719
0,76,-1,1.6556,1.6517,0.6791,0.6879
0,77,-1,1.6491,1.6448,0.6539,0.6616
0,78,-1,1.6388,1.6346,0.6541,0.6641
0,79,-1,1.6288,1.6242,0.6465,0.6582
0,80,-1,1.6208,1.6159,0.6465,0.6557
0,81,-1,1.6113,1.6065,0.6597,0.6676
0,82,-1,1.6016,1.5967,0.6536,0.6640
0,83,-1,1.5930,1.5882,0.6557,0.6658
0,84,-1,1.5861,1.5813,0.6481,0.6581
0,85,-1,1.5761,1.5712,0.6580,0.6663
0,86,-1,1.5684,1.5633,0.6508,0.6610
0,87,-1,1.5640,1.5590,0.6420,0.6519
0,88,-1,1.5491,1.5439,0.6652,0.6754
0,89,-1,1.5458,1.5406,0.6504,0.6623
0,90,-1,1.5359,1.5306,0.6644,0.6752
0,91,-1,1.5298,1.5244,0.6483,0.6628
0,92,-1,1.5198,1.5143,0.6549,0.6704
0,93,-1,1.5071,1.5015,0.6779,0.6894
0,94,-1,1.5025,1.4969,0.6624,0.6743
0,95,-1,1.4933,1.4876,0.6579,0.6716
0,96,-1,1.4893,1.4835,0.6487,0.6601
0,97,-1,1.4834,1.4775,0.6409,0.6551
0,98,-1,1.4772,1.4712,0.6379,0.6492
0,99,-1,1.4667,1.4606,0.6396,0.6489
0,100,-1,1.4604,1.4542,0.6427,0.6539
0,101,-1,1.4499,1.4436,0.6470,0.6579
0,102,-1,1.4432,1.4369,0.6494,0.6611
0,103,-1,1.4366,1.4300,0.6466,0.6583
0,104,-1,1.4277,1.4210,0.6546,0.6663
0,105,-1,1.4226,1.4156,0.6467,0.6593
0,106,-1,1.4145,1.4079,0.6491,0.6617
0,107,-1,1.4050,1.3983,0.6562,0.6658
0,108,-1,1.3976,1.3907,0.6686,0.6804
0,109,-1,1.3927,1.3859,0.6672,0.6828
0,110,-1,1.3891,1.3821,0.6527,0.6666
0,111,-1,1.3853,1.3782,0.6451,0.6558
0,112,-1,1.3805,1.3731,0.6566,0.6686
0,113,-1,1.3642,1.3568,0.6836,0.6967
0,114,-1,1.3548,1.3473,0.6878,0.6996
0,115,-1,1.3522,1.3446,0.6733,0.6867
0,116,-1,1.3433,1.3356,0.6802,0.6915
0,117,-1,1.3382,1.3308,0.6795,0.6914
0,118,-1,1.3357,1.3283,0.6697,0.6820
0,119,-1,1.3339,1.3265,0.6535,0.6669
0,120,-1,1.3282,1.3207,0.6552,0.6654
0,121,-1,1.3180,1.3103,0.6593,0.6706
0,122,-1,1.3131,1.3054,0.6561,0.6689
0,123,-1,1.3037,1.2957,0.6679,0.6794
0,124,-1,1.2981,1.2901,0.6619,0.6724
0,125,-1,1.2987,1.2907,0.6494,0.6615
0,126,-1,1.2919,1.2836,0.6552,0.6661
0,127,-1,1.2899,1.2815,0.6499,0.6655
0,128,-1,1.2850,1.2766,0.6529,0.6664
0,129,-1,1.2765,1.2680,0.6614,0.6770
0,130,-1,1.2743,1.2655,0.6553,0.6663
0,131,-1,1.2705,1.2621,0.6542,0.6649
0,132,-1,1.2667,1.2580,0.6510,0.6625
0,133,-1,1.2673,1.2583,0.6432,0.6584
0,134,-1,1.2645,1.2554,0.6427,0.6583
0,135,-1,1.2533,1.2442,0.6579,0.6664
0,136,-1,1.2433,1.2343,0.6654,0.6770
0,137,-1,1.2377,1.2286,0.6681,0.6790
0,138,-1,1.2373,1.2281,0.6680,0.6802
0,139,-1,1.2270,1.2179,0.6754,0.6842
0,140,-1,1.2256,1.2161,0.6745,0.6873
0,141,-1,1.2238,1.2144,0.6698,0.6793
0,142,-1,1.2145,1.2051,0.6808,0.6964
0,143,-1,1.2094,1.1996,0.6870,0.6992
0,144,-1,1.2033,1.1934,0.6860,0.6968
0,145,-1,1.1982,1.1885,0.6767,0.6883
0,146,-1,1.1922,1.1823,0.6924,0.7024
0,147,-1,1.1862,1.1766,0.6959,0.7085
0,148,-1,1.1796,1.1702,0.6937,0.7046
0,149,-1,1.1761,1.1663,0.7026,0.7148
0,150,-1,1.1747,1.1647,0.7054,0.7185
0,151,-1,1.1745,1.1645,0.7028,0.7144
0,152,-1,1.1744,1.1643,0.6984,0.7133
0,153,-1,1.1713,1.1613,0.6984,0.7135
0,154,-1,1.1693,1.1593,0.6971,0.7119
0,155,-1,1.1678,1.1579,0.6972,0.7107
0,156,-1,1.1674,1.1574,0.6889,0.7046
0,157,-1,1.1659,1.1559,0.6879,0.6997
0,158,-1,1.1641,1.1540,0.6786,0.6913
0,159,-1,1.1636,1.1533,0.6816,0.6949
0,160,-1,1.1621,1.1518,0.6782,0.6895
0,161,-1,1.1589,1.1484,0.6839,0.6956
0,162,-1,1.1589,1.1484,0.6810,0.6920
0,163,-1,1.1573,1.1469,0.6820,0.6923
0,164,-1,1.1564,1.1460,0.6823,0.6955
0,165,-1,1.1557,1.1452,0.6769,0.6900
0,166,-1,1.1533,1.1429,0.6762,0.6869
0,167,-1,1.1506,1.1404,0.6800,0.6910
0,168,-1,1.1493,1.1390,0.6747,0.6855
0,169,-1,1.1482,1.1379,0.6771,0.6882
0,170,-1,1.1463,1.1360,0.6753,0.6852
0,171,-1,1.1409,1.1305,0.6864,0.6961
0,172,-1,1.1388,1.1284,0.6900,0.7028
0,173,-1,1.1387,1.1282,0.6898,0.7029
0,174,-1,1.1361,1.1256,0.6902,0.7022
0,175,-1,1.1327,1.1221,0.6916,0.7041
0,176,-1,1.1338,1.1231,0.6892,0.7019
0,177,-1,1.1290,1.1185,0.6918,0.7047
0,178,-1,1.1227,1.1122,0.7053,0.7134
0,179,-1,1.1198,1.1092,0.7041,0.7144
0,180,-1,1.1177,1.1072,0.7024,0.7113
0,181,-1,1.1182,1.1078,0.6999,0.7085
0,182,-1,1.1171,1.1067,0.7000,0.7089
0,183,-1,1.1177,1.1071,0.6985,0.7069
0,184,-1,1.1155,1.1051,0.6970,0.7065
0,185,-1,1.1145,1.1041,0.6979,0.7093
0,186,-1,1.1120,1.1017,0.6963,0.7071
0,187,-1,1.1134,1.1029,0.6939,0.7054
0,188,-1,1.1094,1.0988,0.6994,0.7093
0,189,-1,1.1085,1.0980,0.6972,0.7102
0,190,-1,1.1062,1.0956,0.7006,0.7111
0,191,-1,1.1074,1.0966,0.6938,0.7062
0,192,-1,1.1079,1.0970,0.6910,0.7028
0,193,-1,1.1071,1.0960,0.6918,0.7036
0,194,-1,1.1012,1.0905,0.7041,0.7146
0,195,-1,1.1015,1.0906,0.6964,0.7096
0,196,-1,1.0977,1.0866,0.6996,0.7104
0,197,-1,1.0966,1.0855,0.7022,0.7139
0,198,-1,1.0994,1.0879,0.6958,0.7086
0,199,-1,1.0964,1.0851,0.7018,0.7139
0,200,-1,1.0929,1.0817,0.7034,0.7140
0,201,-1,1.0924,1.0811,0.7020,0.7164
0,202,-1,1.0896,1.0783,0.7053,0.7191
0,203,-1,1.0904,1.0790,0.7005,0.7151
0,204,-1,1.0870,1.0755,0.7004,0.7149
0,205,-1,1.0884,1.0768,0.6939,0.7063
0,206,-1,1.0849,1.0734,0.6939,0.7058
0,207,-1,1.0790,1.0678,0.7001,0.7128
0,208,-1,1.0792,1.0681,0.7047,0.7132
