BEGIN-TRAINING
name,fmnist_fig4b
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,0.3
NIID,True
powd,9
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4b.json
device,cpu
key,powd_9
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/fmnist_fig4b/lr0.0005_bs64_cp30_a0.30_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0009_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3040,2.3043,0.1399,0.1369
0,1,-1,2.2927,2.2929,0.1305,0.1295
0,2,-1,2.2831,2.2832,0.1314,0.1307
0,3,-1,2.2761,2.2762,0.1426,0.1417
0,4,-1,2.2680,2.2680,0.1420,0.1417
0,5,-1,2.2626,2.2627,0.1535,0.1522
0,6,-1,2.2568,2.2568,0.1623,0.1642
0,7,-1,2.2472,2.2471,0.2230,0.2229
0,8,-1,2.2382,2.2376,0.2271,0.2275
0,9,-1,2.2326,2.2321,0.2376,0.2411
0,10,-1,2.2268,2.2263,0.2291,0.2342
0,11,-1,2.2170,2.2164,0.2845,0.2883
0,12,-1,2.2112,2.2107,0.2856,0.2893
0,13,-1,2.2048,2.2041,0.2889,0.2965
0,14,-1,2.1973,2.1967,0.3363,0.3388
0,15,-1,2.1903,2.1895,0.3552,0.3605
0,16,-1,2.1838,2.1830,0.3266,0.3347
0,17,-1,2.1779,2.1774,0.3561,0.3612
0,18,-1,2.1729,2.1722,0.3794,0.3814
0,19,-1,2.1627,2.1619,0.4104,0.4126
0,20,-1,2.1517,2.1509,0.4473,0.4500
0,21,-1,2.1434,2.1425,0.4409,0.4467
0,22,-1,2.1398,2.1393,0.3844,0.3874
0,23,-1,2.1326,2.1320,0.3951,0.3949
0,24,-1,2.1237,2.1229,0.4436,0.4431
0,25,-1,2.1138,2.1130,0.4775,0.4819
0,26,-1,2.1103,2.1097,0.3814,0.3838
0,27,-1,2.0966,2.0960,0.4423,0.4448
0,28,-1,2.0863,2.0853,0.4764,0.4790
0,29,-1,2.0765,2.0756,0.4654,0.4674
0,30,-1,2.0782,2.0777,0.3606,0.3648
0,31,-1,2.0627,2.0619,0.4333,0.4370
0,32,-1,2.0494,2.0485,0.4958,0.5029
0,33,-1,2.0437,2.0426,0.4656,0.4704
0,34,-1,2.0327,2.0316,0.4949,0.5003
0,35,-1,2.0246,2.0233,0.5130,0.5181
0,36,-1,2.0165,2.0150,0.5250,0.5281
0,37,-1,2.0068,2.0051,0.5305,0.5342
0,38,-1,2.0018,2.0005,0.5056,0.5098
0,39,-1,1.9919,1.9907,0.5089,0.5162
0,40,-1,1.9809,1.9794,0.5230,0.5346
0,41,-1,1.9701,1.9685,0.5456,0.5553
0,42,-1,1.9707,1.9697,0.5440,0.5542
0,43,-1,1.9641,1.9630,0.5120,0.5227
0,44,-1,1.9541,1.9525,0.4957,0.5047
0,45,-1,1.9434,1.9418,0.5123,0.5226
0,46,-1,1.9352,1.9336,0.5161,0.5209
0,47,-1,1.9279,1.9260,0.5008,0.5024
0,48,-1,1.9160,1.9146,0.5273,0.5326
0,49,-1,1.9038,1.9025,0.5179,0.5277
0,50,-1,1.8954,1.8932,0.5041,0.5145
0,51,-1,1.8804,1.8784,0.5556,0.5667
0,52,-1,1.8709,1.8683,0.5834,0.5868
0,53,-1,1.8550,1.8528,0.5946,0.6034
0,54,-1,1.8409,1.8387,0.6356,0.6402
0,55,-1,1.8359,1.8338,0.5998,0.6050
0,56,-1,1.8269,1.8246,0.5916,0.6019
