BEGIN-TRAINING
name,synthetic_fig3b
model,LR
dataset,synthetic
num_classes,10
algo,pow-d
num_clients,30
rounds,800
clients_per_round,3
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,30
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3b.json
device,cpu
key,powd_10m
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/synthetic_fig3b/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0030_f0.10/pow-d_rr0.10_dr0.75_p0030_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.2750,2.2785,0.1688,0.1519
0,1,-1,2.2808,2.2857,0.2625,0.2715
0,2,-1,2.2474,2.2389,0.1344,0.1298
0,3,-1,2.1569,2.1592,0.2250,0.2067
0,4,-1,2.2361,2.2257,0.1875,0.1888
0,5,-1,2.0466,2.0412,0.3219,0.3092
0,6,-1,2.0196,2.0215,0.2297,0.2276
0,7,-1,2.0156,2.0026,0.2234,0.2244
0,8,-1,2.0405,2.0455,0.2500,0.2497
0,9,-1,1.8726,1.8693,0.3656,0.3590
0,10,-1,1.8733,1.8718,0.3250,0.3313
0,11,-1,1.4530,1.4519,0.5734,0.5821
0,12,-1,1.4766,1.4567,0.4375,0.4565
0,13,-1,1.4094,1.4117,0.5391,0.5222
0,14,-1,1.4687,1.4492,0.5391,0.5415
0,15,-1,1.4929,1.4862,0.4828,0.5047
0,16,-1,1.4581,1.4269,0.4953,0.5086
0,17,-1,1.3817,1.3570,0.5016,0.5125
0,18,-1,1.3534,1.3493,0.5484,0.5272
0,19,-1,1.2802,1.2710,0.6016,0.5863
0,20,-1,1.2310,1.2226,0.5938,0.5893
0,21,-1,1.0699,1.0415,0.6406,0.6665
0,22,-1,1.0611,1.0442,0.7047,0.7128
0,23,-1,1.0640,1.0340,0.6719,0.6896
0,24,-1,1.0612,1.0410,0.7141,0.7276
0,25,-1,1.0680,1.0419,0.6578,0.6664
0,26,-1,0.9949,0.9643,0.6687,0.6680
0,27,-1,0.9951,0.9777,0.6984,0.7052
0,28,-1,1.0284,0.9953,0.6047,0.6253
0,29,-1,1.0497,1.0293,0.6375,0.6274
0,30,-1,0.9994,0.9667,0.6156,0.6356
0,31,-1,0.9758,0.9478,0.6719,0.6738
0,32,-1,0.9906,0.9587,0.6203,0.6267
0,33,-1,0.9151,0.8862,0.6875,0.7073
0,34,-1,0.9090,0.8738,0.6516,0.6605
0,35,-1,0.9401,0.9078,0.6469,0.6825
0,36,-1,0.8865,0.8573,0.6891,0.7152
0,37,-1,0.8831,0.8422,0.6687,0.7018
0,38,-1,0.8924,0.8597,0.6875,0.7200
0,39,-1,0.8625,0.8248,0.6750,0.7098
0,40,-1,0.8952,0.8641,0.6813,0.7133
0,41,-1,0.8866,0.8482,0.6969,0.7271
0,42,-1,0.8885,0.8552,0.6734,0.6935
0,43,-1,0.8696,0.8317,0.7266,0.7416
0,44,-1,0.8544,0.8255,0.6969,0.7236
0,45,-1,0.8275,0.7893,0.7141,0.7489
0,46,-1,0.8037,0.7724,0.7297,0.7422
0,47,-1,0.7985,0.7681,0.7469,0.7540
0,48,-1,0.8259,0.7894,0.7063,0.7390
0,49,-1,0.8415,0.8035,0.6984,0.7225
0,50,-1,0.8311,0.7971,0.6656,0.6913
0,51,-1,0.8002,0.7598,0.7422,0.7613
0,52,-1,0.8059,0.7702,0.7250,0.7523
0,53,-1,0.7824,0.7470,0.7250,0.7530
0,54,-1,0.8187,0.7762,0.6844,0.7163
0,55,-1,0.7773,0.7405,0.7203,0.7655
0,56,-1,0.8218,0.7719,0.7000,0.7282
0,57,-1,0.8010,0.7588,0.7188,0.7422
0,58,-1,0.8033,0.7601,0.6969,0.7305
0,59,-1,0.8056,0.7583,0.7125,0.7482
0,60,-1,0.7953,0.7542,0.7203,0.7510
0,61,-1,0.7556,0.7140,0.7422,0.7717
0,62,-1,0.7795,0.7298,0.7188,0.7515
0,63,-1,0.7652,0.7227,0.7297,0.7620
0,64,-1,0.7692,0.7277,0.7063,0.7310
0,65,-1,0.7645,0.7210,0.7234,0.7459
0,66,-1,0.7732,0.7261,0.6953,0.7268
0,67,-1,0.7919,0.7528,0.6875,0.7119
0,68,-1,0.8032,0.7651,0.6781,0.7098
0,69,-1,0.7755,0.7293,0.6891,0.7106
0,70,-1,0.7378,0.6997,0.7297,0.7469
0,71,-1,0.7495,0.7067,0.7125,0.7321
0,72,-1,0.7366,0.6947,0.7438,0.7592
0,73,-1,0.7423,0.6977,0.7344,0.7595
0,74,-1,0.7340,0.6910,0.7531,0.7755
0,75,-1,0.7318,0.6894,0.7438,0.7590
0,76,-1,0.7334,0.6898,0.7406,0.7650
0,77,-1,0.7453,0.7007,0.7078,0.7416
0,78,-1,0.7476,0.6960,0.7125,0.7602
0,79,-1,0.7417,0.6879,0.7203,0.7680
0,80,-1,0.7475,0.6985,0.7500,0.7703
0,81,-1,0.7352,0.6856,0.7375,0.7721
0,82,-1,0.7544,0.6906,0.7125,0.7531
0,83,-1,0.7604,0.7054,0.7063,0.7430
0,84,-1,0.7475,0.6873,0.7172,0.7521
0,85,-1,0.7488,0.7013,0.7234,0.7494
0,86,-1,0.7350,0.6828,0.7328,0.7606
0,87,-1,0.7302,0.6786,0.7438,0.7664
0,88,-1,0.7351,0.6845,0.7250,0.7618
0,89,-1,0.7289,0.6843,0.7516,0.7753
0,90,-1,0.7361,0.6862,0.7250,0.7441
0,91,-1,0.7336,0.6832,0.7234,0.7546
0,92,-1,0.7236,0.6778,0.7328,0.7600
0,93,-1,0.7524,0.6944,0.7031,0.7425
0,94,-1,0.7747,0.7156,0.7109,0.7376
0,95,-1,0.7661,0.6993,0.7109,0.7438
0,96,-1,0.7515,0.6925,0.7047,0.7370
0,97,-1,0.7599,0.6960,0.6859,0.7370
0,98,-1,0.7381,0.6764,0.7063,0.7512
0,99,-1,0.7510,0.6961,0.7172,0.7507
0,100,-1,0.7985,0.7448,0.7281,0.7514
0,101,-1,0.7472,0.6826,0.7266,0.7600
0,102,-1,0.7289,0.6688,0.7438,0.7661
0,103,-1,0.7337,0.6734,0.7188,0.7577
0,104,-1,0.7330,0.6716,0.7203,0.7618
0,105,-1,0.7331,0.6698,0.7297,0.7641
0,106,-1,0.7333,0.6695,0.7250,0.7618
0,107,-1,0.7169,0.6618,0.7359,0.7622
0,108,-1,0.7229,0.6617,0.7125,0.7473
0,109,-1,0.7191,0.6549,0.7281,0.7618
0,110,-1,0.7101,0.6492,0.7469,0.7700
0,111,-1,0.7199,0.6579,0.7312,0.7685
0,112,-1,0.7173,0.6508,0.7266,0.7670
0,113,-1,0.7422,0.6870,0.7438,0.7687
0,114,-1,0.7351,0.6717,0.7250,0.7583
0,115,-1,0.7227,0.6609,0.7297,0.7641
0,116,-1,0.7181,0.6498,0.7266,0.7677
0,117,-1,0.7119,0.6496,0.7359,0.7733
0,118,-1,0.7151,0.6432,0.7188,0.7664
0,119,-1,0.7141,0.6449,0.7266,0.7671
0,120,-1,0.7147,0.6463,0.7312,0.7737
0,121,-1,0.7006,0.6295,0.7375,0.7781
0,122,-1,0.7102,0.6382,0.7203,0.7685
0,123,-1,0.7174,0.6456,0.7141,0.7682
0,124,-1,0.7076,0.6425,0.7469,0.7778
0,125,-1,0.7047,0.6394,0.7281,0.7634
0,126,-1,0.6930,0.6295,0.7500,0.7815
0,127,-1,0.7035,0.6363,0.7359,0.7696
0,128,-1,0.7059,0.6395,0.7344,0.7737
0,129,-1,0.7049,0.6422,0.7344,0.7638
0,130,-1,0.7287,0.6527,0.7063,0.7505
0,131,-1,0.7477,0.6806,0.7094,0.7498
0,132,-1,0.7537,0.6898,0.7141,0.7507
0,133,-1,0.7462,0.6833,0.7109,0.7528
0,134,-1,0.7350,0.6654,0.7203,0.7615
0,135,-1,0.7182,0.6546,0.7328,0.7659
0,136,-1,0.7145,0.6542,0.7500,0.7811
0,137,-1,0.7129,0.6495,0.7219,0.7652
0,138,-1,0.7216,0.6624,0.7312,0.7565
0,139,-1,0.7107,0.6429,0.7297,0.7549
0,140,-1,0.6959,0.6256,0.7406,0.7756
0,141,-1,0.7069,0.6350,0.7266,0.7732
0,142,-1,0.7013,0.6299,0.7328,0.7776
0,143,-1,0.7071,0.6384,0.7344,0.7680
0,144,-1,0.7054,0.6332,0.7312,0.7770
0,145,-1,0.7060,0.6378,0.7266,0.7650
0,146,-1,0.7135,0.6394,0.7266,0.7712
0,147,-1,0.7164,0.6419,0.7250,0.7684
0,148,-1,0.7171,0.6387,0.7281,0.7710
0,149,-1,0.7176,0.6393,0.7234,0.7730
0,150,-1,0.7177,0.6420,0.7297,0.7753
0,151,-1,0.7160,0.6414,0.7281,0.7717
0,152,-1,0.7051,0.6322,0.7328,0.7737
0,153,-1,0.7054,0.6347,0.7438,0.7802
0,154,-1,0.6969,0.6272,0.7484,0.7813
0,155,-1,0.6977,0.6279,0.7438,0.7792
0,156,-1,0.7084,0.6328,0.7344,0.7763
0,157,-1,0.7124,0.6428,0.7297,0.7616
0,158,-1,0.7232,0.6556,0.7281,0.7599
0,159,-1,0.7248,0.6559,0.7453,0.7721
0,160,-1,0.7186,0.6464,0.7250,0.7673
0,161,-1,0.7182,0.6458,0.7422,0.7751
0,162,-1,0.7298,0.6567,0.7281,0.7680
0,163,-1,0.7285,0.6593,0.7516,0.7755
0,164,-1,0.7186,0.6475,0.7375,0.7671
0,165,-1,0.7092,0.6392,0.7438,0.7726
0,166,-1,0.7178,0.6481,0.7344,0.7629
0,167,-1,0.7041,0.6378,0.7438,0.7712
