BEGIN-TRAINING
name,synthetic_fig3b
model,LR
dataset,synthetic
num_classes,10
algo,rand
num_clients,30
rounds,800
clients_per_round,3
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3b.json
device,cpu
key,rand
plot_linecolor,k
plot_linestyle,-
out_fname,./logs/synthetic_fig3b/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0030_f0.10/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.2750,2.2785,0.1688,0.1519
0,1,-1,1.9945,1.9901,0.3750,0.3694
0,2,-1,1.7924,1.7941,0.3484,0.3398
0,3,-1,1.7298,1.7306,0.3719,0.3760
0,4,-1,1.7450,1.7450,0.4672,0.4672
0,5,-1,1.6889,1.6785,0.4203,0.4227
0,6,-1,1.6153,1.6008,0.5172,0.5143
0,7,-1,1.5555,1.5314,0.5062,0.5112
0,8,-1,1.5644,1.5360,0.4766,0.4822
0,9,-1,1.5476,1.5243,0.5047,0.5251
0,10,-1,1.4975,1.4743,0.5109,0.5291
0,11,-1,1.4770,1.4538,0.5594,0.5706
0,12,-1,1.4695,1.4497,0.5578,0.5596
0,13,-1,1.5080,1.4834,0.5406,0.5537
0,14,-1,1.5300,1.5161,0.5453,0.5437
0,15,-1,1.5080,1.4893,0.5219,0.5275
0,16,-1,1.4816,1.4609,0.5266,0.5346
0,17,-1,1.4023,1.3786,0.5656,0.5824
0,18,-1,1.3570,1.3329,0.5672,0.5819
0,19,-1,1.3351,1.3130,0.5469,0.5745
0,20,-1,1.3317,1.3097,0.5547,0.5831
0,21,-1,1.4096,1.3898,0.5141,0.5297
0,22,-1,1.3421,1.3213,0.5219,0.5304
0,23,-1,1.1774,1.1399,0.5484,0.5697
0,24,-1,1.1296,1.1002,0.5687,0.5938
0,25,-1,1.1498,1.1214,0.5875,0.6000
0,26,-1,1.1585,1.1310,0.6031,0.6225
0,27,-1,1.1613,1.1302,0.6094,0.6269
0,28,-1,1.1404,1.1191,0.6078,0.6366
0,29,-1,1.1803,1.1564,0.5922,0.6187
0,30,-1,1.1465,1.1131,0.6062,0.6161
0,31,-1,1.1484,1.1086,0.6141,0.6202
0,32,-1,1.1177,1.0796,0.6047,0.6249
0,33,-1,1.0781,1.0448,0.6453,0.6573
0,34,-1,1.0955,1.0691,0.6422,0.6540
0,35,-1,1.1007,1.0685,0.6375,0.6545
0,36,-1,1.1108,1.0877,0.6312,0.6495
0,37,-1,1.0645,1.0384,0.6375,0.6611
