BEGIN-TRAINING
name,fmnist_fig13a
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig13a.json
device,cpu
key,powd_6
plot_linecolor,c_t(3)
plot_linestyle,-.
out_fname,./logs/fmnist_fig13a/lr0.0005_bs128_cp30_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3014,2.3016,0.1452,0.1436
0,1,-1,2.2920,2.2920,0.1517,0.1518
0,2,-1,2.2829,2.2829,0.1549,0.1547
0,3,-1,2.2748,2.2747,0.1556,0.1552
0,4,-1,2.2666,2.2664,0.1589,0.1574
0,5,-1,2.2589,2.2585,0.1771,0.1762
0,6,-1,2.2514,2.2510,0.1848,0.1856
0,7,-1,2.2444,2.2439,0.1903,0.1926
0,8,-1,2.2379,2.2372,0.2094,0.2118
0,9,-1,2.2302,2.2297,0.2153,0.2167
0,10,-1,2.2240,2.2234,0.2204,0.2244
0,11,-1,2.2183,2.2176,0.2207,0.2267
0,12,-1,2.2106,2.2100,0.2494,0.2506
0,13,-1,2.2028,2.2023,0.2746,0.2769
0,14,-1,2.1961,2.1955,0.2845,0.2853
0,15,-1,2.1895,2.1888,0.2915,0.2922
0,16,-1,2.1836,2.1828,0.2914,0.2927
0,17,-1,2.1764,2.1755,0.3065,0.3087
0,18,-1,2.1698,2.1691,0.3068,0.3088
0,19,-1,2.1631,2.1624,0.3176,0.3197
0,20,-1,2.1569,2.1562,0.3175,0.3214
0,21,-1,2.1499,2.1492,0.3276,0.3319
0,22,-1,2.1431,2.1423,0.3399,0.3444
0,23,-1,2.1358,2.1350,0.3438,0.3478
0,24,-1,2.1283,2.1274,0.3513,0.3538
0,25,-1,2.1208,2.1197,0.3752,0.3777
0,26,-1,2.1121,2.1108,0.3846,0.3857
0,27,-1,2.1044,2.1034,0.3874,0.3893
0,28,-1,2.0946,2.0935,0.4062,0.4073
0,29,-1,2.0860,2.0847,0.4234,0.4255
0,30,-1,2.0769,2.0756,0.4380,0.4425
0,31,-1,2.0687,2.0674,0.4288,0.4336
0,32,-1,2.0619,2.0606,0.4523,0.4560
0,33,-1,2.0518,2.0502,0.4706,0.4754
0,34,-1,2.0428,2.0412,0.4704,0.4763
0,35,-1,2.0360,2.0344,0.4694,0.4740
0,36,-1,2.0283,2.0267,0.4804,0.4839
0,37,-1,2.0205,2.0188,0.4980,0.4987
0,38,-1,2.0114,2.0098,0.4941,0.4956
0,39,-1,2.0036,2.0020,0.5016,0.5002
0,40,-1,1.9930,1.9912,0.5222,0.5212
0,41,-1,1.9828,1.9808,0.5423,0.5390
0,42,-1,1.9740,1.9719,0.5415,0.5388
0,43,-1,1.9622,1.9601,0.5491,0.5478
0,44,-1,1.9521,1.9500,0.5391,0.5371
0,45,-1,1.9437,1.9416,0.5475,0.5483
0,46,-1,1.9344,1.9322,0.5609,0.5615
0,47,-1,1.9244,1.9221,0.5748,0.5746
0,48,-1,1.9153,1.9128,0.5810,0.5823
0,49,-1,1.9061,1.9037,0.5892,0.5908
0,50,-1,1.8958,1.8935,0.5888,0.5889
0,51,-1,1.8875,1.8851,0.5857,0.5886
0,52,-1,1.8765,1.8739,0.5887,0.5905
0,53,-1,1.8646,1.8619,0.5671,0.5711
0,54,-1,1.8507,1.8479,0.5862,0.5919
0,55,-1,1.8383,1.8354,0.5745,0.5791
0,56,-1,1.8283,1.8253,0.5862,0.5912
0,57,-1,1.8180,1.8149,0.5905,0.5952
0,58,-1,1.8078,1.8046,0.5971,0.5994
0,59,-1,1.7981,1.7949,0.5816,0.5827
0,60,-1,1.7845,1.7813,0.5781,0.5831
0,61,-1,1.7752,1.7720,0.5967,0.6008
0,62,-1,1.7632,1.7598,0.6032,0.6080
0,63,-1,1.7559,1.7525,0.5973,0.6016
0,64,-1,1.7474,1.7440,0.6108,0.6184
0,65,-1,1.7357,1.7322,0.6119,0.6179
0,66,-1,1.7258,1.7222,0.6102,0.6147
0,67,-1,1.7149,1.7112,0.6134,0.6209
0,68,-1,1.7048,1.7009,0.6090,0.6175
0,69,-1,1.6975,1.6939,0.6106,0.6191
0,70,-1,1.6860,1.6822,0.6150,0.6237
0,71,-1,1.6759,1.6720,0.6042,0.6129
0,72,-1,1.6612,1.6572,0.6006,0.6104
0,73,-1,1.6537,1.6495,0.6049,0.6137
0,74,-1,1.6423,1.6381,0.6054,0.6181
0,75,-1,1.6312,1.6268,0.6083,0.6183
0,76,-1,1.6225,1.6180,0.6254,0.6381
0,77,-1,1.6100,1.6052,0.6262,0.6389
0,78,-1,1.6008,1.5961,0.6337,0.6464
0,79,-1,1.5919,1.5872,0.6271,0.6395
0,80,-1,1.5845,1.5795,0.6272,0.6382
0,81,-1,1.5753,1.5702,0.6267,0.6371
0,82,-1,1.5653,1.5605,0.6415,0.6512
0,83,-1,1.5556,1.5507,0.6320,0.6428
0,84,-1,1.5458,1.5406,0.6186,0.6285
0,85,-1,1.5431,1.5377,0.6123,0.6177
0,86,-1,1.5289,1.5238,0.6244,0.6296
0,87,-1,1.5236,1.5185,0.6267,0.6333
0,88,-1,1.5101,1.5049,0.6366,0.6447
0,89,-1,1.5028,1.4973,0.6317,0.6390
0,90,-1,1.4970,1.4913,0.6208,0.6295
0,91,-1,1.4893,1.4836,0.6239,0.6314
0,92,-1,1.4776,1.4717,0.6493,0.6553
0,93,-1,1.4636,1.4577,0.6473,0.6558
0,94,-1,1.4582,1.4526,0.6552,0.6655
0,95,-1,1.4489,1.4430,0.6593,0.6668
0,96,-1,1.4397,1.4338,0.6404,0.6498
0,97,-1,1.4304,1.4244,0.6431,0.6525
0,98,-1,1.4267,1.4208,0.6516,0.6592
0,99,-1,1.4188,1.4128,0.6522,0.6602
0,100,-1,1.4108,1.4046,0.6510,0.6599
0,101,-1,1.4036,1.3975,0.6480,0.6549
0,102,-1,1.3947,1.3883,0.6640,0.6699
0,103,-1,1.3907,1.3842,0.6657,0.6724
0,104,-1,1.3839,1.3775,0.6539,0.6628
0,105,-1,1.3767,1.3698,0.6423,0.6506
0,106,-1,1.3693,1.3624,0.6468,0.6545
0,107,-1,1.3639,1.3569,0.6566,0.6646
0,108,-1,1.3525,1.3458,0.6484,0.6594
0,109,-1,1.3487,1.3417,0.6598,0.6690
0,110,-1,1.3459,1.3389,0.6540,0.6605
0,111,-1,1.3382,1.3315,0.6663,0.6747
0,112,-1,1.3312,1.3243,0.6733,0.6816
0,113,-1,1.3284,1.3216,0.6773,0.6829
0,114,-1,1.3205,1.3134,0.6742,0.6836
0,115,-1,1.3177,1.3105,0.6784,0.6865
0,116,-1,1.3097,1.3023,0.6805,0.6887
0,117,-1,1.3100,1.3024,0.6710,0.6801
0,118,-1,1.3038,1.2959,0.6745,0.6843
0,119,-1,1.3023,1.2943,0.6600,0.6659
0,120,-1,1.2993,1.2913,0.6537,0.6601
0,121,-1,1.2965,1.2883,0.6535,0.6597
0,122,-1,1.2804,1.2723,0.6668,0.6762
0,123,-1,1.2694,1.2611,0.6745,0.6824
0,124,-1,1.2594,1.2510,0.6760,0.6856
0,125,-1,1.2602,1.2517,0.6721,0.6811
0,126,-1,1.2527,1.2442,0.6812,0.6909
0,127,-1,1.2407,1.2324,0.6923,0.7012
0,128,-1,1.2380,1.2292,0.6892,0.7010
0,129,-1,1.2360,1.2272,0.6802,0.6931
0,130,-1,1.2272,1.2188,0.6916,0.7030
0,131,-1,1.2263,1.2177,0.6877,0.6980
0,132,-1,1.2214,1.2127,0.6920,0.7028
0,133,-1,1.2191,1.2104,0.6934,0.7017
0,134,-1,1.2150,1.2063,0.6928,0.7020
0,135,-1,1.2137,1.2048,0.6855,0.6945
0,136,-1,1.2018,1.1927,0.6881,0.6987
0,137,-1,1.1921,1.1829,0.6925,0.7026
0,138,-1,1.1922,1.1829,0.6815,0.6938
0,139,-1,1.1884,1.1789,0.6840,0.6929
0,140,-1,1.1825,1.1731,0.6856,0.6955
0,141,-1,1.1760,1.1669,0.6774,0.6878
0,142,-1,1.1725,1.1632,0.6737,0.6815
0,143,-1,1.1692,1.1600,0.6740,0.6834
0,144,-1,1.1677,1.1582,0.6618,0.6737
0,145,-1,1.1614,1.1517,0.6778,0.6888
0,146,-1,1.1618,1.1519,0.6652,0.6712
0,147,-1,1.1542,1.1447,0.6778,0.6874
0,148,-1,1.1493,1.1397,0.6840,0.6932
0,149,-1,1.1461,1.1364,0.6894,0.6986
0,150,-1,1.1439,1.1342,0.6914,0.7003
0,151,-1,1.1399,1.1301,0.6925,0.7013
0,152,-1,1.1374,1.1276,0.6892,0.6996
0,153,-1,1.1343,1.1246,0.6906,0.7007
0,154,-1,1.1309,1.1213,0.6960,0.7060
0,155,-1,1.1300,1.1202,0.6983,0.7088
0,156,-1,1.1271,1.1172,0.6977,0.7092
0,157,-1,1.1229,1.1130,0.6985,0.7097
0,158,-1,1.1212,1.1111,0.6985,0.7097
0,159,-1,1.1198,1.1096,0.6973,0.7074
0,160,-1,1.1208,1.1106,0.6929,0.7019
0,161,-1,1.1205,1.1101,0.6921,0.7010
0,162,-1,1.1153,1.1050,0.6945,0.7051
0,163,-1,1.1145,1.1042,0.6915,0.7009
0,164,-1,1.1138,1.1034,0.6890,0.6975
0,165,-1,1.1093,1.0992,0.6945,0.7049
0,166,-1,1.1049,1.0948,0.6954,0.7079
0,167,-1,1.1034,1.0933,0.6975,0.7107
0,168,-1,1.1021,1.0918,0.6987,0.7113
0,169,-1,1.1016,1.0913,0.6994,0.7098
0,170,-1,1.0993,1.0887,0.6986,0.7095
0,171,-1,1.0965,1.0858,0.6966,0.7074
0,172,-1,1.0966,1.0860,0.6950,0.7052
0,173,-1,1.0944,1.0837,0.6957,0.7049
0,174,-1,1.0932,1.0825,0.6931,0.7015
0,175,-1,1.0907,1.0800,0.6971,0.7056
0,176,-1,1.0901,1.0794,0.6992,0.7071
0,177,-1,1.0903,1.0796,0.7042,0.7117
0,178,-1,1.0872,1.0767,0.6984,0.7102
0,179,-1,1.0838,1.0731,0.6999,0.7097
0,180,-1,1.0849,1.0741,0.7008,0.7090
0,181,-1,1.0827,1.0720,0.6919,0.7033
0,182,-1,1.0813,1.0705,0.6982,0.7073
0,183,-1,1.0810,1.0703,0.7020,0.7098
0,184,-1,1.0814,1.0707,0.7044,0.7118
0,185,-1,1.0805,1.0698,0.7055,0.7127
0,186,-1,1.0777,1.0671,0.7044,0.7112
0,187,-1,1.0747,1.0641,0.7031,0.7109
0,188,-1,1.0735,1.0629,0.7006,0.7091
0,189,-1,1.0722,1.0615,0.7037,0.7115
0,190,-1,1.0722,1.0612,0.7009,0.7107
0,191,-1,1.0696,1.0586,0.6995,0.7102
0,192,-1,1.0675,1.0567,0.7017,0.7101
0,193,-1,1.0651,1.0543,0.7043,0.7133
0,194,-1,1.0639,1.0533,0.7025,0.7122
0,195,-1,1.0649,1.0541,0.7038,0.7134
0,196,-1,1.0639,1.0529,0.7056,0.7145
0,197,-1,1.0631,1.0522,0.7039,0.7145
0,198,-1,1.0630,1.0520,0.7030,0.7155
0,199,-1,1.0625,1.0516,0.7071,0.7161
0,200,-1,1.0605,1.0495,0.7055,0.7162
0,201,-1,1.0612,1.0501,0.7009,0.7128
0,202,-1,1.0597,1.0487,0.7053,0.7151
0,203,-1,1.0567,1.0456,0.7087,0.7158
0,204,-1,1.0543,1.0432,0.7076,0.7164
0,205,-1,1.0501,1.0393,0.7064,0.7158
0,206,-1,1.0503,1.0394,0.7024,0.7140
