BEGIN-TRAINING
name,fmnist_fig13a
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,15
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig13a.json
device,cpu
key,powd_15
plot_linecolor,c_t(2)
plot_linestyle,:
out_fname,./logs/fmnist_fig13a/lr0.0005_bs128_cp30_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0015_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3014,2.3016,0.1452,0.1436
0,1,-1,2.2920,2.2921,0.1505,0.1495
0,2,-1,2.2814,2.2813,0.1513,0.1504
0,3,-1,2.2735,2.2733,0.1566,0.1548
0,4,-1,2.2657,2.2655,0.1591,0.1595
0,5,-1,2.2588,2.2586,0.1609,0.1620
0,6,-1,2.2520,2.2517,0.1649,0.1649
0,7,-1,2.2456,2.2452,0.1765,0.1792
0,8,-1,2.2390,2.2386,0.1928,0.1921
0,9,-1,2.2320,2.2317,0.2009,0.1986
0,10,-1,2.2254,2.2249,0.2242,0.2260
0,11,-1,2.2190,2.2185,0.2258,0.2251
0,12,-1,2.2115,2.2109,0.2600,0.2616
0,13,-1,2.2047,2.2041,0.2766,0.2802
0,14,-1,2.1976,2.1970,0.2805,0.2837
0,15,-1,2.1914,2.1908,0.2856,0.2906
0,16,-1,2.1841,2.1835,0.2976,0.3005
0,17,-1,2.1763,2.1757,0.3233,0.3274
0,18,-1,2.1697,2.1690,0.3300,0.3343
0,19,-1,2.1624,2.1617,0.3520,0.3577
0,20,-1,2.1552,2.1545,0.3564,0.3616
0,21,-1,2.1465,2.1456,0.3773,0.3844
0,22,-1,2.1400,2.1391,0.3866,0.3927
0,23,-1,2.1325,2.1315,0.4004,0.4049
0,24,-1,2.1260,2.1249,0.4048,0.4085
0,25,-1,2.1194,2.1182,0.3987,0.4022
0,26,-1,2.1118,2.1108,0.4220,0.4238
0,27,-1,2.1056,2.1047,0.4174,0.4193
0,28,-1,2.0979,2.0969,0.4213,0.4252
0,29,-1,2.0886,2.0875,0.4406,0.4436
0,30,-1,2.0810,2.0798,0.4483,0.4545
0,31,-1,2.0726,2.0715,0.4625,0.4678
0,32,-1,2.0642,2.0630,0.4767,0.4798
0,33,-1,2.0573,2.0561,0.4833,0.4835
0,34,-1,2.0477,2.0464,0.4983,0.4991
0,35,-1,2.0390,2.0376,0.5181,0.5173
0,36,-1,2.0312,2.0296,0.5329,0.5277
0,37,-1,2.0233,2.0217,0.5395,0.5380
0,38,-1,2.0158,2.0143,0.5406,0.5434
0,39,-1,2.0056,2.0039,0.5603,0.5595
0,40,-1,1.9967,1.9950,0.5667,0.5663
0,41,-1,1.9875,1.9859,0.5703,0.5689
0,42,-1,1.9811,1.9795,0.5583,0.5586
0,43,-1,1.9709,1.9692,0.5713,0.5713
0,44,-1,1.9631,1.9614,0.5788,0.5806
0,45,-1,1.9561,1.9544,0.5774,0.5834
0,46,-1,1.9472,1.9455,0.5797,0.5842
0,47,-1,1.9383,1.9365,0.5843,0.5876
0,48,-1,1.9280,1.9263,0.6031,0.6083
0,49,-1,1.9181,1.9161,0.6117,0.6147
0,50,-1,1.9089,1.9070,0.6137,0.6170
0,51,-1,1.8998,1.8979,0.6178,0.6199
0,52,-1,1.8912,1.8893,0.6151,0.6176
0,53,-1,1.8789,1.8767,0.6366,0.6419
0,54,-1,1.8705,1.8680,0.6344,0.6359
0,55,-1,1.8617,1.8594,0.6323,0.6367
0,56,-1,1.8531,1.8508,0.6227,0.6267
0,57,-1,1.8433,1.8410,0.6315,0.6373
0,58,-1,1.8328,1.8302,0.6378,0.6408
0,59,-1,1.8219,1.8193,0.6360,0.6381
0,60,-1,1.8095,1.8068,0.6418,0.6492
0,61,-1,1.7998,1.7969,0.6440,0.6498
0,62,-1,1.7894,1.7865,0.6465,0.6498
0,63,-1,1.7792,1.7762,0.6500,0.6576
0,64,-1,1.7661,1.7628,0.6565,0.6628
0,65,-1,1.7577,1.7544,0.6559,0.6613
0,66,-1,1.7463,1.7429,0.6596,0.6681
0,67,-1,1.7377,1.7342,0.6582,0.6642
0,68,-1,1.7286,1.7252,0.6733,0.6791
0,69,-1,1.7195,1.7162,0.6658,0.6767
0,70,-1,1.7133,1.7101,0.6547,0.6637
0,71,-1,1.7041,1.7008,0.6581,0.6661
0,72,-1,1.6953,1.6921,0.6492,0.6589
0,73,-1,1.6845,1.6809,0.6668,0.6779
0,74,-1,1.6762,1.6725,0.6677,0.6746
0,75,-1,1.6680,1.6643,0.6598,0.6695
0,76,-1,1.6563,1.6523,0.6722,0.6826
0,77,-1,1.6502,1.6459,0.6506,0.6582
0,78,-1,1.6396,1.6353,0.6516,0.6617
0,79,-1,1.6297,1.6251,0.6466,0.6588
0,80,-1,1.6217,1.6169,0.6456,0.6564
0,81,-1,1.6139,1.6092,0.6550,0.6634
0,82,-1,1.6046,1.5997,0.6489,0.6606
0,83,-1,1.5953,1.5904,0.6507,0.6613
0,84,-1,1.5883,1.5834,0.6433,0.6538
0,85,-1,1.5788,1.5739,0.6440,0.6533
0,86,-1,1.5706,1.5655,0.6417,0.6511
0,87,-1,1.5661,1.5611,0.6353,0.6445
0,88,-1,1.5506,1.5455,0.6559,0.6670
0,89,-1,1.5463,1.5411,0.6469,0.6577
0,90,-1,1.5357,1.5304,0.6544,0.6661
0,91,-1,1.5297,1.5243,0.6475,0.6581
0,92,-1,1.5196,1.5140,0.6526,0.6658
0,93,-1,1.5130,1.5072,0.6552,0.6682
0,94,-1,1.5047,1.4988,0.6543,0.6674
0,95,-1,1.4952,1.4894,0.6505,0.6647
0,96,-1,1.4888,1.4831,0.6584,0.6711
0,97,-1,1.4845,1.4785,0.6436,0.6600
0,98,-1,1.4783,1.4724,0.6371,0.6539
0,99,-1,1.4723,1.4661,0.6294,0.6389
0,100,-1,1.4646,1.4583,0.6335,0.6455
0,101,-1,1.4532,1.4469,0.6412,0.6514
0,102,-1,1.4461,1.4398,0.6467,0.6582
0,103,-1,1.4373,1.4308,0.6460,0.6596
0,104,-1,1.4326,1.4258,0.6381,0.6498
0,105,-1,1.4235,1.4167,0.6509,0.6629
0,106,-1,1.4175,1.4109,0.6477,0.6574
0,107,-1,1.4085,1.4017,0.6528,0.6640
0,108,-1,1.4013,1.3944,0.6631,0.6753
0,109,-1,1.3957,1.3887,0.6633,0.6785
0,110,-1,1.3917,1.3844,0.6456,0.6577
0,111,-1,1.3853,1.3780,0.6554,0.6641
0,112,-1,1.3771,1.3698,0.6568,0.6673
0,113,-1,1.3652,1.3580,0.6818,0.6932
0,114,-1,1.3628,1.3553,0.6635,0.6768
0,115,-1,1.3569,1.3492,0.6663,0.6772
0,116,-1,1.3471,1.3395,0.6734,0.6856
0,117,-1,1.3417,1.3343,0.6751,0.6872
0,118,-1,1.3395,1.3321,0.6630,0.6758
0,119,-1,1.3364,1.3290,0.6501,0.6651
0,120,-1,1.3277,1.3204,0.6635,0.6742
0,121,-1,1.3189,1.3114,0.6630,0.6720
0,122,-1,1.3141,1.3065,0.6599,0.6693
0,123,-1,1.3055,1.2977,0.6673,0.6771
0,124,-1,1.2994,1.2912,0.6672,0.6786
0,125,-1,1.2999,1.2918,0.6551,0.6662
0,126,-1,1.2953,1.2871,0.6533,0.6651
0,127,-1,1.2909,1.2823,0.6617,0.6736
0,128,-1,1.2859,1.2774,0.6611,0.6736
0,129,-1,1.2785,1.2700,0.6663,0.6803
0,130,-1,1.2769,1.2681,0.6578,0.6683
0,131,-1,1.2728,1.2643,0.6538,0.6640
0,132,-1,1.2697,1.2609,0.6519,0.6638
0,133,-1,1.2673,1.2586,0.6482,0.6608
0,134,-1,1.2612,1.2523,0.6583,0.6713
0,135,-1,1.2515,1.2425,0.6608,0.6712
0,136,-1,1.2429,1.2339,0.6664,0.6787
0,137,-1,1.2372,1.2281,0.6692,0.6792
0,138,-1,1.2371,1.2279,0.6729,0.6803
0,139,-1,1.2277,1.2186,0.6726,0.6842
0,140,-1,1.2271,1.2176,0.6698,0.6845
0,141,-1,1.2251,1.2158,0.6648,0.6786
0,142,-1,1.2152,1.2060,0.6807,0.6944
0,143,-1,1.2112,1.2017,0.6886,0.7028
0,144,-1,1.2047,1.1950,0.6898,0.7025
0,145,-1,1.1982,1.1886,0.6834,0.6955
0,146,-1,1.1946,1.1848,0.6885,0.7025
0,147,-1,1.1889,1.1793,0.6936,0.7059
0,148,-1,1.1821,1.1726,0.6980,0.7070
0,149,-1,1.1779,1.1680,0.7029,0.7154
0,150,-1,1.1762,1.1662,0.7042,0.7186
0,151,-1,1.1757,1.1657,0.7035,0.7162
0,152,-1,1.1753,1.1652,0.6980,0.7141
0,153,-1,1.1722,1.1622,0.6997,0.7143
0,154,-1,1.1688,1.1588,0.7003,0.7135
0,155,-1,1.1678,1.1578,0.7001,0.7124
0,156,-1,1.1676,1.1575,0.6897,0.7065
0,157,-1,1.1663,1.1562,0.6893,0.7007
0,158,-1,1.1650,1.1547,0.6786,0.6922
0,159,-1,1.1644,1.1539,0.6809,0.6956
0,160,-1,1.1631,1.1526,0.6786,0.6901
0,161,-1,1.1599,1.1493,0.6831,0.6960
0,162,-1,1.1594,1.1489,0.6826,0.6936
0,163,-1,1.1584,1.1480,0.6811,0.6937
0,164,-1,1.1572,1.1467,0.6836,0.6979
0,165,-1,1.1569,1.1463,0.6785,0.6922
0,166,-1,1.1547,1.1441,0.6781,0.6871
0,167,-1,1.1520,1.1416,0.6798,0.6918
0,168,-1,1.1504,1.1400,0.6770,0.6870
0,169,-1,1.1490,1.1387,0.6789,0.6893
0,170,-1,1.1473,1.1368,0.6763,0.6864
0,171,-1,1.1419,1.1314,0.6875,0.6965
0,172,-1,1.1403,1.1298,0.6912,0.7032
0,173,-1,1.1404,1.1298,0.6895,0.7035
0,174,-1,1.1383,1.1276,0.6901,0.7023
0,175,-1,1.1345,1.1238,0.6925,0.7040
0,176,-1,1.1358,1.1251,0.6879,0.7007
0,177,-1,1.1299,1.1193,0.6942,0.7059
0,178,-1,1.1257,1.1149,0.7043,0.7158
0,179,-1,1.1226,1.1118,0.7048,0.7167
0,180,-1,1.1199,1.1092,0.7051,0.7149
0,181,-1,1.1194,1.1087,0.7042,0.7122
0,182,-1,1.1188,1.1080,0.7029,0.7121
0,183,-1,1.1192,1.1083,0.7007,0.7107
0,184,-1,1.1170,1.1064,0.7008,0.7108
0,185,-1,1.1159,1.1053,0.7021,0.7126
0,186,-1,1.1134,1.1029,0.7017,0.7108
0,187,-1,1.1140,1.1035,0.6995,0.7099
0,188,-1,1.1098,1.0992,0.7037,0.7129
0,189,-1,1.1092,1.0986,0.7004,0.7128
0,190,-1,1.1069,1.0962,0.7016,0.7136
0,191,-1,1.1076,1.0968,0.6982,0.7098
0,192,-1,1.1084,1.0974,0.6943,0.7062
0,193,-1,1.1080,1.0969,0.6915,0.7053
0,194,-1,1.1026,1.0916,0.7033,0.7167
0,195,-1,1.1032,1.0922,0.6977,0.7083
0,196,-1,1.1000,1.0889,0.6966,0.7093
0,197,-1,1.0992,1.0880,0.6998,0.7111
0,198,-1,1.1012,1.0897,0.6939,0.7066
0,199,-1,1.0976,1.0863,0.6998,0.7119
0,200,-1,1.0939,1.0827,0.7007,0.7134
0,201,-1,1.0936,1.0822,0.7022,0.7156
0,202,-1,1.0910,1.0796,0.7044,0.7187
0,203,-1,1.0918,1.0803,0.6985,0.7138
0,204,-1,1.0884,1.0768,0.6997,0.7144
0,205,-1,1.0898,1.0781,0.6934,0.7051
0,206,-1,1.0861,1.0746,0.6924,0.7044
0,207,-1,1.0794,1.0679,0.7027,0.7161
0,208,-1,1.0797,1.0683,0.7047,0.7169
0,209,-1,1.0760,1.0648,0.7087,0.7194
0,210,-1,1.0755,1.0642,0.7092,0.7209
0,211,-1,1.0755,1.0640,0.7079,0.7205
0,212,-1,1.0762,1.0645,0.7005,0.7118
0,213,-1,1.0750,1.0632,0.6970,0.7092
0,214,-1,1.0711,1.0595,0.7010,0.7141
0,215,-1,1.0710,1.0594,0.6997,0.7129
0,216,-1,1.0689,1.0573,0.6953,0.7101
0,217,-1,1.0681,1.0564,0.7000,0.7145
0,218,-1,1.0696,1.0577,0.6990,0.7110
0,219,-1,1.0660,1.0543,0.6982,0.7122
0,220,-1,1.0642,1.0524,0.7008,0.7163
0,221,-1,1.0639,1.0519,0.6971,0.7108
0,222,-1,1.0587,1.0469,0.7034,0.7167
0,223,-1,1.0553,1.0436,0.7082,0.7212
0,224,-1,1.0548,1.0428,0.7141,0.7258
0,225,-1,1.0559,1.0437,0.7099,0.7238
0,226,-1,1.0547,1.0425,0.7135,0.7262
0,227,-1,1.0512,1.0392,0.7133,0.7261
0,228,-1,1.0492,1.0373,0.7164,0.7282
0,229,-1,1.0503,1.0384,0.7098,0.7232
0,230,-1,1.0499,1.0381,0.7066,0.7210
0,231,-1,1.0482,1.0364,0.7067,0.7206
0,232,-1,1.0441,1.0323,0.7108,0.7229
0,233,-1,1.0462,1.0343,0.7074,0.7213
0,234,-1,1.0432,1.0311,0.7107,0.7250
0,235,-1,1.0432,1.0309,0.7115,0.7239
0,236,-1,1.0446,1.0322,0.7034,0.7178
0,237,-1,1.0434,1.0309,0.7048,0.7190
0,238,-1,1.0421,1.0297,0.7070,0.7211
0,239,-1,1.0405,1.0282,0.7051,0.7193
0,240,-1,1.0403,1.0280,0.7019,0.7144
0,241,-1,1.0393,1.0268,0.7006,0.7130
0,242,-1,1.0385,1.0259,0.7027,0.7151
0,243,-1,1.0365,1.0240,0.7075,0.7209
0,244,-1,1.0346,1.0220,0.7074,0.7195
0,245,-1,1.0325,1.0198,0.7104,0.7233
0,246,-1,1.0330,1.0201,0.7080,0.7215
0,247,-1,1.0278,1.0152,0.7166,0.7295
0,248,-1,1.0245,1.0121,0.7161,0.7294
0,249,-1,1.0250,1.0126,0.7123,0.7252
0,250,-1,1.0261,1.0136,0.7068,0.7213
0,251,-1,1.0250,1.0124,0.7057,0.7200
0,252,-1,1.0239,1.0112,0.7042,0.7181
0,253,-1,1.0201,1.0077,0.7078,0.7210
0,254,-1,1.0170,1.0046,0.7164,0.7279
0,255,-1,1.0169,1.0043,0.7148,0.7277
0,256,-1,1.0175,1.0047,0.7115,0.7248
0,257,-1,1.0162,1.0035,0.7108,0.7223
0,258,-1,1.0153,1.0025,0.7106,0.7232
0,259,-1,1.0125,0.9997,0.7097,0.7219
0,260,-1,1.0096,0.9969,0.7137,0.7258
0,261,-1,1.0088,0.9961,0.7158,0.7270
0,262,-1,1.0101,0.9970,0.7158,0.7305
0,263,-1,1.0103,0.9972,0.7109,0.7260
0,264,-1,1.0083,0.9953,0.7134,0.7283
0,265,-1,1.0046,0.9918,0.7184,0.7303
0,266,-1,1.0052,0.9925,0.7156,0.7286
0,267,-1,1.0060,0.9933,0.7133,0.7287
0,268,-1,1.0066,0.9936,0.7105,0.7258
0,269,-1,1.0060,0.9930,0.7090,0.7233
0,270,-1,1.0032,0.9904,0.7088,0.7242
0,271,-1,1.0011,0.9883,0.7107,0.7250
0,272,-1,1.0007,0.9879,0.7111,0.7267
0,273,-1,0.9996,0.9868,0.7087,0.7232
0,274,-1,0.9969,0.9840,0.7138,0.7274
0,275,-1,0.9981,0.9852,0.7105,0.7253
0,276,-1,0.9953,0.9827,0.7131,0.7287
0,277,-1,0.9940,0.9815,0.7125,0.7271
0,278,-1,0.9948,0.9821,0.7087,0.7196
0,279,-1,0.9916,0.9791,0.7106,0.7224
0,280,-1,0.9914,0.9788,0.7114,0.7260
0,281,-1,0.9943,0.9815,0.7066,0.7222
0,282,-1,0.9898,0.9769,0.7133,0.7278
0,283,-1,0.9884,0.9754,0.7178,0.7324
0,284,-1,0.9904,0.9773,0.7102,0.7250
0,285,-1,0.9920,0.9789,0.7082,0.7211
0,286,-1,0.9895,0.9765,0.7131,0.7270
0,287,-1,0.9889,0.9758,0.7091,0.7231
0,288,-1,0.9841,0.9712,0.7152,0.7294
0,289,-1,0.9830,0.9699,0.7134,0.7288
0,290,-1,0.9805,0.9678,0.7159,0.7290
0,291,-1,0.9816,0.9686,0.7118,0.7254
0,292,-1,0.9820,0.9689,0.7115,0.7230
0,293,-1,0.9809,0.9678,0.7125,0.7249
0,294,-1,0.9755,0.9626,0.7151,0.7291
0,295,-1,0.9752,0.9623,0.7185,0.7321
0,296,-1,0.9730,0.9600,0.7180,0.7298
0,297,-1,0.9731,0.9602,0.7151,0.7259
0,298,-1,0.9715,0.9586,0.7176,0.7280
0,299,-1,0.9714,0.9586,0.7180,0.7291
0,300,-1,0.9692,0.9564,0.7192,0.7301
0,301,-1,0.9692,0.9565,0.7195,0.7296
0,302,-1,0.9672,0.9544,0.7206,0.7318
0,303,-1,0.9681,0.9551,0.7190,0.7296
0,304,-1,0.9682,0.9552,0.7202,0.7306
0,305,-1,0.9673,0.9543,0.7202,0.7303
0,306,-1,0.9690,0.9559,0.7131,0.7255
0,307,-1,0.9702,0.9570,0.7112,0.7226
0,308,-1,0.9711,0.9578,0.7108,0.7239
0,309,-1,0.9701,0.9569,0.7141,0.7260
0,310,-1,0.9698,0.9565,0.7150,0.7273
0,311,-1,0.9700,0.9567,0.7134,0.7245
0,312,-1,0.9690,0.9556,0.7158,0.7273
0,313,-1,0.9682,0.9549,0.7141,0.7268
0,314,-1,0.9687,0.9554,0.7108,0.7241
0,315,-1,0.9686,0.9552,0.7113,0.7246
0,316,-1,0.9664,0.9529,0.7152,0.7295
0,317,-1,0.9657,0.9523,0.7167,0.7299
0,318,-1,0.9666,0.9531,0.7155,0.7299
0,319,-1,0.9640,0.9507,0.7184,0.7318
0,320,-1,0.9650,0.9516,0.7173,0.7306
0,321,-1,0.9651,0.9516,0.7176,0.7322
0,322,-1,0.9647,0.9510,0.7169,0.7320
