BEGIN-TRAINING
name,fmnist_fig13b
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,0.3
NIID,True
powd,9
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig13b.json
device,cpu
key,powd_9
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/fmnist_fig13b/lr0.0005_bs128_cp30_a0.30_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0009_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3042,2.3044,0.1405,0.1378
0,1,-1,2.2931,2.2932,0.1293,0.1292
0,2,-1,2.2834,2.2834,0.1308,0.1303
0,3,-1,2.2763,2.2764,0.1406,0.1409
0,4,-1,2.2685,2.2684,0.1408,0.1398
0,5,-1,2.2631,2.2632,0.1495,0.1487
0,6,-1,2.2554,2.2555,0.1507,0.1525
0,7,-1,2.2479,2.2478,0.2022,0.2045
0,8,-1,2.2390,2.2385,0.2154,0.2158
0,9,-1,2.2336,2.2332,0.2229,0.2255
0,10,-1,2.2290,2.2285,0.2357,0.2387
0,11,-1,2.2190,2.2185,0.2837,0.2872
0,12,-1,2.2124,2.2116,0.2584,0.2632
0,13,-1,2.2056,2.2049,0.2609,0.2680
0,14,-1,2.1983,2.1976,0.3420,0.3459
0,15,-1,2.1897,2.1890,0.3705,0.3732
0,16,-1,2.1828,2.1821,0.3409,0.3524
0,17,-1,2.1769,2.1764,0.3676,0.3709
0,18,-1,2.1724,2.1718,0.3938,0.3958
0,19,-1,2.1619,2.1612,0.4159,0.4210
0,20,-1,2.1522,2.1515,0.4456,0.4507
0,21,-1,2.1435,2.1427,0.4486,0.4524
0,22,-1,2.1417,2.1415,0.3701,0.3718
0,23,-1,2.1326,2.1322,0.3784,0.3750
0,24,-1,2.1225,2.1218,0.4357,0.4403
0,25,-1,2.1142,2.1135,0.4476,0.4533
0,26,-1,2.1047,2.1040,0.4578,0.4635
0,27,-1,2.0987,2.0981,0.5044,0.5117
0,28,-1,2.0880,2.0871,0.5059,0.5117
0,29,-1,2.0782,2.0774,0.5013,0.5110
0,30,-1,2.0744,2.0736,0.4623,0.4655
0,31,-1,2.0688,2.0680,0.4215,0.4221
0,32,-1,2.0580,2.0571,0.4900,0.4964
0,33,-1,2.0469,2.0457,0.4993,0.4986
0,34,-1,2.0366,2.0354,0.5084,0.5087
0,35,-1,2.0318,2.0309,0.4664,0.4665
0,36,-1,2.0216,2.0204,0.5141,0.5186
0,37,-1,2.0130,2.0116,0.5127,0.5227
0,38,-1,2.0106,2.0096,0.4631,0.4719
0,39,-1,1.9945,1.9933,0.5176,0.5246
0,40,-1,1.9827,1.9812,0.5367,0.5473
0,41,-1,1.9750,1.9737,0.5161,0.5237
0,42,-1,1.9782,1.9775,0.4727,0.4830
0,43,-1,1.9666,1.9655,0.4861,0.4918
0,44,-1,1.9586,1.9569,0.4846,0.4897
0,45,-1,1.9456,1.9439,0.5020,0.5106
0,46,-1,1.9358,1.9339,0.5099,0.5156
0,47,-1,1.9246,1.9227,0.5123,0.5133
0,48,-1,1.9105,1.9090,0.5324,0.5377
0,49,-1,1.9015,1.9001,0.5171,0.5230
0,50,-1,1.8936,1.8918,0.5073,0.5105
0,51,-1,1.8746,1.8725,0.5734,0.5817
0,52,-1,1.8691,1.8673,0.5405,0.5481
0,53,-1,1.8517,1.8496,0.5947,0.6030
0,54,-1,1.8406,1.8387,0.6090,0.6149
0,55,-1,1.8354,1.8334,0.5657,0.5732
0,56,-1,1.8256,1.8236,0.6045,0.6117
0,57,-1,1.8232,1.8211,0.5532,0.5627
0,58,-1,1.8077,1.8051,0.6030,0.6119
0,59,-1,1.8076,1.8050,0.5520,0.5588
0,60,-1,1.7912,1.7885,0.5627,0.5722
0,61,-1,1.7839,1.7814,0.5469,0.5543
0,62,-1,1.7880,1.7855,0.4646,0.4697
0,63,-1,1.7764,1.7733,0.4968,0.5030
0,64,-1,1.7593,1.7560,0.5310,0.5384
0,65,-1,1.7514,1.7479,0.5684,0.5722
0,66,-1,1.7399,1.7366,0.5264,0.5340
0,67,-1,1.7322,1.7289,0.5119,0.5149
0,68,-1,1.7107,1.7071,0.5764,0.5872
0,69,-1,1.7170,1.7134,0.5105,0.5192
0,70,-1,1.6966,1.6927,0.5281,0.5382
0,71,-1,1.6798,1.6758,0.5880,0.6019
0,72,-1,1.6829,1.6781,0.5764,0.5864
0,73,-1,1.7054,1.7012,0.5004,0.5067
0,74,-1,1.6650,1.6612,0.5649,0.5768
0,75,-1,1.6506,1.6463,0.6161,0.6248
0,76,-1,1.6492,1.6448,0.5491,0.5606
0,77,-1,1.6331,1.6287,0.5378,0.5508
0,78,-1,1.6203,1.6155,0.5955,0.6070
0,79,-1,1.6088,1.6039,0.5996,0.6108
0,80,-1,1.6227,1.6179,0.5427,0.5516
0,81,-1,1.6021,1.5972,0.5743,0.5819
0,82,-1,1.5930,1.5879,0.5664,0.5724
0,83,-1,1.5860,1.5810,0.5320,0.5491
0,84,-1,1.5796,1.5741,0.5827,0.6011
0,85,-1,1.5871,1.5819,0.5180,0.5321
0,86,-1,1.5699,1.5638,0.5438,0.5541
0,87,-1,1.5704,1.5642,0.5003,0.5124
0,88,-1,1.5499,1.5437,0.5560,0.5688
0,89,-1,1.5421,1.5356,0.5688,0.5747
0,90,-1,1.5307,1.5248,0.5949,0.6069
0,91,-1,1.5327,1.5267,0.5512,0.5673
0,92,-1,1.5147,1.5085,0.6231,0.6378
0,93,-1,1.5094,1.5030,0.5884,0.5977
0,94,-1,1.5043,1.4972,0.5861,0.5917
0,95,-1,1.4809,1.4745,0.5854,0.5986
0,96,-1,1.4884,1.4817,0.5637,0.5693
