BEGIN-TRAINING
name,fmnist_fig14b
model,MLP
dataset,fmnist
num_classes,10
algo,cpow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,0.3
NIID,True
powd,15
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig14b.json
device,cpu
key,cpowd_15
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/fmnist_fig14b/lr0.0005_bs128_cp30_a0.30_e12345_r0_n0100_f0.03/cpow-d_rr0.10_dr0.75_p0015_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3042,2.3000,0.1405,0.1389
0,1,-1,2.2984,2.2935,0.1479,0.1591
0,2,-1,2.2871,2.2882,0.1574,0.1503
0,3,-1,2.2793,2.2771,0.1636,0.1787
0,4,-1,2.2749,2.2748,0.1904,0.1973
0,5,-1,2.2626,2.2572,0.1816,0.1948
0,6,-1,2.2543,2.2530,0.1759,0.1785
0,7,-1,2.2429,2.2400,0.1891,0.1890
0,8,-1,2.2378,2.2348,0.1999,0.2144
0,9,-1,2.2252,2.2238,0.2391,0.2290
0,10,-1,2.2158,2.2139,0.2675,0.2511
0,11,-1,2.2086,2.2082,0.2663,0.2807
0,12,-1,2.1968,2.1980,0.2952,0.2975
0,13,-1,2.1879,2.1915,0.3002,0.2858
0,14,-1,2.1805,2.1871,0.3131,0.2990
0,15,-1,2.1743,2.1773,0.2870,0.2920
0,16,-1,2.1641,2.1694,0.2862,0.2857
0,17,-1,2.1580,2.1611,0.2798,0.2824
0,18,-1,2.1455,2.1474,0.3026,0.3054
0,19,-1,2.1322,2.1350,0.3299,0.3180
0,20,-1,2.1229,2.1276,0.3506,0.3285
0,21,-1,2.1133,2.1162,0.3396,0.3249
0,22,-1,2.1017,2.1044,0.3602,0.3517
0,23,-1,2.0928,2.0966,0.3379,0.3196
0,24,-1,2.0887,2.0882,0.3721,0.3629
0,25,-1,2.0786,2.0839,0.3461,0.3441
0,26,-1,2.0665,2.0696,0.3486,0.3403
0,27,-1,2.0556,2.0623,0.3645,0.3393
0,28,-1,2.0449,2.0472,0.3821,0.3613
0,29,-1,2.0355,2.0377,0.3683,0.3474
0,30,-1,2.0221,2.0235,0.3895,0.3912
0,31,-1,2.0133,2.0147,0.3945,0.3805
0,32,-1,2.0009,1.9979,0.3801,0.3668
0,33,-1,1.9956,1.9959,0.3725,0.3665
0,34,-1,1.9815,1.9874,0.3871,0.3732
0,35,-1,1.9729,1.9783,0.4231,0.4013
0,36,-1,1.9645,1.9687,0.4186,0.4036
0,37,-1,1.9587,1.9577,0.4028,0.4009
0,38,-1,1.9394,1.9405,0.4059,0.4003
0,39,-1,1.9295,1.9300,0.4053,0.3983
0,40,-1,1.9230,1.9296,0.4344,0.4007
0,41,-1,1.9073,1.9090,0.4115,0.3803
0,42,-1,1.8960,1.8917,0.4366,0.4156
0,43,-1,1.8950,1.8970,0.4238,0.4062
0,44,-1,1.8765,1.8758,0.4347,0.4141
0,45,-1,1.8707,1.8738,0.4437,0.4201
0,46,-1,1.8710,1.8780,0.4308,0.4040
0,47,-1,1.8603,1.8669,0.4534,0.4279
0,48,-1,1.8420,1.8492,0.4368,0.4079
0,49,-1,1.8352,1.8408,0.4404,0.4172
0,50,-1,1.8159,1.8150,0.4374,0.4133
0,51,-1,1.8108,1.8159,0.4215,0.4042
0,52,-1,1.8088,1.8087,0.3856,0.3854
0,53,-1,1.7959,1.7935,0.3928,0.3905
0,54,-1,1.7876,1.7818,0.3807,0.3793
0,55,-1,1.7680,1.7723,0.4069,0.3886
0,56,-1,1.7522,1.7494,0.4406,0.4206
0,57,-1,1.7416,1.7438,0.4524,0.4256
0,58,-1,1.7285,1.7361,0.4511,0.4261
0,59,-1,1.7174,1.7236,0.4343,0.4108
0,60,-1,1.7080,1.7179,0.4554,0.4270
0,61,-1,1.6992,1.7128,0.4501,0.4218
0,62,-1,1.6877,1.6812,0.4431,0.4297
0,63,-1,1.6889,1.6890,0.4179,0.4096
0,64,-1,1.6806,1.6854,0.4211,0.4026
0,65,-1,1.6639,1.6645,0.4406,0.4258
0,66,-1,1.6528,1.6594,0.4524,0.4297
0,67,-1,1.6360,1.6271,0.4701,0.4536
0,68,-1,1.6274,1.6326,0.4651,0.4464
0,69,-1,1.6179,1.6139,0.4657,0.4428
0,70,-1,1.6106,1.6126,0.4717,0.4574
0,71,-1,1.6048,1.6021,0.4719,0.4584
0,72,-1,1.5976,1.6007,0.4629,0.4405
0,73,-1,1.5974,1.6003,0.4374,0.4126
0,74,-1,1.5845,1.5875,0.4589,0.4341
0,75,-1,1.5649,1.5621,0.4850,0.4775
0,76,-1,1.5587,1.5519,0.4938,0.4827
0,77,-1,1.5459,1.5354,0.4979,0.4771
0,78,-1,1.5444,1.5473,0.5088,0.4993
0,79,-1,1.5468,1.5404,0.4797,0.4682
0,80,-1,1.5413,1.5332,0.4829,0.4686
0,81,-1,1.5296,1.5331,0.4995,0.4833
0,82,-1,1.5222,1.5228,0.4995,0.5111
0,83,-1,1.5092,1.5057,0.5187,0.5264
0,84,-1,1.5013,1.5045,0.5251,0.5366
0,85,-1,1.4881,1.4865,0.5526,0.5814
0,86,-1,1.4749,1.4703,0.5562,0.5627
0,87,-1,1.4794,1.4805,0.5517,0.5658
0,88,-1,1.4965,1.4888,0.5346,0.5599
0,89,-1,1.4435,1.4339,0.5869,0.6051
0,90,-1,1.4351,1.4252,0.6080,0.6247
0,91,-1,1.4366,1.4371,0.5804,0.5824
0,92,-1,1.4307,1.4242,0.5975,0.5978
0,93,-1,1.4127,1.4092,0.6253,0.6425
0,94,-1,1.4071,1.4064,0.6158,0.6196
0,95,-1,1.3938,1.3874,0.6134,0.6339
0,96,-1,1.3856,1.3810,0.6129,0.6264
0,97,-1,1.3747,1.3693,0.6067,0.6288
0,98,-1,1.3816,1.3734,0.5999,0.6176
0,99,-1,1.3909,1.3860,0.5749,0.5837
0,100,-1,1.3691,1.3681,0.6105,0.6240
0,101,-1,1.3707,1.3687,0.5809,0.6002
0,102,-1,1.3931,1.3898,0.5298,0.5510
0,103,-1,1.3616,1.3589,0.5518,0.5609
0,104,-1,1.3452,1.3448,0.5614,0.5653
0,105,-1,1.3380,1.3294,0.5650,0.5747
0,106,-1,1.3263,1.3215,0.5994,0.6282
0,107,-1,1.3092,1.3021,0.6074,0.6349
0,108,-1,1.3089,1.3088,0.6029,0.6282
0,109,-1,1.3017,1.2879,0.6132,0.6372
