BEGIN-TRAINING
name,fmnist_fig14b
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,0.3
NIID,True
powd,15
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig14b.json
device,cpu
key,powd_15
plot_linecolor,c_t(3)
plot_linestyle,-.
out_fname,./logs/fmnist_fig14b/lr0.0005_bs128_cp30_a0.30_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0015_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3042,2.3044,0.1405,0.1378
0,1,-1,2.2910,2.2911,0.1341,0.1346
0,2,-1,2.2841,2.2844,0.1442,0.1458
0,3,-1,2.2782,2.2785,0.1505,0.1534
0,4,-1,2.2690,2.2690,0.1706,0.1724
0,5,-1,2.2614,2.2612,0.1719,0.1730
0,6,-1,2.2567,2.2565,0.1516,0.1523
0,7,-1,2.2503,2.2502,0.1635,0.1631
0,8,-1,2.2431,2.2429,0.1856,0.1862
0,9,-1,2.2342,2.2340,0.2263,0.2255
0,10,-1,2.2271,2.2268,0.2552,0.2615
0,11,-1,2.2212,2.2209,0.2641,0.2670
0,12,-1,2.2160,2.2157,0.2748,0.2779
0,13,-1,2.2102,2.2097,0.2768,0.2838
0,14,-1,2.2038,2.2035,0.3264,0.3275
0,15,-1,2.1957,2.1955,0.3191,0.3171
0,16,-1,2.1876,2.1871,0.3474,0.3480
0,17,-1,2.1826,2.1823,0.2838,0.2827
0,18,-1,2.1789,2.1786,0.3485,0.3498
0,19,-1,2.1712,2.1708,0.3658,0.3679
0,20,-1,2.1641,2.1633,0.3759,0.3831
0,21,-1,2.1557,2.1550,0.4123,0.4204
0,22,-1,2.1465,2.1459,0.3847,0.3893
0,23,-1,2.1388,2.1384,0.3716,0.3791
0,24,-1,2.1370,2.1364,0.4190,0.4199
0,25,-1,2.1276,2.1271,0.4078,0.4088
0,26,-1,2.1173,2.1162,0.3952,0.4006
0,27,-1,2.1111,2.1101,0.3697,0.3722
0,28,-1,2.0996,2.0988,0.4503,0.4543
0,29,-1,2.0910,2.0902,0.4782,0.4885
0,30,-1,2.0880,2.0875,0.4254,0.4320
0,31,-1,2.0746,2.0738,0.4511,0.4562
0,32,-1,2.0652,2.0643,0.4974,0.5016
0,33,-1,2.0597,2.0588,0.5220,0.5315
0,34,-1,2.0509,2.0500,0.4866,0.4913
0,35,-1,2.0404,2.0391,0.5280,0.5363
0,36,-1,2.0321,2.0311,0.5098,0.5213
0,37,-1,2.0250,2.0236,0.4991,0.5076
0,38,-1,2.0202,2.0194,0.4620,0.4698
0,39,-1,2.0105,2.0090,0.4800,0.4850
0,40,-1,2.0046,2.0038,0.4518,0.4536
0,41,-1,1.9910,1.9899,0.4818,0.4901
0,42,-1,1.9845,1.9827,0.4263,0.4314
0,43,-1,1.9838,1.9825,0.4045,0.4098
0,44,-1,1.9783,1.9769,0.4679,0.4697
0,45,-1,1.9642,1.9621,0.4768,0.4847
0,46,-1,1.9468,1.9449,0.5053,0.5124
0,47,-1,1.9470,1.9442,0.4508,0.4555
0,48,-1,1.9274,1.9253,0.5036,0.5155
0,49,-1,1.9151,1.9129,0.5494,0.5541
0,50,-1,1.8989,1.8968,0.5663,0.5786
0,51,-1,1.8972,1.8955,0.5324,0.5361
0,52,-1,1.8846,1.8826,0.5187,0.5282
0,53,-1,1.8761,1.8738,0.5475,0.5595
0,54,-1,1.8649,1.8624,0.5458,0.5523
0,55,-1,1.8583,1.8554,0.5443,0.5471
0,56,-1,1.8397,1.8370,0.5909,0.5948
0,57,-1,1.8313,1.8288,0.5760,0.5844
0,58,-1,1.8263,1.8239,0.5273,0.5430
0,59,-1,1.8176,1.8150,0.5204,0.5301
0,60,-1,1.8113,1.8080,0.5346,0.5408
0,61,-1,1.8053,1.8025,0.4974,0.5045
0,62,-1,1.7890,1.7861,0.5213,0.5290
0,63,-1,1.7807,1.7775,0.5473,0.5502
0,64,-1,1.7752,1.7718,0.5215,0.5297
0,65,-1,1.7534,1.7502,0.5720,0.5810
0,66,-1,1.7576,1.7537,0.5357,0.5474
0,67,-1,1.7362,1.7319,0.5884,0.5992
0,68,-1,1.7300,1.7263,0.5029,0.5172
0,69,-1,1.7295,1.7256,0.5104,0.5080
0,70,-1,1.7095,1.7060,0.5478,0.5540
0,71,-1,1.7052,1.7008,0.5810,0.5889
0,72,-1,1.6916,1.6869,0.5895,0.5977
0,73,-1,1.7293,1.7250,0.4621,0.4681
0,74,-1,1.7042,1.6992,0.5183,0.5245
0,75,-1,1.6906,1.6860,0.5175,0.5272
0,76,-1,1.6706,1.6665,0.5485,0.5576
0,77,-1,1.6544,1.6502,0.5639,0.5755
0,78,-1,1.6487,1.6436,0.5499,0.5539
0,79,-1,1.6442,1.6390,0.5147,0.5207
0,80,-1,1.6272,1.6230,0.5627,0.5705
0,81,-1,1.6276,1.6223,0.5618,0.5670
0,82,-1,1.6180,1.6126,0.5406,0.5465
0,83,-1,1.5985,1.5930,0.5768,0.5868
0,84,-1,1.5960,1.5908,0.5519,0.5665
0,85,-1,1.5834,1.5779,0.5987,0.6121
0,86,-1,1.5881,1.5826,0.5644,0.5751
0,87,-1,1.5693,1.5637,0.5513,0.5636
0,88,-1,1.5773,1.5712,0.5269,0.5391
0,89,-1,1.5579,1.5518,0.5447,0.5578
0,90,-1,1.5396,1.5337,0.5546,0.5614
0,91,-1,1.5715,1.5654,0.4656,0.4769
0,92,-1,1.5366,1.5304,0.5679,0.5772
0,93,-1,1.5151,1.5090,0.5917,0.5987
0,94,-1,1.5147,1.5086,0.5512,0.5653
0,95,-1,1.5185,1.5122,0.5365,0.5459
