BEGIN-TRAINING
name,fmnist_fig14b
model,MLP
dataset,fmnist
num_classes,10
algo,rand
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,128
lr,0.0005
decay,[150, 300]
alpha,0.3
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig14b.json
device,cpu
key,rand
plot_linecolor,k
plot_linestyle,-
out_fname,./logs/fmnist_fig14b/lr0.0005_bs128_cp30_a0.30_e12345_r0_n0100_f0.03/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3042,2.3044,0.1405,0.1378
0,1,-1,2.2955,2.2957,0.1329,0.1301
0,2,-1,2.2903,2.2906,0.1202,0.1178
0,3,-1,2.2789,2.2792,0.1325,0.1297
0,4,-1,2.2740,2.2743,0.1416,0.1386
0,5,-1,2.2642,2.2643,0.1573,0.1584
0,6,-1,2.2560,2.2561,0.1699,0.1674
0,7,-1,2.2466,2.2467,0.2203,0.2237
0,8,-1,2.2360,2.2360,0.2442,0.2463
0,9,-1,2.2288,2.2289,0.2526,0.2557
0,10,-1,2.2204,2.2204,0.2685,0.2709
0,11,-1,2.2087,2.2087,0.2836,0.2864
0,12,-1,2.1995,2.1993,0.2831,0.2833
0,13,-1,2.1928,2.1925,0.2928,0.2920
0,14,-1,2.1830,2.1828,0.2900,0.2908
0,15,-1,2.1736,2.1733,0.2930,0.2932
0,16,-1,2.1672,2.1668,0.2961,0.2951
0,17,-1,2.1560,2.1556,0.2949,0.2955
0,18,-1,2.1483,2.1478,0.3014,0.3024
0,19,-1,2.1422,2.1417,0.3020,0.3018
0,20,-1,2.1323,2.1317,0.3185,0.3217
0,21,-1,2.1239,2.1234,0.3119,0.3145
0,22,-1,2.1170,2.1165,0.3191,0.3224
0,23,-1,2.1030,2.1023,0.3430,0.3477
0,24,-1,2.0928,2.0918,0.3624,0.3620
0,25,-1,2.0874,2.0862,0.3885,0.3869
