BEGIN-TRAINING
name,fmnist_fig16b
model,MLP
dataset,fmnist
num_classes,10
algo,rpow-d
num_clients,100
rounds,400
clients_per_round,3
localE,100
bs,64
lr,0.0005
decay,[150, 300]
alpha,0.3
NIID,True
powd,50
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig16b.json
device,cpu
key,rpowd_50
plot_linecolor,c_t(2)
plot_linestyle,:
out_fname,./logs/fmnist_fig16b/lr0.0005_bs64_cp100_a0.30_e12345_r0_n0100_f0.03/rpow-d_rr0.10_dr0.75_p0050_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.2953,2.2955,0.1126,0.1124
0,1,-1,2.2749,2.2751,0.1135,0.1133
0,2,-1,2.2514,2.2515,0.1214,0.1212
0,3,-1,2.2076,2.2067,0.1951,0.1965
0,4,-1,2.1830,2.1822,0.3472,0.3521
0,5,-1,2.1604,2.1595,0.3002,0.3010
0,6,-1,2.1453,2.1434,0.2615,0.2621
0,7,-1,2.0819,2.0793,0.4741,0.4821
0,8,-1,2.0475,2.0452,0.4345,0.4380
0,9,-1,2.0195,2.0182,0.3258,0.3285
0,10,-1,1.9836,1.9821,0.3940,0.3954
0,11,-1,1.9381,1.9358,0.4237,0.4275
0,12,-1,1.9070,1.9040,0.4193,0.4199
0,13,-1,1.8989,1.8956,0.3915,0.3970
0,14,-1,1.8935,1.8912,0.3505,0.3538
0,15,-1,1.8287,1.8256,0.4019,0.4038
0,16,-1,1.8037,1.8011,0.4542,0.4572
0,17,-1,1.7752,1.7724,0.4330,0.4328
0,18,-1,1.7616,1.7590,0.3740,0.3729
0,19,-1,1.6748,1.6697,0.4334,0.4364
0,20,-1,1.6500,1.6442,0.4568,0.4582
0,21,-1,1.6508,1.6463,0.4405,0.4444
0,22,-1,1.6536,1.6471,0.4552,0.4641
0,23,-1,1.5453,1.5369,0.5109,0.5164
0,24,-1,1.5035,1.4961,0.5662,0.5686
0,25,-1,1.4697,1.4618,0.5861,0.5921
0,26,-1,1.4554,1.4491,0.5317,0.5426
0,27,-1,1.4182,1.4121,0.5954,0.6009
0,28,-1,1.4255,1.4183,0.5462,0.5531
0,29,-1,1.3850,1.3770,0.5545,0.5633
0,30,-1,1.3582,1.3499,0.5819,0.5879
0,31,-1,1.3381,1.3297,0.6077,0.6134
0,32,-1,1.3242,1.3165,0.6176,0.6226
0,33,-1,1.3169,1.3100,0.6084,0.6169
0,34,-1,1.2663,1.2570,0.6362,0.6458
0,35,-1,1.2642,1.2563,0.6137,0.6196
0,36,-1,1.2560,1.2476,0.6103,0.6199
0,37,-1,1.2407,1.2318,0.6089,0.6176
0,38,-1,1.2539,1.2427,0.5744,0.5782
0,39,-1,1.1880,1.1770,0.6259,0.6378
0,40,-1,1.1596,1.1500,0.6796,0.6915
0,41,-1,1.1356,1.1261,0.6892,0.6970
0,42,-1,1.2029,1.1917,0.5843,0.5972
0,43,-1,1.1632,1.1530,0.6123,0.6253
0,44,-1,1.0886,1.0793,0.6971,0.7066
0,45,-1,1.1321,1.1202,0.6360,0.6441
0,46,-1,1.0943,1.0823,0.6798,0.6904
0,47,-1,1.1404,1.1286,0.5963,0.6048
0,48,-1,1.1012,1.0892,0.6090,0.6219
0,49,-1,1.0884,1.0752,0.6246,0.6402
0,50,-1,1.1005,1.0871,0.6366,0.6502
0,51,-1,1.0888,1.0769,0.6412,0.6450
0,52,-1,1.0647,1.0550,0.6780,0.6873
0,53,-1,1.0784,1.0652,0.6493,0.6611
0,54,-1,1.0305,1.0208,0.6834,0.6910
0,55,-1,1.0428,1.0323,0.6765,0.6813
0,56,-1,1.0119,0.9999,0.6941,0.7035
0,57,-1,0.9990,0.9850,0.6790,0.6928
0,58,-1,1.0042,0.9890,0.6722,0.6791
0,59,-1,1.0535,1.0357,0.6198,0.6342
0,60,-1,1.0596,1.0442,0.5958,0.6101
0,61,-1,1.0037,0.9903,0.6541,0.6611
0,62,-1,0.9889,0.9731,0.6749,0.6879
0,63,-1,1.1035,1.0841,0.6312,0.6395
0,64,-1,1.0132,0.9982,0.6545,0.6621
0,65,-1,0.9907,0.9752,0.6474,0.6552
0,66,-1,0.9861,0.9682,0.6671,0.6763
0,67,-1,1.0201,1.0010,0.6276,0.6447
0,68,-1,1.1697,1.1476,0.5615,0.5711
0,69,-1,0.9404,0.9249,0.7023,0.7161
0,70,-1,0.9733,0.9567,0.6584,0.6717
0,71,-1,1.0450,1.0262,0.5670,0.5828
0,72,-1,1.0145,0.9955,0.6084,0.6259
0,73,-1,0.9682,0.9541,0.6395,0.6450
0,74,-1,0.9599,0.9465,0.6539,0.6621
0,75,-1,1.0648,1.0450,0.5709,0.5821
0,76,-1,0.9801,0.9620,0.6167,0.6336
0,77,-1,0.9175,0.9005,0.6912,0.7041
0,78,-1,0.8894,0.8739,0.7106,0.7242
0,79,-1,0.9112,0.8957,0.7094,0.7200
0,80,-1,0.8951,0.8783,0.6925,0.7023
0,81,-1,0.8927,0.8769,0.6943,0.7027
0,82,-1,0.8881,0.8709,0.7059,0.7202
0,83,-1,0.9056,0.8894,0.6851,0.6986
0,84,-1,0.8984,0.8828,0.6823,0.6914
0,85,-1,0.8861,0.8699,0.6812,0.6981
0,86,-1,0.9183,0.8993,0.6555,0.6725
0,87,-1,0.8441,0.8294,0.7235,0.7383
0,88,-1,0.8842,0.8656,0.6810,0.6898
0,89,-1,0.8708,0.8534,0.6882,0.6969
0,90,-1,0.8581,0.8403,0.6825,0.6945
0,91,-1,0.8432,0.8253,0.7357,0.7475
0,92,-1,0.8363,0.8186,0.7134,0.7270
0,93,-1,0.8606,0.8423,0.6972,0.7116
0,94,-1,0.8519,0.8347,0.7051,0.7121
0,95,-1,0.8501,0.8308,0.7096,0.7244
0,96,-1,0.9244,0.9024,0.6592,0.6698
0,97,-1,0.9221,0.8993,0.6604,0.6751
0,98,-1,0.8837,0.8622,0.6890,0.7004
0,99,-1,0.9324,0.9093,0.6732,0.6835
0,100,-1,0.8844,0.8599,0.7118,0.7297
0,101,-1,0.8953,0.8722,0.6905,0.7069
0,102,-1,1.0037,0.9792,0.6174,0.6306
0,103,-1,0.8834,0.8630,0.6573,0.6697
0,104,-1,0.9012,0.8821,0.6414,0.6513
0,105,-1,0.8450,0.8260,0.7158,0.7277
0,106,-1,0.9326,0.9092,0.6233,0.6386
0,107,-1,0.8622,0.8417,0.6800,0.6914
0,108,-1,0.9913,0.9644,0.6285,0.6395
0,109,-1,0.8994,0.8773,0.6563,0.6671
0,110,-1,0.8710,0.8490,0.6942,0.7038
0,111,-1,0.8401,0.8187,0.7119,0.7257
0,112,-1,0.8925,0.8684,0.6535,0.6709
0,113,-1,0.8603,0.8398,0.6787,0.6896
0,114,-1,0.8196,0.8012,0.7234,0.7322
0,115,-1,0.9106,0.8870,0.6464,0.6561
0,116,-1,1.0323,1.0047,0.6052,0.6164
0,117,-1,0.8004,0.7802,0.7391,0.7530
0,118,-1,0.8426,0.8213,0.6998,0.7078
0,119,-1,0.8751,0.8519,0.6478,0.6587
0,120,-1,0.8038,0.7829,0.7217,0.7364
0,121,-1,0.7717,0.7528,0.7455,0.7529
0,122,-1,0.7698,0.7530,0.7402,0.7509
0,123,-1,0.7822,0.7642,0.7319,0.7441
0,124,-1,0.7848,0.7658,0.7313,0.7441
0,125,-1,0.7783,0.7593,0.7319,0.7451
0,126,-1,0.7986,0.7778,0.7044,0.7156
0,127,-1,0.8034,0.7845,0.7114,0.7192
0,128,-1,0.8158,0.7946,0.7042,0.7161
0,129,-1,0.8161,0.7951,0.7206,0.7313
0,130,-1,0.7772,0.7561,0.7451,0.7566
0,131,-1,0.8610,0.8366,0.6685,0.6827
0,132,-1,0.9245,0.8991,0.6703,0.6825
0,133,-1,0.8730,0.8491,0.6474,0.6610
0,134,-1,0.7773,0.7594,0.7248,0.7339
0,135,-1,0.7794,0.7590,0.7110,0.7245
0,136,-1,0.8481,0.8241,0.6559,0.6686
0,137,-1,0.8107,0.7871,0.7044,0.7229
0,138,-1,0.8420,0.8191,0.6721,0.6837
0,139,-1,0.9491,0.9249,0.6430,0.6498
0,140,-1,0.7939,0.7724,0.6975,0.7168
0,141,-1,0.7903,0.7682,0.7062,0.7238
0,142,-1,0.8046,0.7806,0.6922,0.7021
0,143,-1,0.7664,0.7439,0.7320,0.7464
0,144,-1,0.7760,0.7550,0.7203,0.7280
0,145,-1,0.8013,0.7807,0.6973,0.7095
0,146,-1,0.7780,0.7567,0.7199,0.7345
0,147,-1,0.9826,0.9548,0.6093,0.6200
0,148,-1,0.8749,0.8499,0.6414,0.6536
0,149,-1,0.7664,0.7456,0.7296,0.7437
0,150,-1,0.7629,0.7425,0.7298,0.7445
0,151,-1,0.7473,0.7267,0.7451,0.7597
0,152,-1,0.7469,0.7257,0.7401,0.7509
0,153,-1,0.7514,0.7290,0.7396,0.7486
0,154,-1,0.7369,0.7150,0.7579,0.7689
0,155,-1,0.7411,0.7195,0.7464,0.7569
0,156,-1,0.7623,0.7398,0.7295,0.7404
0,157,-1,0.7473,0.7250,0.7471,0.7612
0,158,-1,0.7432,0.7215,0.7548,0.7655
0,159,-1,0.7459,0.7256,0.7406,0.7509
0,160,-1,0.7421,0.7215,0.7514,0.7603
0,161,-1,0.7397,0.7199,0.7510,0.7600
0,162,-1,0.7469,0.7267,0.7448,0.7569
0,163,-1,0.7539,0.7352,0.7407,0.7498
0,164,-1,0.7399,0.7193,0.7430,0.7541
0,165,-1,0.7669,0.7424,0.7370,0.7494
0,166,-1,0.7680,0.7430,0.7322,0.7475
0,167,-1,0.7399,0.7168,0.7472,0.7594
0,168,-1,0.7262,0.7041,0.7607,0.7711
0,169,-1,0.7514,0.7275,0.7378,0.7492
0,170,-1,0.7774,0.7535,0.7109,0.7216
0,171,-1,0.7341,0.7117,0.7531,0.7656
0,172,-1,0.7305,0.7076,0.7603,0.7721
0,173,-1,0.7489,0.7255,0.7425,0.7568
0,174,-1,0.7371,0.7146,0.7504,0.7607
0,175,-1,0.7436,0.7205,0.7501,0.7613
0,176,-1,0.7128,0.6925,0.7660,0.7753
0,177,-1,0.7222,0.7023,0.7550,0.7639
0,178,-1,0.7256,0.7039,0.7404,0.7505
0,179,-1,0.7280,0.7073,0.7479,0.7585
0,180,-1,0.7242,0.7040,0.7527,0.7654
0,181,-1,0.7338,0.7120,0.7397,0.7513
0,182,-1,0.7323,0.7105,0.7466,0.7567
0,183,-1,0.7135,0.6923,0.7620,0.7730
0,184,-1,0.7105,0.6900,0.7555,0.7663
0,185,-1,0.7366,0.7143,0.7306,0.7402
0,186,-1,0.7412,0.7182,0.7270,0.7390
0,187,-1,0.7872,0.7640,0.7108,0.7220
0,188,-1,0.6980,0.6778,0.7695,0.7786
0,189,-1,0.7224,0.7031,0.7416,0.7497
0,190,-1,0.7050,0.6847,0.7685,0.7777
0,191,-1,0.7089,0.6890,0.7610,0.7733
0,192,-1,0.7468,0.7236,0.7160,0.7315
0,193,-1,0.7526,0.7286,0.7136,0.7314
0,194,-1,0.7634,0.7389,0.7065,0.7239
0,195,-1,0.7697,0.7451,0.7011,0.7196
0,196,-1,0.7533,0.7288,0.7286,0.7409
0,197,-1,0.7412,0.7182,0.7401,0.7545
0,198,-1,0.7467,0.7226,0.7286,0.7431
0,199,-1,0.7687,0.7434,0.7086,0.7232
0,200,-1,0.7663,0.7413,0.7135,0.7242
0,201,-1,0.7992,0.7725,0.6815,0.6940
0,202,-1,0.7949,0.7684,0.6756,0.6908
0,203,-1,0.7797,0.7542,0.7063,0.7182
0,204,-1,0.8966,0.8668,0.6186,0.6304
0,205,-1,0.7852,0.7592,0.6969,0.7066
0,206,-1,0.7677,0.7434,0.7207,0.7326
0,207,-1,0.7523,0.7278,0.7295,0.7410
0,208,-1,0.8601,0.8316,0.6423,0.6495
0,209,-1,0.7975,0.7717,0.7115,0.7221
0,210,-1,0.7342,0.7116,0.7334,0.7432
0,211,-1,0.7166,0.6957,0.7597,0.7701
0,212,-1,0.7375,0.7169,0.7408,0.7525
0,213,-1,0.7185,0.6971,0.7443,0.7552
0,214,-1,0.6930,0.6730,0.7698,0.7800
0,215,-1,0.7498,0.7270,0.7037,0.7190
0,216,-1,0.6862,0.6657,0.7764,0.7860
0,217,-1,0.7083,0.6872,0.7511,0.7604
0,218,-1,0.7171,0.6959,0.7422,0.7515
0,219,-1,0.7086,0.6884,0.7539,0.7626
0,220,-1,0.7068,0.6870,0.7545,0.7672
0,221,-1,0.7040,0.6818,0.7594,0.7739
0,222,-1,0.7074,0.6847,0.7466,0.7570
0,223,-1,0.7200,0.6985,0.7319,0.7398
0,224,-1,0.7781,0.7520,0.6764,0.6908
0,225,-1,0.7515,0.7268,0.7104,0.7274
0,226,-1,0.7965,0.7710,0.6664,0.6824
0,227,-1,0.7087,0.6858,0.7457,0.7582
0,228,-1,0.7003,0.6782,0.7536,0.7681
0,229,-1,0.6986,0.6774,0.7594,0.7711
0,230,-1,0.6903,0.6706,0.7646,0.7752
0,231,-1,0.7033,0.6830,0.7596,0.7705
0,232,-1,0.7284,0.7051,0.7392,0.7499
0,233,-1,0.7087,0.6856,0.7553,0.7663
0,234,-1,0.7036,0.6801,0.7665,0.7761
0,235,-1,0.7044,0.6806,0.7653,0.7761
0,236,-1,0.7057,0.6825,0.7602,0.7728
0,237,-1,0.6898,0.6674,0.7686,0.7817
0,238,-1,0.7502,0.7275,0.7158,0.7287
0,239,-1,0.7229,0.6996,0.7390,0.7506
0,240,-1,0.7347,0.7096,0.7434,0.7571
0,241,-1,0.7103,0.6868,0.7650,0.7751
0,242,-1,0.7007,0.6789,0.7675,0.7775
0,243,-1,0.7022,0.6801,0.7608,0.7733
0,244,-1,0.7004,0.6795,0.7618,0.7733
0,245,-1,0.7003,0.6796,0.7396,0.7514
0,246,-1,0.7280,0.7044,0.7246,0.7365
0,247,-1,0.7098,0.6858,0.7558,0.7667
0,248,-1,0.7547,0.7296,0.7279,0.7357
0,249,-1,0.7307,0.7076,0.7346,0.7443
0,250,-1,0.7263,0.7028,0.7259,0.7376
0,251,-1,0.7000,0.6783,0.7615,0.7729
0,252,-1,0.7018,0.6803,0.7557,0.7677
0,253,-1,0.6941,0.6716,0.7618,0.7738
0,254,-1,0.6812,0.6600,0.7733,0.7830
0,255,-1,0.7194,0.6959,0.7479,0.7566
0,256,-1,0.7699,0.7441,0.7112,0.7230
0,257,-1,0.7808,0.7550,0.7152,0.7261
0,258,-1,0.7661,0.7418,0.7255,0.7340
0,259,-1,0.7278,0.7033,0.7450,0.7551
0,260,-1,0.8057,0.7789,0.7083,0.7176
0,261,-1,0.7809,0.7553,0.7126,0.7210
0,262,-1,0.6760,0.6537,0.7791,0.7884
0,263,-1,0.7552,0.7304,0.7306,0.7388
0,264,-1,0.7086,0.6845,0.7430,0.7530
0,265,-1,0.6825,0.6592,0.7687,0.7761
0,266,-1,0.6779,0.6547,0.7744,0.7833
0,267,-1,0.6850,0.6612,0.7711,0.7818
0,268,-1,0.7110,0.6858,0.7530,0.7642
0,269,-1,0.7421,0.7156,0.7281,0.7396
0,270,-1,0.6969,0.6727,0.7516,0.7618
0,271,-1,0.7031,0.6782,0.7515,0.7615
0,272,-1,0.6809,0.6571,0.7698,0.7791
0,273,-1,0.6644,0.6430,0.7697,0.7839
0,274,-1,0.6950,0.6707,0.7597,0.7697
0,275,-1,0.7307,0.7037,0.7243,0.7384
0,276,-1,0.7106,0.6849,0.7515,0.7625
0,277,-1,0.7114,0.6849,0.7531,0.7654
0,278,-1,0.6747,0.6505,0.7771,0.7874
0,279,-1,0.6793,0.6565,0.7717,0.7840
0,280,-1,0.7061,0.6835,0.7354,0.7491
0,281,-1,0.6943,0.6731,0.7603,0.7696
0,282,-1,0.7218,0.6956,0.7327,0.7487
0,283,-1,0.7623,0.7339,0.7079,0.7202
0,284,-1,0.6796,0.6555,0.7712,0.7815
0,285,-1,0.6976,0.6730,0.7550,0.7657
0,286,-1,0.7639,0.7368,0.7131,0.7237
0,287,-1,0.6847,0.6617,0.7639,0.7728
0,288,-1,0.7320,0.7063,0.7321,0.7393
0,289,-1,0.6961,0.6714,0.7628,0.7724
0,290,-1,0.6827,0.6591,0.7655,0.7766
0,291,-1,0.6745,0.6521,0.7692,0.7780
0,292,-1,0.7023,0.6783,0.7440,0.7560
0,293,-1,0.7057,0.6811,0.7497,0.7585
0,294,-1,0.7214,0.6976,0.7322,0.7442
0,295,-1,0.7024,0.6801,0.7506,0.7590
0,296,-1,0.7374,0.7116,0.7160,0.7283
0,297,-1,0.7169,0.6925,0.7289,0.7397
0,298,-1,0.7137,0.6883,0.7411,0.7537
0,299,-1,0.6789,0.6566,0.7658,0.7736
0,300,-1,0.6673,0.6447,0.7767,0.7867
0,301,-1,0.6658,0.6429,0.7783,0.7876
0,302,-1,0.6644,0.6414,0.7792,0.7882
0,303,-1,0.6933,0.6690,0.7558,0.7654
0,304,-1,0.7138,0.6885,0.7371,0.7486
0,305,-1,0.7081,0.6831,0.7461,0.7561
0,306,-1,0.7202,0.6956,0.7304,0.7417
0,307,-1,0.7170,0.6917,0.7351,0.7460
0,308,-1,0.7077,0.6826,0.7431,0.7542
0,309,-1,0.6993,0.6745,0.7506,0.7587
0,310,-1,0.7097,0.6839,0.7397,0.7515
0,311,-1,0.7211,0.6952,0.7310,0.7415
0,312,-1,0.6933,0.6693,0.7516,0.7617
0,313,-1,0.6968,0.6719,0.7535,0.7656
0,314,-1,0.6884,0.6636,0.7635,0.7735
0,315,-1,0.7185,0.6917,0.7343,0.7477
0,316,-1,0.7263,0.6999,0.7265,0.7388
0,317,-1,0.6890,0.6640,0.7588,0.7702
0,318,-1,0.6983,0.6738,0.7439,0.7578
0,319,-1,0.6693,0.6468,0.7632,0.7764
0,320,-1,0.6598,0.6379,0.7775,0.7882
0,321,-1,0.7055,0.6806,0.7393,0.7509
0,322,-1,0.7131,0.6871,0.7315,0.7445
0,323,-1,0.7256,0.6998,0.7235,0.7351
0,324,-1,0.7544,0.7280,0.7153,0.7242
0,325,-1,0.6856,0.6613,0.7563,0.7656
0,326,-1,0.6783,0.6540,0.7668,0.7754
0,327,-1,0.6610,0.6380,0.7772,0.7853
0,328,-1,0.6997,0.6743,0.7421,0.7533
0,329,-1,0.6919,0.6667,0.7534,0.7635
0,330,-1,0.6816,0.6572,0.7583,0.7684
0,331,-1,0.6766,0.6532,0.7607,0.7712
0,332,-1,0.6911,0.6691,0.7401,0.7510
0,333,-1,0.6559,0.6339,0.7800,0.7890
0,334,-1,0.6911,0.6683,0.7467,0.7583
0,335,-1,0.6578,0.6360,0.7764,0.7871
0,336,-1,0.6581,0.6353,0.7842,0.7911
0,337,-1,0.6954,0.6700,0.7456,0.7571
0,338,-1,0.7006,0.6750,0.7396,0.7509
0,339,-1,0.6638,0.6408,0.7726,0.7800
0,340,-1,0.6875,0.6634,0.7490,0.7605
0,341,-1,0.6795,0.6558,0.7604,0.7694
0,342,-1,0.7196,0.6939,0.7363,0.7451
0,343,-1,0.7202,0.6943,0.7352,0.7443
0,344,-1,0.6882,0.6641,0.7560,0.7647
0,345,-1,0.6789,0.6568,0.7618,0.7686
0,346,-1,0.6593,0.6373,0.7800,0.7895
0,347,-1,0.6564,0.6355,0.7785,0.7877
0,348,-1,0.6583,0.6359,0.7755,0.7872
0,349,-1,0.6675,0.6454,0.7671,0.7749
0,350,-1,0.6765,0.6539,0.7598,0.7706
0,351,-1,0.6565,0.6343,0.7816,0.7923
0,352,-1,0.6889,0.6659,0.7557,0.7659
0,353,-1,0.6884,0.6636,0.7684,0.7788
0,354,-1,0.6860,0.6612,0.7648,0.7749
0,355,-1,0.7119,0.6863,0.7416,0.7534
0,356,-1,0.7055,0.6804,0.7462,0.7564
0,357,-1,0.6959,0.6712,0.7500,0.7595
0,358,-1,0.6860,0.6605,0.7635,0.7749
0,359,-1,0.7189,0.6931,0.7416,0.7496
0,360,-1,0.7041,0.6787,0.7444,0.7564
0,361,-1,0.6665,0.6421,0.7774,0.7885
0,362,-1,0.6623,0.6391,0.7733,0.7849
0,363,-1,0.6741,0.6509,0.7615,0.7726
0,364,-1,0.6904,0.6677,0.7425,0.7560
0,365,-1,0.6840,0.6617,0.7440,0.7576
0,366,-1,0.6560,0.6339,0.7765,0.7899
0,367,-1,0.6739,0.6495,0.7748,0.7863
0,368,-1,0.6736,0.6507,0.7721,0.7809
0,369,-1,0.6865,0.6624,0.7642,0.7755
0,370,-1,0.6952,0.6707,0.7533,0.7645
0,371,-1,0.6745,0.6499,0.7694,0.7786
0,372,-1,0.7012,0.6748,0.7445,0.7550
0,373,-1,0.7093,0.6824,0.7377,0.7489
0,374,-1,0.6825,0.6566,0.7592,0.7689
0,375,-1,0.6968,0.6707,0.7436,0.7542
0,376,-1,0.7262,0.6992,0.7291,0.7402
0,377,-1,0.6600,0.6353,0.7778,0.7876
0,378,-1,0.6973,0.6703,0.7424,0.7563
0,379,-1,0.6830,0.6588,0.7520,0.7625
0,380,-1,0.6685,0.6455,0.7588,0.7689
0,381,-1,0.6589,0.6350,0.7744,0.7814
0,382,-1,0.6775,0.6529,0.7586,0.7674
0,383,-1,0.7008,0.6741,0.7406,0.7503
0,384,-1,0.7165,0.6901,0.7304,0.7423
0,385,-1,0.6826,0.6573,0.7618,0.7710
0,386,-1,0.7036,0.6766,0.7433,0.7532
0,387,-1,0.6599,0.6371,0.7710,0.7826
0,388,-1,0.6863,0.6610,0.7505,0.7632
0,389,-1,0.6691,0.6454,0.7647,0.7750
0,390,-1,0.6730,0.6485,0.7662,0.7758
0,391,-1,0.7005,0.6765,0.7460,0.7557
0,392,-1,0.6689,0.6461,0.7597,0.7706
0,393,-1,0.6978,0.6722,0.7429,0.7546
0,394,-1,0.6552,0.6311,0.7804,0.7913
0,395,-1,0.6727,0.6476,0.7684,0.7799
0,396,-1,0.6732,0.6492,0.7579,0.7689
0,397,-1,0.6971,0.6704,0.7438,0.7568
0,398,-1,0.6705,0.6451,0.7693,0.7801
0,399,-1,0.6722,0.6469,0.7642,0.7761
