BEGIN-TRAINING
name,fmnist_fig4a-norm
model,MLP
dataset,fmnist
num_classes,10
algo,pow-norm
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
subset_ratio,None
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4a-norm.json
device,cpu
key,pow-norm_6
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/fmnist_fig4a-norm/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/pow-norm_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3013,2.3015,0.1463,0.1442
0,1,-1,2.2919,2.2919,0.1525,0.1528
0,2,-1,2.2825,2.2824,0.1515,0.1502
0,3,-1,2.2745,2.2743,0.1509,0.1510
0,4,-1,2.2665,2.2662,0.1577,0.1566
0,5,-1,2.2577,2.2573,0.1777,0.1783
0,6,-1,2.2502,2.2498,0.1918,0.1932
0,7,-1,2.2425,2.2420,0.2097,0.2086
0,8,-1,2.2354,2.2349,0.2243,0.2222
0,9,-1,2.2270,2.2265,0.2480,0.2462
0,10,-1,2.2207,2.2202,0.2542,0.2527
0,11,-1,2.2149,2.2145,0.2467,0.2458
0,12,-1,2.2065,2.2059,0.2803,0.2857
0,13,-1,2.1976,2.1970,0.3044,0.3078
0,14,-1,2.1901,2.1895,0.3060,0.3064
0,15,-1,2.1836,2.1829,0.3163,0.3196
0,16,-1,2.1760,2.1754,0.3193,0.3227
0,17,-1,2.1671,2.1664,0.3308,0.3334
0,18,-1,2.1599,2.1591,0.3460,0.3473
0,19,-1,2.1506,2.1497,0.3577,0.3582
0,20,-1,2.1423,2.1414,0.3636,0.3646
0,21,-1,2.1357,2.1347,0.3814,0.3802
0,22,-1,2.1268,2.1258,0.3831,0.3825
0,23,-1,2.1187,2.1177,0.3866,0.3892
0,24,-1,2.1116,2.1106,0.3894,0.3939
0,25,-1,2.1045,2.1033,0.4142,0.4167
0,26,-1,2.0952,2.0938,0.4180,0.4219
0,27,-1,2.0841,2.0829,0.4052,0.4047
0,28,-1,2.0726,2.0714,0.3947,0.3946
0,29,-1,2.0637,2.0623,0.4075,0.4067
0,30,-1,2.0554,2.0539,0.4212,0.4238
0,31,-1,2.0461,2.0447,0.4217,0.4230
0,32,-1,2.0390,2.0375,0.4412,0.4416
0,33,-1,2.0297,2.0282,0.4417,0.4435
0,34,-1,2.0211,2.0195,0.4380,0.4412
0,35,-1,2.0143,2.0126,0.4471,0.4480
0,36,-1,2.0060,2.0042,0.4477,0.4488
0,37,-1,1.9945,1.9926,0.4541,0.4548
0,38,-1,1.9842,1.9824,0.4500,0.4519
0,39,-1,1.9749,1.9730,0.4554,0.4578
0,40,-1,1.9640,1.9619,0.4629,0.4635
0,41,-1,1.9538,1.9516,0.4675,0.4693
0,42,-1,1.9453,1.9431,0.4635,0.4661
0,43,-1,1.9317,1.9295,0.4664,0.4702
0,44,-1,1.9217,1.9194,0.4560,0.4587
0,45,-1,1.9121,1.9098,0.4664,0.4700
0,46,-1,1.9033,1.9008,0.4971,0.4980
0,47,-1,1.8917,1.8891,0.4918,0.4962
0,48,-1,1.8802,1.8776,0.4862,0.4892
0,49,-1,1.8723,1.8697,0.4995,0.5007
0,50,-1,1.8628,1.8601,0.5039,0.5067
0,51,-1,1.8554,1.8526,0.5208,0.5205
0,52,-1,1.8452,1.8423,0.5197,0.5242
0,53,-1,1.8308,1.8279,0.5020,0.5027
0,54,-1,1.8170,1.8141,0.5000,0.5030
0,55,-1,1.8049,1.8020,0.4765,0.4801
