BEGIN-TRAINING
name,fmnist_fig4a-norm
model,MLP
dataset,fmnist
num_classes,10
algo,rand
num_clients,100
rounds,50
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
subset_ratio,None
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4a-norm.json
device,cpu
key,rand
plot_linecolor,k
plot_linestyle,-
out_fname,./logs/fmnist_fig4a-norm/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3013,2.3015,0.1463,0.1442
0,1,-1,2.2921,2.2922,0.1560,0.1542
0,2,-1,2.2828,2.2828,0.1664,0.1653
0,3,-1,2.2745,2.2744,0.1679,0.1650
0,4,-1,2.2664,2.2662,0.1722,0.1702
0,5,-1,2.2592,2.2590,0.1732,0.1757
0,6,-1,2.2514,2.2512,0.1773,0.1805
0,7,-1,2.2444,2.2441,0.1808,0.1831
0,8,-1,2.2375,2.2372,0.1867,0.1897
0,9,-1,2.2303,2.2299,0.2009,0.2028
0,10,-1,2.2215,2.2210,0.2229,0.2235
0,11,-1,2.2135,2.2129,0.2361,0.2359
0,12,-1,2.2049,2.2042,0.2600,0.2584
0,13,-1,2.1978,2.1971,0.2819,0.2808
0,14,-1,2.1886,2.1879,0.2998,0.2995
0,15,-1,2.1816,2.1809,0.3052,0.3063
0,16,-1,2.1736,2.1728,0.3088,0.3118
0,17,-1,2.1656,2.1648,0.3210,0.3256
0,18,-1,2.1559,2.1551,0.3258,0.3286
0,19,-1,2.1472,2.1464,0.3295,0.3327
0,20,-1,2.1395,2.1386,0.3342,0.3371
0,21,-1,2.1319,2.1311,0.3295,0.3298
0,22,-1,2.1258,2.1249,0.3383,0.3396
0,23,-1,2.1160,2.1151,0.3320,0.3344
0,24,-1,2.1068,2.1059,0.3334,0.3318
0,25,-1,2.0957,2.0947,0.3389,0.3373
0,26,-1,2.0865,2.0855,0.3299,0.3285
0,27,-1,2.0765,2.0753,0.3386,0.3351
0,28,-1,2.0673,2.0660,0.3432,0.3404
0,29,-1,2.0585,2.0572,0.3499,0.3471
0,30,-1,2.0505,2.0491,0.3647,0.3626
0,31,-1,2.0389,2.0374,0.3681,0.3698
0,32,-1,2.0325,2.0310,0.3717,0.3717
0,33,-1,2.0222,2.0206,0.3702,0.3704
0,34,-1,2.0108,2.0091,0.3643,0.3632
0,35,-1,2.0015,1.9999,0.3551,0.3536
0,36,-1,1.9919,1.9901,0.3838,0.3842
0,37,-1,1.9856,1.9839,0.3819,0.3808
0,38,-1,1.9714,1.9694,0.3804,0.3810
0,39,-1,1.9608,1.9588,0.3845,0.3844
0,40,-1,1.9524,1.9504,0.3845,0.3840
0,41,-1,1.9444,1.9425,0.3945,0.3960
0,42,-1,1.9339,1.9316,0.4232,0.4268
0,43,-1,1.9221,1.9198,0.4141,0.4174
0,44,-1,1.9133,1.9108,0.4363,0.4375
0,45,-1,1.9017,1.8992,0.4226,0.4246
0,46,-1,1.8907,1.8881,0.4169,0.4179
0,47,-1,1.8800,1.8772,0.4474,0.4483
0,48,-1,1.8717,1.8690,0.4340,0.4375
0,49,-1,1.8635,1.8606,0.4357,0.4402
