BEGIN-TRAINING
name,fmnist_fig4a-subset
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
subset_ratio,0.1
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4a-subset.json
device,cpu
key,powd_6
plot_linecolor,c_t(3)
plot_linestyle,-.
out_fname,./logs/fmnist_fig4a-subset/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3136,2.3131,0.1430,0.1378
0,1,-1,2.3066,2.3065,0.1590,0.1535
0,2,-1,2.2995,2.2995,0.1760,0.1702
0,3,-1,2.2922,2.2924,0.2000,0.1882
0,4,-1,2.2847,2.2853,0.2190,0.2082
0,5,-1,2.2777,2.2786,0.2300,0.2210
0,6,-1,2.2676,2.2700,0.2470,0.2397
0,7,-1,2.2615,2.2640,0.2670,0.2617
0,8,-1,2.2545,2.2574,0.2700,0.2663
0,9,-1,2.2474,2.2503,0.2740,0.2743
0,10,-1,2.2433,2.2463,0.2670,0.2683
0,11,-1,2.2337,2.2376,0.2960,0.2962
0,12,-1,2.2277,2.2314,0.2970,0.3015
0,13,-1,2.2205,2.2245,0.3140,0.3117
0,14,-1,2.2172,2.2207,0.3040,0.3057
0,15,-1,2.2130,2.2164,0.3010,0.3053
0,16,-1,2.2059,2.2089,0.3110,0.3095
0,17,-1,2.1992,2.2026,0.3190,0.3197
0,18,-1,2.1927,2.1955,0.3320,0.3292
0,19,-1,2.1860,2.1888,0.3380,0.3275
0,20,-1,2.1798,2.1827,0.3390,0.3348
0,21,-1,2.1735,2.1763,0.3350,0.3418
0,22,-1,2.1672,2.1693,0.3290,0.3260
0,23,-1,2.1600,2.1623,0.3310,0.3242
0,24,-1,2.1519,2.1546,0.3500,0.3363
0,25,-1,2.1434,2.1473,0.3750,0.3682
0,26,-1,2.1332,2.1380,0.3810,0.3750
0,27,-1,2.1254,2.1303,0.3820,0.3747
0,28,-1,2.1170,2.1214,0.4070,0.3910
0,29,-1,2.1098,2.1143,0.4140,0.4018
0,30,-1,2.1030,2.1075,0.4270,0.4077
0,31,-1,2.0951,2.0989,0.4100,0.3973
0,32,-1,2.0896,2.0927,0.4040,0.3963
0,33,-1,2.0813,2.0850,0.4060,0.4008
0,34,-1,2.0704,2.0749,0.4100,0.4055
0,35,-1,2.0616,2.0672,0.4170,0.4165
0,36,-1,2.0534,2.0594,0.4440,0.4412
0,37,-1,2.0444,2.0510,0.4580,0.4542
0,38,-1,2.0393,2.0453,0.4870,0.4778
0,39,-1,2.0347,2.0410,0.5050,0.4917
0,40,-1,2.0251,2.0308,0.4940,0.4878
0,41,-1,2.0179,2.0236,0.4860,0.4825
0,42,-1,2.0123,2.0178,0.4920,0.4855
0,43,-1,2.0039,2.0097,0.4940,0.4865
0,44,-1,1.9969,2.0028,0.5130,0.4982
0,45,-1,1.9869,1.9944,0.5250,0.5218
0,46,-1,1.9783,1.9865,0.5330,0.5228
0,47,-1,1.9747,1.9823,0.5660,0.5418
0,48,-1,1.9642,1.9718,0.5710,0.5583
0,49,-1,1.9557,1.9637,0.5610,0.5497
0,50,-1,1.9467,1.9544,0.5670,0.5488
0,51,-1,1.9389,1.9471,0.5680,0.5472
0,52,-1,1.9323,1.9397,0.5640,0.5445
0,53,-1,1.9231,1.9312,0.5700,0.5565
0,54,-1,1.9151,1.9236,0.5910,0.5697
0,55,-1,1.9085,1.9170,0.5870,0.5713
0,56,-1,1.9033,1.9106,0.5820,0.5728
0,57,-1,1.8920,1.8999,0.5680,0.5490
0,58,-1,1.8820,1.8912,0.5730,0.5658
0,59,-1,1.8750,1.8839,0.5980,0.5832
0,60,-1,1.8667,1.8756,0.6020,0.5915
0,61,-1,1.8568,1.8663,0.5960,0.5913
0,62,-1,1.8500,1.8600,0.6140,0.6007
0,63,-1,1.8380,1.8495,0.6210,0.6098
0,64,-1,1.8249,1.8371,0.6210,0.6097
0,65,-1,1.8141,1.8273,0.6230,0.6080
0,66,-1,1.8036,1.8188,0.6270,0.6125
0,67,-1,1.7968,1.8103,0.6160,0.6085
0,68,-1,1.7873,1.8013,0.6230,0.6075
0,69,-1,1.7801,1.7934,0.6260,0.6102
0,70,-1,1.7701,1.7832,0.6190,0.6038
0,71,-1,1.7637,1.7757,0.6100,0.5918
0,72,-1,1.7575,1.7703,0.6200,0.6033
0,73,-1,1.7499,1.7621,0.6200,0.6037
0,74,-1,1.7398,1.7516,0.6200,0.6012
