BEGIN-TRAINING
name,fmnist_fig4a-subset
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
subset_ratio,0.1
NIID,True
powd,9
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4a-subset.json
device,cpu
key,powd_9
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/fmnist_fig4a-subset/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0009_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3136,2.3131,0.1430,0.1378
0,1,-1,2.3066,2.3065,0.1590,0.1535
0,2,-1,2.2988,2.2990,0.1720,0.1625
0,3,-1,2.2919,2.2928,0.1890,0.1813
0,4,-1,2.2841,2.2853,0.2150,0.1958
0,5,-1,2.2771,2.2790,0.2240,0.2122
0,6,-1,2.2704,2.2726,0.2310,0.2227
0,7,-1,2.2650,2.2672,0.2390,0.2328
0,8,-1,2.2595,2.2614,0.2360,0.2385
0,9,-1,2.2552,2.2570,0.2410,0.2443
0,10,-1,2.2523,2.2536,0.2360,0.2445
0,11,-1,2.2468,2.2477,0.2400,0.2465
0,12,-1,2.2408,2.2412,0.2470,0.2493
0,13,-1,2.2344,2.2346,0.2500,0.2592
0,14,-1,2.2288,2.2294,0.2640,0.2652
0,15,-1,2.2240,2.2240,0.2620,0.2632
0,16,-1,2.2160,2.2167,0.2720,0.2738
0,17,-1,2.2090,2.2107,0.2900,0.2873
0,18,-1,2.2024,2.2043,0.2990,0.2912
0,19,-1,2.1947,2.1969,0.2950,0.2925
0,20,-1,2.1891,2.1910,0.2950,0.2947
0,21,-1,2.1833,2.1845,0.3030,0.3008
0,22,-1,2.1742,2.1756,0.3110,0.3137
0,23,-1,2.1658,2.1675,0.3310,0.3258
0,24,-1,2.1588,2.1610,0.3290,0.3265
0,25,-1,2.1543,2.1561,0.3400,0.3357
0,26,-1,2.1501,2.1516,0.3350,0.3358
0,27,-1,2.1383,2.1413,0.3580,0.3570
0,28,-1,2.1330,2.1356,0.3570,0.3557
0,29,-1,2.1275,2.1299,0.3600,0.3568
0,30,-1,2.1182,2.1217,0.3860,0.3867
0,31,-1,2.1140,2.1171,0.3970,0.4043
0,32,-1,2.1060,2.1087,0.4170,0.4182
0,33,-1,2.0977,2.1006,0.4560,0.4477
0,34,-1,2.0902,2.0930,0.4560,0.4498
0,35,-1,2.0817,2.0846,0.4370,0.4395
0,36,-1,2.0754,2.0783,0.4490,0.4565
0,37,-1,2.0702,2.0722,0.4690,0.4593
0,38,-1,2.0593,2.0623,0.4660,0.4627
0,39,-1,2.0526,2.0558,0.4800,0.4795
0,40,-1,2.0430,2.0474,0.4870,0.4818
0,41,-1,2.0365,2.0413,0.5100,0.5085
0,42,-1,2.0260,2.0301,0.5380,0.5235
0,43,-1,2.0144,2.0202,0.5630,0.5408
0,44,-1,2.0078,2.0132,0.5510,0.5315
0,45,-1,2.0010,2.0064,0.5560,0.5392
0,46,-1,1.9913,1.9969,0.5570,0.5393
0,47,-1,1.9856,1.9911,0.5680,0.5475
0,48,-1,1.9802,1.9847,0.5370,0.5167
0,49,-1,1.9657,1.9723,0.5540,0.5353
0,50,-1,1.9574,1.9641,0.5570,0.5372
0,51,-1,1.9513,1.9582,0.5720,0.5495
0,52,-1,1.9437,1.9500,0.5730,0.5518
0,53,-1,1.9393,1.9455,0.5740,0.5507
0,54,-1,1.9358,1.9417,0.5910,0.5605
0,55,-1,1.9207,1.9280,0.6090,0.5782
0,56,-1,1.9142,1.9217,0.5990,0.5720
0,57,-1,1.9039,1.9121,0.6110,0.5758
0,58,-1,1.8986,1.9042,0.5610,0.5493
0,59,-1,1.8922,1.8972,0.5570,0.5472
0,60,-1,1.8840,1.8888,0.5330,0.5357
0,61,-1,1.8751,1.8803,0.5610,0.5560
0,62,-1,1.8642,1.8709,0.5920,0.5823
0,63,-1,1.8569,1.8635,0.6000,0.5837
0,64,-1,1.8504,1.8577,0.5980,0.5900
0,65,-1,1.8435,1.8511,0.5960,0.5943
0,66,-1,1.8358,1.8441,0.6050,0.5948
0,67,-1,1.8254,1.8341,0.6120,0.6087
0,68,-1,1.8171,1.8258,0.6220,0.6067
0,69,-1,1.8042,1.8140,0.6180,0.6142
0,70,-1,1.7954,1.8056,0.6250,0.6175
0,71,-1,1.7890,1.7982,0.6180,0.6118
0,72,-1,1.7826,1.7904,0.6170,0.5992
0,73,-1,1.7755,1.7841,0.6260,0.6153
0,74,-1,1.7662,1.7758,0.6300,0.6147
