BEGIN-TRAINING
name,fmnist_fig4a-subset
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
subset_ratio,0.1
NIID,True
powd,15
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4a-subset.json
device,cpu
key,powd_15
plot_linecolor,c_t(2)
plot_linestyle,:
out_fname,./logs/fmnist_fig4a-subset/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0015_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3136,2.3131,0.1430,0.1378
0,1,-1,2.3065,2.3061,0.1560,0.1527
0,2,-1,2.2988,2.2989,0.1690,0.1650
0,3,-1,2.2903,2.2914,0.1890,0.1817
0,4,-1,2.2854,2.2866,0.2040,0.2005
0,5,-1,2.2781,2.2795,0.2170,0.2125
0,6,-1,2.2717,2.2729,0.2260,0.2195
0,7,-1,2.2666,2.2673,0.2210,0.2195
0,8,-1,2.2615,2.2622,0.2310,0.2287
0,9,-1,2.2567,2.2565,0.2340,0.2287
0,10,-1,2.2511,2.2512,0.2270,0.2322
0,11,-1,2.2451,2.2452,0.2310,0.2390
0,12,-1,2.2390,2.2395,0.2400,0.2487
0,13,-1,2.2313,2.2320,0.2580,0.2635
0,14,-1,2.2233,2.2250,0.2940,0.2918
0,15,-1,2.2213,2.2228,0.2680,0.2737
0,16,-1,2.2152,2.2164,0.2770,0.2782
0,17,-1,2.2084,2.2095,0.2940,0.2893
0,18,-1,2.2056,2.2063,0.2810,0.2833
0,19,-1,2.1981,2.1986,0.2920,0.2947
0,20,-1,2.1914,2.1924,0.2990,0.3042
0,21,-1,2.1869,2.1880,0.3010,0.2993
0,22,-1,2.1829,2.1835,0.2870,0.2945
0,23,-1,2.1780,2.1788,0.2900,0.2927
0,24,-1,2.1695,2.1707,0.3010,0.3058
0,25,-1,2.1593,2.1605,0.3370,0.3387
0,26,-1,2.1507,2.1522,0.3490,0.3475
0,27,-1,2.1444,2.1460,0.3680,0.3637
0,28,-1,2.1357,2.1381,0.3800,0.3762
0,29,-1,2.1275,2.1309,0.4060,0.4005
0,30,-1,2.1212,2.1245,0.4250,0.4175
0,31,-1,2.1170,2.1199,0.4280,0.4253
0,32,-1,2.1084,2.1121,0.4510,0.4403
0,33,-1,2.1007,2.1048,0.4580,0.4378
0,34,-1,2.0940,2.0971,0.4340,0.4135
0,35,-1,2.0884,2.0918,0.4600,0.4348
0,36,-1,2.0812,2.0840,0.4760,0.4463
0,37,-1,2.0749,2.0779,0.4900,0.4590
0,38,-1,2.0686,2.0717,0.4920,0.4727
0,39,-1,2.0600,2.0640,0.5000,0.4797
0,40,-1,2.0510,2.0555,0.5140,0.4900
0,41,-1,2.0440,2.0479,0.5360,0.5073
0,42,-1,2.0365,2.0405,0.5240,0.4893
0,43,-1,2.0305,2.0349,0.5330,0.5065
0,44,-1,2.0229,2.0265,0.5270,0.5128
0,45,-1,2.0146,2.0187,0.5370,0.5022
0,46,-1,2.0105,2.0141,0.5360,0.5070
0,47,-1,2.0022,2.0060,0.5470,0.5198
0,48,-1,1.9987,2.0025,0.5470,0.5143
0,49,-1,1.9869,1.9910,0.5410,0.5200
0,50,-1,1.9756,1.9808,0.5500,0.5297
