BEGIN-TRAINING
name,fmnist_fig4a-subset
model,MLP
dataset,fmnist
num_classes,10
algo,rand
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
subset_ratio,0.1
NIID,True
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4a-subset.json
device,cpu
key,rand
plot_linecolor,k
plot_linestyle,-
out_fname,./logs/fmnist_fig4a-subset/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3136,2.3131,0.1430,0.1378
0,1,-1,2.3055,2.3053,0.1720,0.1637
0,2,-1,2.2990,2.2987,0.1890,0.1800
0,3,-1,2.2928,2.2926,0.2260,0.2217
0,4,-1,2.2859,2.2856,0.2330,0.2367
0,5,-1,2.2772,2.2774,0.2440,0.2467
0,6,-1,2.2714,2.2712,0.2610,0.2638
0,7,-1,2.2627,2.2629,0.2740,0.2745
0,8,-1,2.2544,2.2555,0.2810,0.2880
0,9,-1,2.2469,2.2483,0.2840,0.2902
0,10,-1,2.2390,2.2408,0.2930,0.2962
0,11,-1,2.2304,2.2329,0.3110,0.3083
0,12,-1,2.2212,2.2246,0.3290,0.3182
0,13,-1,2.2126,2.2170,0.3370,0.3262
0,14,-1,2.2065,2.2098,0.3410,0.3322
0,15,-1,2.1985,2.2024,0.3400,0.3345
0,16,-1,2.1898,2.1946,0.3460,0.3423
0,17,-1,2.1822,2.1875,0.3420,0.3427
0,18,-1,2.1741,2.1795,0.3500,0.3490
0,19,-1,2.1684,2.1738,0.3430,0.3475
0,20,-1,2.1630,2.1687,0.3380,0.3432
0,21,-1,2.1498,2.1572,0.3660,0.3633
0,22,-1,2.1386,2.1475,0.3780,0.3725
0,23,-1,2.1283,2.1374,0.3900,0.3760
0,24,-1,2.1210,2.1300,0.3900,0.3793
0,25,-1,2.1122,2.1217,0.3910,0.3782
0,26,-1,2.1036,2.1129,0.3920,0.3760
0,27,-1,2.0950,2.1052,0.3900,0.3817
0,28,-1,2.0889,2.0984,0.3890,0.3850
0,29,-1,2.0817,2.0919,0.4010,0.3915
0,30,-1,2.0732,2.0828,0.4020,0.3887
0,31,-1,2.0671,2.0758,0.3970,0.3847
0,32,-1,2.0582,2.0664,0.3960,0.3807
0,33,-1,2.0496,2.0590,0.3990,0.3825
0,34,-1,2.0392,2.0493,0.3990,0.3808
0,35,-1,2.0297,2.0407,0.4080,0.3888
0,36,-1,2.0241,2.0337,0.4010,0.3820
0,37,-1,2.0137,2.0238,0.3990,0.3750
0,38,-1,2.0059,2.0159,0.3990,0.3758
0,39,-1,1.9945,2.0052,0.4060,0.3785
0,40,-1,1.9870,1.9974,0.4010,0.3815
0,41,-1,1.9788,1.9903,0.4210,0.3987
0,42,-1,1.9720,1.9826,0.4230,0.3973
0,43,-1,1.9654,1.9752,0.4240,0.3997
0,44,-1,1.9549,1.9651,0.4310,0.4107
0,45,-1,1.9462,1.9568,0.4490,0.4293
0,46,-1,1.9386,1.9497,0.4700,0.4433
0,47,-1,1.9254,1.9382,0.4660,0.4383
0,48,-1,1.9197,1.9304,0.4310,0.4178
0,49,-1,1.9099,1.9224,0.4710,0.4475
0,50,-1,1.8990,1.9124,0.4610,0.4390
0,51,-1,1.8850,1.9010,0.4760,0.4448
0,52,-1,1.8732,1.8903,0.4690,0.4417
0,53,-1,1.8622,1.8805,0.4760,0.4515
0,54,-1,1.8515,1.8710,0.4900,0.4713
0,55,-1,1.8422,1.8618,0.4910,0.4715
0,56,-1,1.8361,1.8543,0.4910,0.4647
0,57,-1,1.8270,1.8464,0.5040,0.4718
0,58,-1,1.8153,1.8365,0.4930,0.4643
0,59,-1,1.8079,1.8262,0.4830,0.4592
0,60,-1,1.7974,1.8162,0.4800,0.4587
0,61,-1,1.7854,1.8060,0.4810,0.4573
0,62,-1,1.7792,1.7989,0.4810,0.4573
0,63,-1,1.7669,1.7886,0.4930,0.4752
0,64,-1,1.7592,1.7808,0.5050,0.4810
0,65,-1,1.7503,1.7717,0.5000,0.4747
0,66,-1,1.7402,1.7628,0.5060,0.4787
0,67,-1,1.7331,1.7548,0.4950,0.4795
0,68,-1,1.7237,1.7465,0.4880,0.4760
0,69,-1,1.7163,1.7386,0.4770,0.4688
0,70,-1,1.7035,1.7281,0.4910,0.4745
0,71,-1,1.6936,1.7198,0.4940,0.4783
0,72,-1,1.6824,1.7089,0.5070,0.4878
0,73,-1,1.6726,1.6998,0.5360,0.5115
0,74,-1,1.6631,1.6908,0.5350,0.5098
0,75,-1,1.6536,1.6817,0.5390,0.5142
0,76,-1,1.6450,1.6730,0.5560,0.5342
0,77,-1,1.6398,1.6671,0.5540,0.5292
0,78,-1,1.6260,1.6554,0.5490,0.5223
0,79,-1,1.6201,1.6499,0.5740,0.5402
0,80,-1,1.6110,1.6411,0.5910,0.5568
0,81,-1,1.6029,1.6317,0.6030,0.5805
0,82,-1,1.5919,1.6219,0.6090,0.5838
0,83,-1,1.5831,1.6133,0.5910,0.5800
