BEGIN-TRAINING
name,fmnist_fig4a
model,MLP
dataset,fmnist
num_classes,10
algo,pow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,9
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig4a.json
device,cpu
key,powd_9
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/fmnist_fig4a/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/pow-d_rr0.10_dr0.75_p0009_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3013,2.3015,0.1463,0.1442
0,1,-1,2.2921,2.2922,0.1495,0.1488
0,2,-1,2.2842,2.2842,0.1567,0.1547
0,3,-1,2.2752,2.2751,0.1568,0.1556
0,4,-1,2.2663,2.2660,0.1741,0.1736
0,5,-1,2.2591,2.2587,0.1777,0.1777
0,6,-1,2.2511,2.2507,0.1825,0.1825
0,7,-1,2.2443,2.2438,0.1961,0.1958
0,8,-1,2.2374,2.2369,0.2006,0.2004
0,9,-1,2.2307,2.2301,0.2131,0.2114
0,10,-1,2.2242,2.2237,0.2147,0.2139
0,11,-1,2.2179,2.2173,0.2354,0.2344
0,12,-1,2.2110,2.2104,0.2388,0.2407
0,13,-1,2.2047,2.2042,0.2397,0.2405
0,14,-1,2.1984,2.1978,0.2499,0.2497
0,15,-1,2.1910,2.1905,0.2622,0.2619
0,16,-1,2.1842,2.1835,0.2754,0.2774
0,17,-1,2.1773,2.1765,0.3006,0.3043
0,18,-1,2.1688,2.1681,0.3141,0.3183
0,19,-1,2.1617,2.1609,0.3321,0.3349
0,20,-1,2.1538,2.1530,0.3494,0.3530
0,21,-1,2.1471,2.1462,0.3496,0.3511
0,22,-1,2.1390,2.1380,0.3719,0.3763
0,23,-1,2.1318,2.1308,0.3821,0.3879
0,24,-1,2.1253,2.1244,0.3856,0.3872
0,25,-1,2.1194,2.1186,0.3892,0.3918
0,26,-1,2.1114,2.1104,0.3944,0.3972
0,27,-1,2.1029,2.1016,0.4251,0.4273
0,28,-1,2.0946,2.0934,0.4473,0.4495
0,29,-1,2.0859,2.0847,0.4594,0.4597
0,30,-1,2.0785,2.0773,0.4546,0.4578
0,31,-1,2.0706,2.0693,0.4671,0.4700
0,32,-1,2.0635,2.0622,0.4776,0.4816
0,33,-1,2.0559,2.0548,0.4759,0.4781
0,34,-1,2.0480,2.0467,0.4857,0.4889
0,35,-1,2.0386,2.0373,0.4749,0.4736
0,36,-1,2.0265,2.0250,0.5033,0.5026
0,37,-1,2.0182,2.0166,0.5097,0.5127
0,38,-1,2.0101,2.0085,0.5150,0.5201
0,39,-1,2.0002,1.9986,0.5072,0.5072
0,40,-1,1.9883,1.9864,0.5394,0.5372
0,41,-1,1.9807,1.9788,0.5486,0.5492
0,42,-1,1.9728,1.9708,0.5542,0.5569
0,43,-1,1.9645,1.9626,0.5562,0.5573
0,44,-1,1.9558,1.9538,0.5646,0.5677
0,45,-1,1.9459,1.9439,0.5656,0.5626
0,46,-1,1.9356,1.9335,0.5696,0.5729
0,47,-1,1.9252,1.9231,0.5732,0.5697
0,48,-1,1.9167,1.9145,0.5738,0.5726
0,49,-1,1.9050,1.9027,0.5779,0.5780
