BEGIN-TRAINING
name,fmnist_fig5a
model,MLP
dataset,fmnist
num_classes,10
algo,rpow-d
num_clients,100
rounds,400
clients_per_round,3
localE,30
bs,64
lr,0.0005
decay,[150, 300]
alpha,2
NIID,True
powd,50
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig5a.json
device,cpu
key,rpowd_50
plot_linecolor,c_t(2)
plot_linestyle,:
out_fname,./logs/fmnist_fig5a/lr0.0005_bs64_cp30_a2.00_e12345_r0_n0100_f0.03/rpow-d_rr0.10_dr0.75_p0050_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.3013,2.3015,0.1463,0.1442
0,1,-1,2.2921,2.2922,0.1560,0.1542
0,2,-1,2.2833,2.2834,0.1568,0.1551
0,3,-1,2.2760,2.2760,0.1674,0.1656
0,4,-1,2.2681,2.2681,0.1630,0.1632
0,5,-1,2.2601,2.2600,0.1685,0.1687
0,6,-1,2.2527,2.2525,0.1791,0.1794
0,7,-1,2.2455,2.2452,0.1859,0.1844
0,8,-1,2.2369,2.2366,0.2001,0.2011
0,9,-1,2.2294,2.2290,0.2050,0.2051
0,10,-1,2.2222,2.2219,0.2143,0.2126
0,11,-1,2.2131,2.2126,0.2432,0.2415
0,12,-1,2.2054,2.2049,0.2458,0.2458
0,13,-1,2.1991,2.1986,0.2506,0.2510
0,14,-1,2.1903,2.1897,0.2616,0.2635
0,15,-1,2.1830,2.1823,0.2688,0.2706
0,16,-1,2.1726,2.1719,0.2947,0.2982
0,17,-1,2.1638,2.1630,0.3119,0.3144
0,18,-1,2.1560,2.1551,0.3199,0.3230
0,19,-1,2.1476,2.1467,0.3305,0.3333
0,20,-1,2.1387,2.1377,0.3483,0.3486
0,21,-1,2.1325,2.1314,0.3595,0.3614
0,22,-1,2.1245,2.1235,0.3593,0.3612
0,23,-1,2.1166,2.1155,0.3693,0.3710
0,24,-1,2.1074,2.1062,0.3761,0.3789
0,25,-1,2.0984,2.0971,0.3785,0.3830
0,26,-1,2.0913,2.0899,0.3850,0.3869
0,27,-1,2.0827,2.0814,0.3890,0.3928
0,28,-1,2.0716,2.0702,0.3967,0.3973
0,29,-1,2.0583,2.0568,0.3705,0.3699
0,30,-1,2.0486,2.0471,0.3742,0.3733
0,31,-1,2.0391,2.0377,0.3661,0.3659
0,32,-1,2.0298,2.0281,0.3921,0.3925
0,33,-1,2.0200,2.0183,0.4037,0.4053
0,34,-1,2.0119,2.0103,0.4020,0.4063
0,35,-1,2.0021,2.0003,0.4064,0.4103
0,36,-1,1.9917,1.9899,0.4088,0.4156
0,37,-1,1.9802,1.9783,0.4119,0.4169
0,38,-1,1.9684,1.9664,0.4199,0.4214
0,39,-1,1.9610,1.9589,0.4257,0.4288
0,40,-1,1.9508,1.9487,0.4308,0.4322
0,41,-1,1.9387,1.9365,0.4301,0.4311
0,42,-1,1.9253,1.9230,0.4212,0.4238
0,43,-1,1.9190,1.9168,0.4170,0.4174
0,44,-1,1.9080,1.9057,0.4368,0.4382
0,45,-1,1.8949,1.8924,0.4352,0.4367
0,46,-1,1.8889,1.8864,0.4295,0.4326
0,47,-1,1.8777,1.8749,0.4493,0.4516
0,48,-1,1.8689,1.8661,0.4555,0.4581
0,49,-1,1.8560,1.8531,0.4571,0.4602
0,50,-1,1.8450,1.8419,0.4530,0.4555
0,51,-1,1.8350,1.8317,0.4493,0.4515
0,52,-1,1.8220,1.8187,0.4408,0.4422
0,53,-1,1.8112,1.8079,0.4439,0.4466
0,54,-1,1.8030,1.7998,0.4572,0.4606
0,55,-1,1.7940,1.7909,0.4642,0.4664
0,56,-1,1.7837,1.7806,0.4591,0.4592
0,57,-1,1.7715,1.7683,0.4576,0.4574
0,58,-1,1.7604,1.7568,0.4676,0.4692
0,59,-1,1.7505,1.7471,0.4768,0.4790
0,60,-1,1.7402,1.7368,0.4772,0.4789
0,61,-1,1.7318,1.7282,0.4794,0.4820
0,62,-1,1.7224,1.7189,0.4828,0.4863
0,63,-1,1.7127,1.7092,0.4983,0.4996
0,64,-1,1.7044,1.7005,0.5194,0.5189
0,65,-1,1.6954,1.6912,0.5211,0.5211
0,66,-1,1.6886,1.6845,0.5341,0.5342
0,67,-1,1.6756,1.6715,0.5401,0.5409
