BEGIN-TRAINING
name,synthetic_fig3-full-participation
model,LR
dataset,synthetic-all
num_classes,10
algo,rand
num_clients,1
rounds,800
clients_per_round,1
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3-full-pariticipation.json
device,cpu
key,rand-all
plot_linecolor,g
plot_linestyle,-
plot_label,centralized
out_fname,./logs/synthetic_fig3-full-participation/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0001_f1.00/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,1.2112,1.1596,0.6172,0.6483
0,1,-1,0.9901,0.9451,0.6719,0.7046
0,2,-1,0.8741,0.8268,0.6984,0.7347
0,3,-1,0.8079,0.7651,0.7312,0.7556
0,4,-1,0.7658,0.7232,0.7453,0.7677
0,5,-1,0.7431,0.7031,0.7828,0.7859
0,6,-1,0.7160,0.6682,0.7500,0.7779
0,7,-1,0.7013,0.6553,0.7594,0.7758
0,8,-1,0.6812,0.6420,0.7875,0.7948
0,9,-1,0.6843,0.6368,0.7250,0.7631
0,10,-1,0.6597,0.6167,0.7781,0.7864
0,11,-1,0.6561,0.6144,0.7922,0.7893
0,12,-1,0.6553,0.6072,0.7422,0.7670
0,13,-1,0.6451,0.5977,0.7703,0.7896
0,14,-1,0.6382,0.6014,0.7844,0.7976
0,15,-1,0.6344,0.5872,0.7891,0.7942
0,16,-1,0.6306,0.5836,0.7922,0.7978
0,17,-1,0.6252,0.5851,0.7781,0.7863
0,18,-1,0.6218,0.5796,0.7797,0.7875
0,19,-1,0.6226,0.5736,0.7781,0.7877
0,20,-1,0.6223,0.5699,0.7766,0.7859
0,21,-1,0.6127,0.5654,0.7953,0.7971
0,22,-1,0.6105,0.5673,0.8016,0.7985
0,23,-1,0.6060,0.5630,0.7875,0.7951
0,24,-1,0.6106,0.5621,0.7797,0.7910
0,25,-1,0.6060,0.5556,0.7953,0.7974
0,26,-1,0.6017,0.5564,0.7750,0.7955
0,27,-1,0.6041,0.5519,0.7969,0.8001
0,28,-1,0.6044,0.5522,0.7984,0.8050
0,29,-1,0.6031,0.5507,0.7812,0.7891
0,30,-1,0.5978,0.5474,0.7953,0.7965
0,31,-1,0.5985,0.5512,0.7859,0.7981
0,32,-1,0.6086,0.5616,0.7766,0.7898
