BEGIN-TRAINING
name,synthetic_fig3-full-participation
model,LR
dataset,synthetic
num_classes,10
algo,rand
num_clients,30
rounds,800
clients_per_round,30
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3-full-pariticipation.json
device,cpu
key,rand-all-clients
plot_linecolor,b
plot_linestyle,-
plot_label,de-centralized full
out_fname,./logs/synthetic_fig3-full-participation/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0030_f1.00/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.1637,2.1628,0.4594,0.4737
0,1,-1,1.8408,1.8348,0.4984,0.5111
0,2,-1,1.7223,1.7141,0.5500,0.5481
0,3,-1,1.6043,1.5914,0.5719,0.5824
0,4,-1,1.5480,1.5321,0.5312,0.5461
0,5,-1,1.4752,1.4558,0.5625,0.5854
0,6,-1,1.4337,1.4107,0.5594,0.5835
0,7,-1,1.4085,1.3807,0.5391,0.5667
0,8,-1,1.3920,1.3605,0.5312,0.5525
0,9,-1,1.3728,1.3411,0.5344,0.5529
0,10,-1,1.3365,1.3056,0.5375,0.5702
0,11,-1,1.3230,1.2886,0.5625,0.5885
0,12,-1,1.3195,1.2832,0.5500,0.5713
0,13,-1,1.2641,1.2289,0.5797,0.6039
0,14,-1,1.2280,1.1951,0.6109,0.6217
0,15,-1,1.1998,1.1637,0.6016,0.6182
0,16,-1,1.1996,1.1605,0.6031,0.6219
0,17,-1,1.1822,1.1435,0.6188,0.6308
0,18,-1,1.1788,1.1398,0.5969,0.6148
0,19,-1,1.1717,1.1313,0.6094,0.6272
0,20,-1,1.1550,1.1172,0.6016,0.6292
0,21,-1,1.1341,1.1000,0.6188,0.6465
0,22,-1,1.1225,1.0902,0.6203,0.6449
0,23,-1,1.1099,1.0736,0.6297,0.6483
0,24,-1,1.1037,1.0662,0.6203,0.6423
0,25,-1,1.0904,1.0546,0.6172,0.6474
0,26,-1,1.0855,1.0546,0.6312,0.6402
0,27,-1,1.0694,1.0382,0.6375,0.6503
0,28,-1,1.0558,1.0199,0.6469,0.6559
0,29,-1,1.0450,1.0090,0.6547,0.6589
