BEGIN-TRAINING
name,synthetic_fig3a
model,LR
dataset,synthetic
num_classes,10
algo,adapow-d
num_clients,30
rounds,800
clients_per_round,1
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,30
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3a.json
device,cpu
key,adapow30
plot_linecolor,c_t(1)
plot_linestyle,(0, (5, 10))
out_fname,./logs/synthetic_fig3a/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0030_f0.03/adapow-d_rr0.10_dr0.75_p0030_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.6453,2.6175,0.1031,0.1080
0,1,-1,2.7583,2.7350,0.0156,0.0133
0,2,-1,2.4979,2.4935,0.0312,0.0289
0,3,-1,2.5627,2.5409,0.0875,0.0857
0,4,-1,2.8142,2.8007,0.0500,0.0489
0,5,-1,2.7148,2.7084,0.0563,0.0556
0,6,-1,2.5732,2.5675,0.0984,0.0921
0,7,-1,2.8081,2.7819,0.1281,0.1300
0,8,-1,2.5234,2.5057,0.1328,0.1227
0,9,-1,2.6089,2.5756,0.1437,0.1397
0,10,-1,2.3550,2.3421,0.1641,0.1606
0,11,-1,2.2203,2.2099,0.1938,0.1916
0,12,-1,2.1532,2.1308,0.2125,0.2125
0,13,-1,2.4755,2.4364,0.1766,0.1861
0,14,-1,2.4592,2.4326,0.1297,0.1378
0,15,-1,2.3065,2.2590,0.2109,0.2185
0,16,-1,2.1786,2.1590,0.2203,0.2233
0,17,-1,2.0604,2.0310,0.2750,0.2828
0,18,-1,2.0302,2.0074,0.4031,0.4193
0,19,-1,2.3108,2.2690,0.2500,0.2485
0,20,-1,2.1080,2.0858,0.2938,0.2871
0,21,-1,1.9728,1.9147,0.3281,0.3396
0,22,-1,2.2550,2.2229,0.2437,0.2463
0,23,-1,1.9714,1.9074,0.3250,0.3299
0,24,-1,1.8722,1.8523,0.3797,0.3917
0,25,-1,1.7025,1.6843,0.4703,0.4725
0,26,-1,1.6525,1.6338,0.4984,0.5027
0,27,-1,1.7281,1.6985,0.4391,0.4409
0,28,-1,1.6085,1.5998,0.5094,0.5035
0,29,-1,1.6955,1.6925,0.4922,0.4792
0,30,-1,1.9231,1.9276,0.3891,0.3696
0,31,-1,1.6343,1.6154,0.4156,0.4190
0,32,-1,1.8147,1.7784,0.3984,0.4046
0,33,-1,2.1388,2.1439,0.2672,0.2842
0,34,-1,1.7487,1.7343,0.3984,0.4147
0,35,-1,1.6538,1.6603,0.3969,0.4117
0,36,-1,1.0657,1.0384,0.6016,0.6212
0,37,-1,1.1124,1.0919,0.6000,0.6237
0,38,-1,0.9236,0.8821,0.6422,0.6586
0,39,-1,1.0623,1.0288,0.6328,0.6474
0,40,-1,0.9747,0.9253,0.6406,0.6653
0,41,-1,1.0836,1.0396,0.5609,0.5814
0,42,-1,0.9760,0.9118,0.6203,0.6428
0,43,-1,1.2996,1.2567,0.5437,0.5610
0,44,-1,0.9676,0.9252,0.6281,0.6563
0,45,-1,0.9314,0.8985,0.6328,0.6474
0,46,-1,1.0385,0.9806,0.6062,0.6141
0,47,-1,0.9461,0.8891,0.6109,0.6379
0,48,-1,0.9276,0.8817,0.6094,0.6352
0,49,-1,0.9463,0.8777,0.6141,0.6513
0,50,-1,0.8995,0.8424,0.6266,0.6676
0,51,-1,0.8496,0.8010,0.6609,0.6931
0,52,-1,0.9007,0.8329,0.6312,0.6570
0,53,-1,1.0712,1.0200,0.6000,0.6242
0,54,-1,0.8227,0.7643,0.6734,0.7066
0,55,-1,0.8410,0.7749,0.6500,0.6791
0,56,-1,0.8020,0.7368,0.6359,0.6761
0,57,-1,0.8260,0.7807,0.6344,0.6471
0,58,-1,0.8295,0.7729,0.6469,0.6628
0,59,-1,0.8484,0.7795,0.6172,0.6379
0,60,-1,0.8206,0.7645,0.6141,0.6513
0,61,-1,0.8539,0.7832,0.6047,0.6340
0,62,-1,0.7242,0.6588,0.7141,0.7544
0,63,-1,0.7254,0.6706,0.7188,0.7565
0,64,-1,0.7286,0.6767,0.7094,0.7416
0,65,-1,0.7402,0.6787,0.7031,0.7374
0,66,-1,0.7358,0.6798,0.6984,0.7331
0,67,-1,0.7887,0.7168,0.6953,0.7305
0,68,-1,0.8420,0.7571,0.6828,0.7140
0,69,-1,0.9716,0.9015,0.6156,0.6495
0,70,-1,0.7852,0.7234,0.6813,0.7218
0,71,-1,0.8644,0.7868,0.6703,0.7004
0,72,-1,0.8280,0.7642,0.6578,0.6846
0,73,-1,0.8652,0.7817,0.6531,0.6835
0,74,-1,0.8954,0.8104,0.6781,0.7142
0,75,-1,0.8908,0.8050,0.6687,0.7119
0,76,-1,0.8342,0.7426,0.6719,0.7108
0,77,-1,0.8465,0.7655,0.6547,0.6961
0,78,-1,0.8164,0.7357,0.6828,0.7147
0,79,-1,0.8474,0.7726,0.6516,0.6857
0,80,-1,0.8172,0.7357,0.6750,0.7129
0,81,-1,0.7798,0.7069,0.6750,0.6991
0,82,-1,0.7606,0.6977,0.7000,0.7161
0,83,-1,0.7739,0.6929,0.6859,0.7089
