BEGIN-TRAINING
name,synthetic_fig3a
model,LR
dataset,synthetic
num_classes,10
algo,pow-d
num_clients,30
rounds,800
clients_per_round,1
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,2
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3a.json
device,cpu
key,powd_2m
plot_linecolor,c_t(3)
plot_linestyle,-.
out_fname,./logs/synthetic_fig3a/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0030_f0.03/pow-d_rr0.10_dr0.75_p0002_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.6453,2.6175,0.1031,0.1080
0,1,-1,2.5094,2.4747,0.0875,0.0908
0,2,-1,1.9870,1.9443,0.2734,0.2888
0,3,-1,1.8912,1.8567,0.3719,0.3821
0,4,-1,2.0512,2.0355,0.2547,0.2520
0,5,-1,2.1600,2.1625,0.3563,0.3574
0,6,-1,2.2970,2.2857,0.3906,0.3846
0,7,-1,2.0787,2.0405,0.3203,0.3150
0,8,-1,1.9402,1.9220,0.3359,0.3350
0,9,-1,2.1661,2.1268,0.3656,0.3543
0,10,-1,1.8771,1.8365,0.5078,0.5146
0,11,-1,1.7856,1.7369,0.4922,0.5075
0,12,-1,1.6542,1.6246,0.5266,0.5341
0,13,-1,1.6654,1.6248,0.5344,0.5429
0,14,-1,1.7039,1.6485,0.4844,0.5050
0,15,-1,1.9040,1.8653,0.4234,0.4409
0,16,-1,1.8497,1.7966,0.4750,0.5033
0,17,-1,1.9380,1.8865,0.4688,0.4884
0,18,-1,1.7938,1.7434,0.4953,0.5088
0,19,-1,1.8806,1.8300,0.4906,0.4996
0,20,-1,1.8678,1.8415,0.4859,0.5049
0,21,-1,1.8746,1.8228,0.4969,0.4902
0,22,-1,1.8562,1.8076,0.4797,0.4795
0,23,-1,1.8258,1.7820,0.4922,0.4960
0,24,-1,1.7033,1.6549,0.5000,0.5151
0,25,-1,1.7130,1.6655,0.5000,0.5118
0,26,-1,1.6543,1.6244,0.4859,0.5240
0,27,-1,1.4550,1.4120,0.5016,0.5502
0,28,-1,1.5610,1.5271,0.5000,0.5410
0,29,-1,1.5561,1.5299,0.5188,0.5605
0,30,-1,2.1216,2.1142,0.4516,0.4785
0,31,-1,1.8481,1.8442,0.4734,0.5079
0,32,-1,1.6189,1.6068,0.5016,0.5383
0,33,-1,1.3666,1.3196,0.5437,0.5752
0,34,-1,1.2538,1.2003,0.5641,0.5977
0,35,-1,1.1167,1.0489,0.5984,0.6416
0,36,-1,1.1258,1.0560,0.6266,0.6611
0,37,-1,1.1509,1.0782,0.6312,0.6593
0,38,-1,1.1378,1.0690,0.6422,0.6621
0,39,-1,1.4301,1.3530,0.5703,0.5805
0,40,-1,1.4201,1.3236,0.6156,0.6423
0,41,-1,1.3617,1.3008,0.5922,0.6060
0,42,-1,1.3606,1.3054,0.6000,0.6058
0,43,-1,1.1031,1.0293,0.6109,0.6460
0,44,-1,1.1759,1.0796,0.6125,0.6430
0,45,-1,1.1193,1.0342,0.6297,0.6531
0,46,-1,1.2282,1.1349,0.6062,0.6542
0,47,-1,1.1662,1.0788,0.6141,0.6639
0,48,-1,1.2201,1.1310,0.6312,0.6678
0,49,-1,1.1843,1.1051,0.6234,0.6566
0,50,-1,1.1386,1.0811,0.6578,0.6807
0,51,-1,1.1594,1.0910,0.6188,0.6495
0,52,-1,0.9560,0.8914,0.6422,0.6768
0,53,-1,0.9429,0.8769,0.6469,0.6752
0,54,-1,0.8884,0.8401,0.6797,0.6906
0,55,-1,0.9131,0.8634,0.6625,0.6742
0,56,-1,0.9064,0.8609,0.6641,0.6797
0,57,-1,1.3699,1.3070,0.5594,0.5929
0,58,-1,1.3466,1.2687,0.5719,0.6090
0,59,-1,1.4007,1.3419,0.5781,0.6062
0,60,-1,1.3172,1.2397,0.5734,0.6136
0,61,-1,1.3427,1.2585,0.5672,0.6001
0,62,-1,1.1525,1.0550,0.6000,0.6393
0,63,-1,1.1040,1.0258,0.6141,0.6481
0,64,-1,1.0504,0.9794,0.6422,0.6699
0,65,-1,1.1298,1.0596,0.6312,0.6534
0,66,-1,1.1805,1.0994,0.5703,0.6032
0,67,-1,1.0998,1.0244,0.5781,0.6221
0,68,-1,1.0791,1.0146,0.5953,0.6287
0,69,-1,1.0330,0.9611,0.6641,0.6974
0,70,-1,0.9973,0.9271,0.6672,0.7023
0,71,-1,0.9183,0.8655,0.6500,0.6669
0,72,-1,1.0587,0.9962,0.6562,0.6869
0,73,-1,1.0309,0.9745,0.6547,0.6938
0,74,-1,1.0651,0.9987,0.6516,0.6786
0,75,-1,1.1192,1.0387,0.5938,0.6419
0,76,-1,1.0876,1.0079,0.6172,0.6503
0,77,-1,1.0560,0.9747,0.6328,0.6689
0,78,-1,1.3292,1.2507,0.6469,0.6774
0,79,-1,1.3611,1.2760,0.6266,0.6609
0,80,-1,1.1783,1.0928,0.5859,0.6322
0,81,-1,1.1122,1.0280,0.5906,0.6430
0,82,-1,1.1636,1.0788,0.5750,0.6141
0,83,-1,1.3421,1.2707,0.5797,0.5998
0,84,-1,1.3173,1.2407,0.5437,0.5730
0,85,-1,1.1212,1.0563,0.5859,0.6194
0,86,-1,1.0674,0.9939,0.6094,0.6460
0,87,-1,1.0536,0.9632,0.6000,0.6561
0,88,-1,1.1139,1.0388,0.5906,0.6258
0,89,-1,1.0392,0.9462,0.6375,0.6807
0,90,-1,0.9454,0.8427,0.6578,0.7030
0,91,-1,1.0821,0.9719,0.6188,0.6604
0,92,-1,1.0177,0.9094,0.6297,0.6758
0,93,-1,0.9659,0.8570,0.6438,0.6920
0,94,-1,0.8568,0.7815,0.6719,0.7078
0,95,-1,0.9510,0.8894,0.6203,0.6356
0,96,-1,0.9533,0.8953,0.6172,0.6409
0,97,-1,0.9334,0.8790,0.6406,0.6550
0,98,-1,0.8629,0.7934,0.6625,0.6745
0,99,-1,0.9249,0.8495,0.6188,0.6469
0,100,-1,0.8510,0.7721,0.6469,0.6798
0,101,-1,0.7961,0.7320,0.7156,0.7197
0,102,-1,0.8991,0.8226,0.6859,0.6975
0,103,-1,0.8672,0.7967,0.6766,0.6883
0,104,-1,0.9103,0.8243,0.6203,0.6508
0,105,-1,0.9895,0.9074,0.6016,0.6242
0,106,-1,0.9594,0.8660,0.6172,0.6485
0,107,-1,0.8682,0.7936,0.6750,0.6903
0,108,-1,0.8249,0.7451,0.6953,0.7207
0,109,-1,0.8133,0.7358,0.7109,0.7358
0,110,-1,0.8315,0.7624,0.7047,0.7144
0,111,-1,0.7999,0.7266,0.7094,0.7326
0,112,-1,0.8217,0.7463,0.7016,0.7315
0,113,-1,0.8022,0.7208,0.7141,0.7430
0,114,-1,0.7824,0.7043,0.7125,0.7397
0,115,-1,0.8268,0.7480,0.7125,0.7324
0,116,-1,0.7966,0.7246,0.7063,0.7301
0,117,-1,0.8267,0.7607,0.7047,0.7314
0,118,-1,0.8375,0.7641,0.7016,0.7296
0,119,-1,0.8664,0.7999,0.6703,0.7057
0,120,-1,0.8362,0.7654,0.6844,0.7151
0,121,-1,1.0270,0.9459,0.6469,0.6789
