BEGIN-TRAINING
name,synthetic_fig3a
model,LR
dataset,synthetic
num_classes,10
algo,pow-d
num_clients,30
rounds,800
clients_per_round,1
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,10
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3a.json
device,cpu
key,powd_10m
plot_linecolor,c_t(0)
plot_linestyle,--
out_fname,./logs/synthetic_fig3a/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0030_f0.03/pow-d_rr0.10_dr0.75_p0010_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.6453,2.6175,0.1031,0.1080
0,1,-1,2.4904,2.4874,0.2141,0.2295
0,2,-1,2.4862,2.4376,0.2156,0.2253
0,3,-1,2.3584,2.3180,0.3000,0.3037
0,4,-1,2.5408,2.4757,0.2250,0.2373
0,5,-1,2.2443,2.1818,0.2625,0.2729
0,6,-1,2.3844,2.3085,0.2656,0.2858
0,7,-1,2.1601,2.1130,0.2562,0.2598
0,8,-1,2.7684,2.7249,0.1859,0.1937
0,9,-1,2.1159,2.0706,0.2250,0.2419
0,10,-1,2.1952,2.1709,0.3391,0.3597
0,11,-1,1.9880,1.9457,0.3063,0.3317
0,12,-1,2.0959,2.0490,0.2203,0.2304
0,13,-1,2.1501,2.1158,0.2062,0.2242
0,14,-1,2.1714,2.1426,0.2453,0.2633
0,15,-1,2.0767,2.0364,0.3125,0.3239
0,16,-1,1.9566,1.9294,0.4016,0.4216
0,17,-1,1.9515,1.9306,0.4328,0.4489
0,18,-1,2.0222,2.0101,0.3844,0.4048
0,19,-1,1.8818,1.8536,0.3859,0.3926
0,20,-1,1.8880,1.8795,0.3563,0.3582
0,21,-1,1.7326,1.7221,0.4141,0.4282
0,22,-1,1.7397,1.7426,0.4031,0.4160
0,23,-1,1.6578,1.6620,0.4156,0.4199
0,24,-1,1.7559,1.7405,0.3672,0.3648
0,25,-1,1.8123,1.7831,0.3750,0.3678
0,26,-1,2.1061,2.1094,0.2625,0.2651
0,27,-1,1.6703,1.6628,0.4000,0.3887
0,28,-1,1.6042,1.6106,0.4375,0.4264
0,29,-1,1.5712,1.5704,0.4500,0.4409
0,30,-1,1.5324,1.5421,0.4578,0.4578
0,31,-1,1.1479,1.1424,0.6172,0.6070
0,32,-1,1.1847,1.1579,0.5453,0.5631
0,33,-1,1.1890,1.1497,0.5766,0.5952
0,34,-1,1.2166,1.1866,0.5844,0.6092
0,35,-1,1.1544,1.1011,0.6203,0.6481
0,36,-1,1.1062,1.0657,0.6031,0.6106
0,37,-1,1.0030,0.9822,0.6266,0.6329
0,38,-1,1.2422,1.2332,0.6047,0.6152
0,39,-1,1.3773,1.3712,0.5719,0.5844
0,40,-1,1.3605,1.3704,0.5531,0.5686
0,41,-1,1.8889,1.8575,0.5219,0.5451
0,42,-1,1.3025,1.2351,0.5687,0.5945
0,43,-1,1.0371,0.9713,0.5766,0.5973
