BEGIN-TRAINING
name,synthetic_fig3a
model,LR
dataset,synthetic
num_classes,10
algo,rand
num_clients,30
rounds,800
clients_per_round,1
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3a.json
device,cpu
key,rand
plot_linecolor,k
plot_linestyle,-
out_fname,./logs/synthetic_fig3a/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0030_f0.03/rand_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.6453,2.6175,0.1031,0.1080
0,1,-1,2.5094,2.4747,0.0875,0.0908
0,2,-1,2.6102,2.5848,0.0969,0.0965
0,3,-1,2.1460,2.1159,0.3094,0.3186
0,4,-1,2.0121,1.9981,0.3703,0.3632
0,5,-1,1.9322,1.9259,0.3125,0.3126
0,6,-1,2.0902,2.0807,0.3078,0.3081
0,7,-1,1.9716,1.9912,0.2922,0.2812
0,8,-1,1.8034,1.7835,0.3953,0.4100
0,9,-1,1.8698,1.8482,0.3922,0.4048
0,10,-1,2.1414,2.1372,0.3531,0.3898
0,11,-1,2.1476,2.1377,0.3953,0.4241
0,12,-1,2.3442,2.3163,0.3984,0.4250
0,13,-1,1.9939,1.9319,0.4656,0.4764
0,14,-1,2.0421,1.9793,0.4437,0.4498
0,15,-1,2.0453,1.9922,0.4609,0.4574
0,16,-1,1.8116,1.7793,0.4453,0.4601
0,17,-1,1.7690,1.7156,0.4906,0.5125
0,18,-1,1.9508,1.8870,0.4797,0.5065
0,19,-1,1.9051,1.8430,0.4547,0.4815
0,20,-1,2.0657,1.9873,0.4437,0.4695
0,21,-1,1.8793,1.8384,0.5109,0.5150
0,22,-1,1.8904,1.8463,0.5078,0.5095
0,23,-1,1.8813,1.8281,0.5078,0.5105
0,24,-1,1.8650,1.8152,0.5094,0.5162
0,25,-1,1.8627,1.8126,0.5172,0.5114
0,26,-1,1.7059,1.6691,0.5328,0.5321
0,27,-1,1.7233,1.6728,0.5188,0.5336
0,28,-1,1.7249,1.6770,0.5172,0.5369
0,29,-1,1.8743,1.8285,0.5125,0.5288
0,30,-1,1.8598,1.8340,0.5281,0.5417
0,31,-1,1.8525,1.8360,0.5516,0.5522
0,32,-1,1.8443,1.8197,0.5500,0.5587
0,33,-1,1.8964,1.8678,0.5375,0.5493
0,34,-1,1.9816,1.9550,0.5281,0.5398
0,35,-1,1.9706,1.9415,0.5297,0.5405
0,36,-1,1.8295,1.7991,0.5328,0.5353
0,37,-1,1.8211,1.7806,0.5328,0.5456
0,38,-1,1.8158,1.7760,0.5328,0.5426
0,39,-1,1.8839,1.8442,0.5312,0.5472
0,40,-1,1.9146,1.8729,0.5391,0.5522
0,41,-1,1.8846,1.8691,0.5469,0.5622
0,42,-1,1.9511,1.9557,0.5250,0.5245
0,43,-1,2.0189,1.9888,0.4969,0.5012
0,44,-1,2.0896,2.0592,0.4828,0.4778
0,45,-1,1.9442,1.9165,0.5031,0.4953
0,46,-1,1.9127,1.8929,0.4938,0.4919
0,47,-1,1.7748,1.7642,0.5188,0.5236
0,48,-1,1.8800,1.8722,0.5266,0.5242
0,49,-1,1.6136,1.5878,0.5641,0.5773
0,50,-1,1.6139,1.5863,0.5641,0.5821
0,51,-1,1.6168,1.5927,0.5641,0.5803
0,52,-1,1.7074,1.7049,0.5266,0.5332
0,53,-1,2.0597,2.0453,0.5500,0.5578
0,54,-1,1.8311,1.8032,0.5641,0.5812
0,55,-1,1.6330,1.5922,0.5922,0.5908
0,56,-1,1.6165,1.5903,0.5656,0.5862
0,57,-1,1.6433,1.6170,0.5625,0.5849
0,58,-1,1.6308,1.6024,0.5594,0.5847
0,59,-1,1.6526,1.6226,0.5469,0.5745
0,60,-1,1.6499,1.6168,0.5563,0.5826
0,61,-1,1.8862,1.8870,0.5500,0.5587
0,62,-1,1.8856,1.8794,0.5578,0.5621
0,63,-1,1.9033,1.8956,0.5453,0.5545
0,64,-1,1.7496,1.7557,0.5734,0.5824
0,65,-1,1.7547,1.7617,0.5781,0.5780
0,66,-1,1.7719,1.7784,0.5750,0.5759
0,67,-1,1.4820,1.4828,0.6000,0.5989
0,68,-1,1.4229,1.4029,0.5859,0.5904
0,69,-1,1.3369,1.2721,0.6219,0.6320
0,70,-1,1.2827,1.2130,0.6438,0.6579
0,71,-1,1.2188,1.1648,0.6672,0.6726
0,72,-1,1.2065,1.1559,0.6562,0.6731
0,73,-1,1.1406,1.0767,0.6875,0.7032
0,74,-1,1.1611,1.0918,0.6719,0.6802
0,75,-1,1.1553,1.0878,0.6719,0.6804
0,76,-1,1.1471,1.0799,0.6703,0.6802
0,77,-1,1.1467,1.0837,0.6672,0.6791
0,78,-1,1.0949,1.0327,0.6797,0.6851
0,79,-1,1.1708,1.1057,0.6062,0.6302
0,80,-1,1.2090,1.1527,0.5781,0.5978
0,81,-1,1.2609,1.1940,0.6484,0.6598
0,82,-1,1.2845,1.2144,0.6312,0.6495
0,83,-1,1.2251,1.1460,0.6344,0.6625
0,84,-1,1.0795,1.0459,0.6391,0.6547
0,85,-1,1.0709,1.0425,0.6500,0.6667
0,86,-1,1.0663,1.0354,0.6609,0.6777
0,87,-1,1.0643,1.0392,0.6578,0.6669
0,88,-1,1.0657,1.0405,0.6578,0.6665
0,89,-1,0.9890,0.9239,0.6672,0.6841
0,90,-1,0.9937,0.9337,0.6609,0.6825
0,91,-1,0.9756,0.9112,0.6641,0.6837
0,92,-1,0.9722,0.9087,0.6641,0.6793
0,93,-1,0.9715,0.9132,0.6734,0.6894
0,94,-1,0.9890,0.9327,0.6797,0.6871
0,95,-1,1.2545,1.1898,0.6375,0.6464
0,96,-1,1.2218,1.1601,0.6375,0.6485
0,97,-1,0.9689,0.9153,0.6906,0.7151
0,98,-1,0.9884,0.9244,0.6750,0.6945
0,99,-1,0.9336,0.8806,0.6875,0.7018
0,100,-1,0.8895,0.8556,0.7000,0.6986
0,101,-1,1.0399,0.9919,0.6641,0.6658
0,102,-1,1.0121,0.9706,0.6922,0.6857
0,103,-1,1.0220,0.9783,0.6875,0.6832
0,104,-1,0.9737,0.9271,0.6969,0.7007
0,105,-1,0.9645,0.9255,0.7125,0.7083
0,106,-1,1.0110,0.9999,0.6797,0.6890
0,107,-1,0.9783,0.9702,0.6937,0.7053
0,108,-1,0.9673,0.9630,0.6906,0.7115
0,109,-1,0.9763,0.9712,0.6844,0.7052
0,110,-1,0.9637,0.9606,0.7000,0.7099
0,111,-1,0.9555,0.9342,0.6953,0.6873
0,112,-1,0.9434,0.9206,0.6891,0.6977
0,113,-1,0.9589,0.9355,0.6891,0.6917
0,114,-1,1.0482,1.0264,0.6703,0.6717
0,115,-1,1.0574,1.0386,0.6719,0.6766
0,116,-1,1.0381,1.0285,0.6875,0.6920
0,117,-1,1.0424,1.0313,0.6875,0.6873
0,118,-1,1.0180,1.0019,0.6797,0.6866
0,119,-1,1.0193,1.0024,0.6797,0.6860
0,120,-1,1.0091,0.9956,0.6719,0.6811
0,121,-1,1.6938,1.6636,0.5578,0.5690
