BEGIN-TRAINING
name,synthetic_fig3b
model,LR
dataset,synthetic
num_classes,10
algo,pow-d
num_clients,30
rounds,800
clients_per_round,3
localE,30
bs,50
lr,0.05
decay,[300, 600]
alpha,0.2
NIID,False
powd,6
rnd_ratio,0.1
delete_ratio,0.75
seed,12345
config,configs/fig3b.json
device,cpu
key,powd_2m
plot_linecolor,c_t(3)
plot_linestyle,-.
out_fname,./logs/synthetic_fig3b/lr0.0500_bs50_cp30_a0.20_e12345_r0_n0030_f0.10/pow-d_rr0.10_dr0.75_p0006_r0.csv
rank,round,epoch,test_loss,train_loss,test_acc,train_acc
0,0,-1,2.2750,2.2785,0.1688,0.1519
0,1,-1,2.0790,2.0879,0.3156,0.2963
0,2,-1,2.0894,2.1124,0.3234,0.2927
0,3,-1,1.8494,1.8728,0.3797,0.3636
0,4,-1,1.7217,1.7393,0.4859,0.4528
0,5,-1,1.6212,1.6262,0.4625,0.4332
0,6,-1,1.5226,1.5278,0.4813,0.4749
0,7,-1,1.6629,1.6462,0.4547,0.4617
0,8,-1,1.4580,1.4398,0.5016,0.5042
0,9,-1,1.4734,1.4684,0.4531,0.4378
0,10,-1,1.3814,1.3683,0.4797,0.4689
0,11,-1,1.2873,1.2698,0.5469,0.5497
0,12,-1,1.2850,1.2619,0.5406,0.5500
0,13,-1,1.2752,1.2507,0.4797,0.5146
0,14,-1,1.3058,1.2766,0.4250,0.4381
0,15,-1,1.2072,1.1888,0.6000,0.6260
0,16,-1,1.1498,1.1280,0.6031,0.6354
0,17,-1,1.2209,1.1861,0.5031,0.5474
0,18,-1,1.2374,1.2174,0.5547,0.5916
0,19,-1,1.1879,1.1460,0.5609,0.5966
0,20,-1,1.1635,1.1359,0.5141,0.5424
0,21,-1,1.1517,1.1216,0.5156,0.5366
0,22,-1,1.0728,1.0390,0.5391,0.5690
0,23,-1,1.0648,1.0226,0.5219,0.5594
0,24,-1,1.0226,0.9792,0.6422,0.6866
0,25,-1,1.0026,0.9664,0.6641,0.6816
0,26,-1,1.0366,1.0045,0.6047,0.6439
0,27,-1,1.0062,0.9589,0.6203,0.6665
0,28,-1,0.9806,0.9433,0.6406,0.6786
0,29,-1,0.9737,0.9418,0.6188,0.6372
0,30,-1,0.9604,0.9157,0.6609,0.7043
0,31,-1,0.9473,0.9026,0.6672,0.7099
0,32,-1,0.9319,0.8946,0.6844,0.7213
